subject,seed,stage2_hv,stage3_projected_hv,delta_hv_stage3_minus_stage2,stage2_selected_semantic_on_stage3,stage3_selected_f_semantic,delta_selected_f_semantic_stage3_minus_stage2,stage2_selected_solution_id,stage3_selected_solution_id,stage2_selected_is_injected_seed,stage3_selected_is_injected_seed,stage3_selected_seed_name,stage2_selected_ari_vs_leiden,stage2_selected_nmi_vs_leiden,stage2_selected_equals_leiden,stage3_selected_ari_vs_leiden,stage3_selected_nmi_vs_leiden,stage3_selected_equals_leiden,stage2_vs_stage3_selected_ari,stage2_vs_stage3_selected_nmi,stage2_vs_stage3_selected_partition_equal,stage3_front_size,stage3_projected_front_size,stage3_front_f_semantic_min,stage3_front_f_semantic_mean,stage3_front_f_semantic_max,stage3_front_f_semantic_std,reference_status,stage2_coupling,stage3_coupling,delta_coupling_stage3_minus_stage2,stage2_cohesion,stage3_cohesion,delta_cohesion_stage3_minus_stage2,stage2_imbalance,stage3_imbalance,delta_imbalance_stage3_minus_stage2,stage2_weighted_modularity,stage3_weighted_modularity,delta_weighted_modularity_stage3_minus_stage2,stage2_internal_edge_weight_ratio,stage3_internal_edge_weight_ratio,delta_internal_edge_weight_ratio_stage3_minus_stage2,stage2_internal_external_edge_ratio,stage3_internal_external_edge_ratio,delta_internal_external_edge_ratio_stage3_minus_stage2,stage2_cluster_count,stage3_cluster_count,delta_cluster_count_stage3_minus_stage2,stage2_average_cluster_size,stage3_average_cluster_size,delta_average_cluster_size_stage3_minus_stage2,stage2_max_cluster_size,stage3_max_cluster_size,delta_max_cluster_size_stage3_minus_stage2,stage2_min_cluster_size,stage3_min_cluster_size,delta_min_cluster_size_stage3_minus_stage2,stage2_max_cluster_ratio,stage3_max_cluster_ratio,delta_max_cluster_ratio_stage3_minus_stage2,stage2_singleton_ratio,stage3_singleton_ratio,delta_singleton_ratio_stage3_minus_stage2,stage2_cluster_size_cv,stage3_cluster_size_cv,delta_cluster_size_cv_stage3_minus_stage2,stage2_mojofm_vs_reference,stage3_mojofm_vs_reference,delta_mojofm_vs_reference_stage3_minus_stage2,stage2_pairwise_precision,stage3_pairwise_precision,delta_pairwise_precision_stage3_minus_stage2,stage2_pairwise_recall,stage3_pairwise_recall,delta_pairwise_recall_stage3_minus_stage2,stage2_pairwise_f1,stage3_pairwise_f1,delta_pairwise_f1_stage3_minus_stage2,stage2_ari_vs_reference,stage3_ari_vs_reference,delta_ari_vs_reference_stage3_minus_stage2,stage2_nmi_vs_reference,stage3_nmi_vs_reference,delta_nmi_vs_reference_stage3_minus_stage2,stage2_reference_coverage_ratio,stage3_reference_coverage_ratio,delta_reference_coverage_ratio_stage3_minus_stage2
jpetstore,10,0.40112088499475301306,0.40785762896096061647,0.0067367439662075001908,0.51226006853751826498,0.51226006853751826498,0,seed10_solution000,seed10_solution002,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,60,0.28651701579068372672,0.54134127149638122667,0.78658167838724524223,0.11137444663697000646,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,11,0.39385797532413402422,0.3769280659434707248,-0.016929909380663101665,0.51226006853751826498,0.51226006853751826498,0,seed11_solution000,seed11_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,45,0.30162760388834991554,0.48844339525907237709,0.69363009751426707439,0.086801375934820804159,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,12,0.40772255652538952342,0.3731350131316590879,-0.034587543393730199592,0.51226006853751826498,0.46566906033572091905,-0.046591008201797401433,seed12_solution000,seed12_solution002,True,False,,1,1,True,0.90692446043165464431,0.92073980549347300695,False,0.90692446043165464431,0.92073980549347300695,False,100,50,0.28651701579068372672,0.49239332948058761596,0.68553217847275704777,0.091980115585590896399,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,4.9690476190476191576,-0.50833333333333274862,0.20412414523193128657,0.1666666666666666019,-0.037457478565264802628,0.44206980643194637715,0.43705532693187032489,-0.0050144795000760002124,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,5,1,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.1666666666666666019,-0.037457478565264802628,,,,,,,,,,,,,,,,,,,,,
jpetstore,13,0.38453024765020010767,0.40475397009308722307,0.020223722442887101525,0.51226006853751826498,0.51226006853751826498,0,seed13_solution000,seed13_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,52,0.30576806245195342626,0.51536980973050594557,0.7676821962487049289,0.096875882362340098863,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,14,0.39471113218938491674,0.37726231367162688102,-0.017448818517757900409,0.51226006853751826498,0.53359056396179616044,0.021330495424277701177,seed14_solution000,seed14_solution003,True,True,raw_leiden_perturb_0.01_0,1,1,True,0.87659289067739765144,0.91230088891592020506,False,0.87659289067739765144,0.91230088891592020506,False,100,52,0.30455912623294062458,0.51461912934442832768,0.79006314127088761445,0.10706823791683429958,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4202380952380959656,-0.057142857142856003094,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.43989330894680700457,-0.0021764974851393001538,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,15,0.39221776838997790549,0.39005407790762430809,-0.0021636904823534000748,0.51226006853751826498,0.51226006853751826498,0,seed15_solution000,seed15_solution001,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,59,0.30649877843211220663,0.54680560500075492403,0.77010729179169734593,0.10452000629724940428,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,16,0.39943489420686040248,0.37929323636438372347,-0.020141657842476498597,0.51226006853751826498,0.53271422465418416525,0.020454156116665900278,seed16_solution000,seed16_solution008,True,False,,1,1,True,0.80569141840818114808,0.84105135411644504906,False,0.80569141840818114808,0.84105135411644504906,False,99,45,0.28301089687422548158,0.47365185937119858028,0.67842891666505567017,0.087640220933026397043,unavailable,0.25185185185185182677,0.27654320987654301689,0.024691358024691301143,5.4773809523809520172,5.7172619047619042121,0.23988095238095211159,0.20412414523193128657,0.23570226039551581132,0.031578115163584302705,0.44206980643194637715,0.43768632830361248187,-0.0043834781283337001176,0.74814814814814811772,0.72345679012345665004,-0.024691358024691301143,2.9705882352941177516,2.6160714285714283811,-0.35451680672268931493,4,4,0,6,6,0,7,8,1,4,4,0,0.29166666666666651864,0.33333333333333331483,0.041666666666666601904,0,0,0,0.20412414523193128657,0.23570226039551581132,0.031578115163584302705,,,,,,,,,,,,,,,,,,,,,
jpetstore,17,0.40530352034533967398,0.38702112130669680257,-0.018282399038642899169,0.51226006853751826498,0.51226006853751826498,0,seed17_solution000,seed17_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,48,0.30576806245195342626,0.54772271323557586431,0.73886932179031594714,0.099343279287239905084,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,18,0.40111430011279902708,0.39124314247112301768,-0.0098711576416757006169,0.51226006853751826498,0.51226006853751826498,0,seed18_solution000,seed18_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,47,0.28578629981052500186,0.52736116045325365231,0.75724067874921863197,0.10902240785415250046,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,19,0.40787000683489837982,0.39018452954366650287,-0.017685477291231901237,0.51226006853751826498,0.51211372451079595347,-0.00014634402672230001179,seed19_solution000,seed19_solution002,True,False,,1,1,True,0.8994095779575770333,0.91871780558966442687,False,0.8994095779575770333,0.91871780558966442687,False,100,62,0.33815698666679522288,0.570911996787249576,0.83121872264641805117,0.12210878562423679861,unavailable,0.25185185185185182677,0.25432098765432081811,0.0024691358024691001903,5.4773809523809520172,6.6589285714285706419,1.1815476190476186247,0.20412414523193128657,0.31180478223116170344,0.10768063699923009768,0.44206980643194637715,0.43991159884164021676,-0.0021582075903061001022,0.74814814814814811772,0.74567901234567901536,-0.0024691358024691001903,2.9705882352941177516,2.9320388349514563409,-0.038549400342661299668,4,4,0,6,6,0,7,8,1,4,3,-1,0.29166666666666651864,0.33333333333333331483,0.041666666666666601904,0,0,0,0.20412414523193128657,0.31180478223116170344,0.10768063699923009768,,,,,,,,,,,,,,,,,,,,,
jpetstore,20,0.40611712122297932703,0.39503104273214817432,-0.011086078490831000054,0.51226006853751826498,0.51226006853751826498,0,seed20_solution000,seed20_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,100,61,0.33310802399248162775,0.53400297027850684994,0.74396510646752922469,0.087311654013353501291,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193128657,0.20412414523193128657,0,0.44206980643194637715,0.44206980643194637715,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666651864,0.29166666666666651864,0,0,0,0,0.20412414523193128657,0.20412414523193128657,0,,,,,,,,,,,,,,,,,,,,,
