subject,repetition,random_seed,edge_count,structural_overlap,same_reference_service_ratio,same_leiden_cluster_ratio
jpetstore,115,42115,48,0.20833333333333334,,0.14583333333333334
jpetstore,116,42116,48,0.16666666666666666,,0.1875
jpetstore,117,42117,48,0.1875,,0.1875
jpetstore,118,42118,48,0.16666666666666666,,0.22916666666666666
jpetstore,119,42119,48,0.22916666666666666,,0.25
jpetstore,120,42120,48,0.27083333333333331,,0.25
jpetstore,121,42121,48,0.27083333333333331,,0.22916666666666666
jpetstore,122,42122,48,0.16666666666666666,,0.22916666666666666
jpetstore,123,42123,48,0.1875,,0.20833333333333334
jpetstore,124,42124,48,0.27083333333333331,,0.22916666666666666
jpetstore,125,42125,48,0.20833333333333334,,0.22916666666666666
jpetstore,126,42126,48,0.16666666666666666,,0.22916666666666666
jpetstore,127,42127,48,0.1875,,0.25
jpetstore,128,42128,48,0.16666666666666666,,0.20833333333333334
jpetstore,129,42129,48,0.29166666666666669,,0.27083333333333331
jpetstore,130,42130,48,0.16666666666666666,,0.125
jpetstore,131,42131,48,0.125,,0.1875
jpetstore,132,42132,48,0.16666666666666666,,0.27083333333333331
jpetstore,133,42133,48,0.16666666666666666,,0.16666666666666666
jpetstore,134,42134,48,0.1875,,0.16666666666666666
jpetstore,135,42135,48,0.22916666666666666,,0.25
jpetstore,136,42136,48,0.20833333333333334,,0.3125
jpetstore,137,42137,48,0.14583333333333334,,0.22916666666666666
jpetstore,138,42138,48,0.1875,,0.20833333333333334
jpetstore,139,42139,48,0.1875,,0.1875
jpetstore,140,42140,48,0.10416666666666667,,0.14583333333333334
jpetstore,141,42141,48,0.16666666666666666,,0.27083333333333331
jpetstore,142,42142,48,0.16666666666666666,,0.29166666666666669
jpetstore,143,42143,48,0.20833333333333334,,0.1875
jpetstore,144,42144,48,0.25,,0.27083333333333331
jpetstore,145,42145,48,0.16666666666666666,,0.20833333333333334
jpetstore,146,42146,48,0.27083333333333331,,0.125
jpetstore,147,42147,48,0.16666666666666666,,0.25
jpetstore,148,42148,48,0.10416666666666667,,0.22916666666666666
jpetstore,149,42149,48,0.16666666666666666,,0.25
jpetstore,150,42150,48,0.1875,,0.25
jpetstore,151,42151,48,0.1875,,0.20833333333333334
jpetstore,152,42152,48,0.125,,0.22916666666666666
jpetstore,153,42153,48,0.14583333333333334,,0.14583333333333334
jpetstore,154,42154,48,0.14583333333333334,,0.14583333333333334
jpetstore,155,42155,48,0.33333333333333331,,0.20833333333333334
jpetstore,156,42156,48,0.14583333333333334,,0.29166666666666669
jpetstore,157,42157,48,0.25,,0.3125
jpetstore,158,42158,48,0.16666666666666666,,0.14583333333333334
jpetstore,159,42159,48,0.20833333333333334,,0.22916666666666666
jpetstore,160,42160,48,0.1875,,0.33333333333333331
jpetstore,161,42161,48,0.20833333333333334,,0.3125
jpetstore,162,42162,48,0.1875,,0.25
jpetstore,163,42163,48,0.25,,0.29166666666666669
jpetstore,164,42164,48,0.29166666666666669,,0.25
jpetstore,165,42165,48,0.20833333333333334,,0.22916666666666666
jpetstore,166,42166,48,0.10416666666666667,,0.1875
jpetstore,167,42167,48,0.20833333333333334,,0.27083333333333331
jpetstore,168,42168,48,0.25,,0.27083333333333331
jpetstore,169,42169,48,0.14583333333333334,,0.25
jpetstore,170,42170,48,0.25,,0.33333333333333331
jpetstore,171,42171,48,0.22916666666666666,,0.1875
jpetstore,172,42172,48,0.25,,0.22916666666666666
jpetstore,173,42173,48,0.16666666666666666,,0.1875
jpetstore,174,42174,48,0.20833333333333334,,0.22916666666666666
jpetstore,175,42175,48,0.125,,0.1875
jpetstore,176,42176,48,0.22916666666666666,,0.1875
jpetstore,177,42177,48,0.16666666666666666,,0.16666666666666666
jpetstore,178,42178,48,0.1875,,0.16666666666666666
jpetstore,179,42179,48,0.083333333333333329,,0.16666666666666666
jpetstore,180,42180,48,0.1875,,0.25
jpetstore,181,42181,48,0.22916666666666666,,0.16666666666666666
jpetstore,182,42182,48,0.14583333333333334,,0.3125
jpetstore,183,42183,48,0.20833333333333334,,0.25
jpetstore,184,42184,48,0.3125,,0.35416666666666669
jpetstore,185,42185,48,0.27083333333333331,,0.35416666666666669
jpetstore,186,42186,48,0.20833333333333334,,0.22916666666666666
jpetstore,187,42187,48,0.20833333333333334,,0.1875
jpetstore,188,42188,48,0.29166666666666669,,0.27083333333333331
jpetstore,189,42189,48,0.16666666666666666,,0.14583333333333334
jpetstore,190,42190,48,0.20833333333333334,,0.22916666666666666
jpetstore,191,42191,48,0.1875,,0.29166666666666669
jpetstore,192,42192,48,0.14583333333333334,,0.20833333333333334
jpetstore,193,42193,48,0.10416666666666667,,0.1875
jpetstore,194,42194,48,0.14583333333333334,,0.22916666666666666
jpetstore,195,42195,48,0.25,,0.29166666666666669
jpetstore,196,42196,48,0.22916666666666666,,0.25
jpetstore,197,42197,48,0.14583333333333334,,0.22916666666666666
jpetstore,198,42198,48,0.22916666666666666,,0.3125
jpetstore,199,42199,48,0.1875,,0.16666666666666666
jpetstore,200,42200,48,0.14583333333333334,,0.125
jpetstore,201,42201,48,0.1875,,0.27083333333333331
jpetstore,202,42202,48,0.16666666666666666,,0.16666666666666666
jpetstore,203,42203,48,0.125,,0.14583333333333334
jpetstore,204,42204,48,0.22916666666666666,,0.125
jpetstore,205,42205,48,0.22916666666666666,,0.22916666666666666
jpetstore,206,42206,48,0.22916666666666666,,0.27083333333333331
jpetstore,207,42207,48,0.1875,,0.20833333333333334
jpetstore,208,42208,48,0.1875,,0.3125
jpetstore,209,42209,48,0.22916666666666666,,0.29166666666666669
jpetstore,210,42210,48,0.22916666666666666,,0.22916666666666666
jpetstore,211,42211,48,0.25,,0.29166666666666669
jpetstore,212,42212,48,0.14583333333333334,,0.1875
jpetstore,213,42213,48,0.16666666666666666,,0.1875
jpetstore,214,42214,48,0.22916666666666666,,0.27083333333333331
jpetstore,215,42215,48,0.14583333333333334,,0.16666666666666666
jpetstore,216,42216,48,0.22916666666666666,,0.20833333333333334
jpetstore,217,42217,48,0.14583333333333334,,0.16666666666666666
jpetstore,218,42218,48,0.1875,,0.20833333333333334
jpetstore,219,42219,48,0.16666666666666666,,0.22916666666666666
jpetstore,220,42220,48,0.16666666666666666,,0.25
jpetstore,221,42221,48,0.16666666666666666,,0.22916666666666666
jpetstore,222,42222,48,0.22916666666666666,,0.20833333333333334
jpetstore,223,42223,48,0.125,,0.27083333333333331
jpetstore,224,42224,48,0.14583333333333334,,0.1875
jpetstore,225,42225,48,0.25,,0.22916666666666666
jpetstore,226,42226,48,0.0625,,0.1875
jpetstore,227,42227,48,0.29166666666666669,,0.29166666666666669
