subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution
jpetstore,0,seed0_solution056,0.3631763450693491,0.5925925925925926,1.4545454545454546,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2}"
jpetstore,0,seed0_solution057,0.3740039628105471,0.5901234567901235,1.4397590361445782,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""3"": 1, ""6"": 2, ""7"": 1}"
jpetstore,0,seed0_solution058,0.36327693949093115,0.5901234567901235,1.4397590361445782,5,4.8,6,4,0.25,0.0,"{""4"": 2, ""5"": 2, ""6"": 1}"
jpetstore,0,seed0_solution059,0.3917725956409084,0.5876543209876544,1.4251497005988023,6,4.0,6,2,0.25,0.0,"{""2"": 1, ""3"": 2, ""5"": 2, ""6"": 1}"
jpetstore,0,seed0_solution060,0.3726748971193416,0.5851851851851851,1.4107142857142858,5,4.8,7,3,0.2916666666666667,0.0,"{""3"": 1, ""4"": 1, ""5"": 2, ""7"": 1}"
jpetstore,0,seed0_solution061,0.3907514098460601,0.582716049382716,1.3964497041420119,6,4.0,6,2,0.25,0.0,"{""2"": 1, ""3"": 2, ""4"": 1, ""6"": 2}"
jpetstore,0,seed0_solution062,0.33576284103033055,0.5802469135802469,1.3823529411764706,5,4.8,9,2,0.375,0.0,"{""2"": 2, ""4"": 1, ""7"": 1, ""9"": 1}"
jpetstore,0,seed0_solution063,0.3708337143728088,0.5802469135802469,1.3823529411764706,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2}"
jpetstore,0,seed0_solution064,0.3702484377381494,0.5802469135802469,1.3823529411764706,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""5"": 3, ""6"": 1}"
jpetstore,0,seed0_solution065,0.3336046334400243,0.5777777777777777,1.368421052631579,5,4.8,9,2,0.375,0.0,"{""2"": 2, ""3"": 1, ""8"": 1, ""9"": 1}"
jpetstore,0,seed0_solution066,0.35314738606919666,0.5753086419753086,1.3546511627906976,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 2, ""5"": 1, ""7"": 1, ""8"": 1}"
jpetstore,0,seed0_solution067,0.36229843011736007,0.5753086419753086,1.3546511627906976,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 1, ""3"": 1, ""4"": 1, ""7"": 1, ""8"": 1}"
jpetstore,0,seed0_solution068,0.3638987959152567,0.5679012345679012,1.3142857142857143,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}"
jpetstore,0,seed0_solution069,0.3554945892394451,0.5679012345679012,1.3142857142857143,5,4.8,6,2,0.25,0.0,"{""2"": 1, ""5"": 2, ""6"": 2}"
jpetstore,0,seed0_solution070,0.35277853985672897,0.5604938271604938,1.2752808988764044,5,4.8,7,3,0.2916666666666667,0.0,"{""3"": 1, ""4"": 1, ""5"": 2, ""7"": 1}"
jpetstore,0,seed0_solution071,0.3843987197073616,0.5580246913580247,1.2625698324022345,6,4.0,7,2,0.2916666666666667,0.0,"{""2"": 2, ""3"": 1, ""4"": 1, ""6"": 1, ""7"": 1}"
jpetstore,0,seed0_solution072,0.3793842402072854,0.5580246913580247,1.2625698324022345,6,4.0,7,2,0.2916666666666667,0.0,"{""2"": 2, ""3"": 1, ""5"": 2, ""7"": 1}"
jpetstore,0,seed0_solution073,0.324453589391861,0.5555555555555556,1.25,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 2, ""4"": 1, ""8"": 2}"
jpetstore,0,seed0_solution074,0.31750647767108675,0.5506172839506173,1.2252747252747254,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 2, ""6"": 1, ""7"": 2}"
jpetstore,0,seed0_solution075,0.3635086114921505,0.5506172839506173,1.2252747252747254,6,4.0,5,2,0.20833333333333334,0.0,"{""2"": 1, ""3"": 1, ""4"": 1, ""5"": 3}"
jpetstore,0,seed0_solution076,0.3170278920896205,0.5481481481481482,1.2131147540983607,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 2, ""4"": 1, ""8"": 2}"
jpetstore,0,seed0_solution077,0.34317634506934924,0.5481481481481482,1.2131147540983607,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 1, ""3"": 1, ""5"": 1, ""6"": 1, ""8"": 1}"
jpetstore,0,seed0_solution078,0.32960524310318545,0.5481481481481482,1.2131147540983607,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""3"": 1, ""6"": 2, ""7"": 1}"
