source,target,flow_type,weight,evidence_method,evidence_statement
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.LineItemMapper,argument_passing_flow,3,"<org.mybatis.jpetstore.service.OrderService: void lambda$insertOrder$1(org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem)>",interfaceinvoke $r3.<org.mybatis.jpetstore.mapper.LineItemMapper: void insertLineItem(org.mybatis.jpetstore.domain.LineItem)>(r0)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution newAccount()>,$r6 = virtualinvoke $r4.<org.mybatis.jpetstore.service.AccountService: org.mybatis.jpetstore.domain.Account getAccount(java.lang.String)>($r5)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution newAccount()>,$r10 = virtualinvoke $r8.<org.mybatis.jpetstore.service.CatalogService: java.util.List getProductListByCategory(java.lang.String)>($r9)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution newAccount()>,virtualinvoke $r2.<org.mybatis.jpetstore.service.AccountService: void insertAccount(org.mybatis.jpetstore.domain.Account)>($r1)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution newAccount()>,$r6 = virtualinvoke $r4.<org.mybatis.jpetstore.service.AccountService: org.mybatis.jpetstore.domain.Account getAccount(java.lang.String)>($r5)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution newAccount()>,$r10 = virtualinvoke $r8.<org.mybatis.jpetstore.service.CatalogService: java.util.List getProductListByCategory(java.lang.String)>($r9)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution editAccount()>,$r6 = virtualinvoke $r4.<org.mybatis.jpetstore.service.AccountService: org.mybatis.jpetstore.domain.Account getAccount(java.lang.String)>($r5)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution editAccount()>,$r10 = virtualinvoke $r8.<org.mybatis.jpetstore.service.CatalogService: java.util.List getProductListByCategory(java.lang.String)>($r9)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution editAccount()>,virtualinvoke $r2.<org.mybatis.jpetstore.service.AccountService: void updateAccount(org.mybatis.jpetstore.domain.Account)>($r1)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution editAccount()>,$r6 = virtualinvoke $r4.<org.mybatis.jpetstore.service.AccountService: org.mybatis.jpetstore.domain.Account getAccount(java.lang.String)>($r5)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution editAccount()>,$r10 = virtualinvoke $r8.<org.mybatis.jpetstore.service.CatalogService: java.util.List getProductListByCategory(java.lang.String)>($r9)
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution signon()>,"$r4 = virtualinvoke $r1.<org.mybatis.jpetstore.service.AccountService: org.mybatis.jpetstore.domain.Account getAccount(java.lang.String,java.lang.String)>($r3, $r2)"
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution signon()>,$r10 = virtualinvoke $r8.<org.mybatis.jpetstore.service.CatalogService: java.util.List getProductListByCategory(java.lang.String)>($r9)
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution signon()>,"$r4 = virtualinvoke $r1.<org.mybatis.jpetstore.service.AccountService: org.mybatis.jpetstore.domain.Account getAccount(java.lang.String,java.lang.String)>($r3, $r2)"
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.AccountActionBean: net.sourceforge.stripes.action.Resolution signon()>,$r10 = virtualinvoke $r8.<org.mybatis.jpetstore.service.CatalogService: java.util.List getProductListByCategory(java.lang.String)>($r9)
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Cart,return_value_flow,3,<org.mybatis.jpetstore.web.actions.CartActionBean: net.sourceforge.stripes.action.Resolution addItemToCart()>,"virtualinvoke $r12.<org.mybatis.jpetstore.domain.Cart: void addItem(org.mybatis.jpetstore.domain.Item,boolean)>(r11, z2)"
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Cart,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.CartActionBean: net.sourceforge.stripes.action.Resolution addItemToCart()>,"virtualinvoke $r12.<org.mybatis.jpetstore.domain.Cart: void addItem(org.mybatis.jpetstore.domain.Item,boolean)>(r11, z2)"
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Cart,return_value_flow,3,<org.mybatis.jpetstore.web.actions.CartActionBean: net.sourceforge.stripes.action.Resolution updateCartQuantities()>,"virtualinvoke $r10.<org.mybatis.jpetstore.domain.Cart: void setQuantityByItemId(java.lang.String,int)>(r8, i0)"
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Cart,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.CartActionBean: net.sourceforge.stripes.action.Resolution updateCartQuantities()>,"virtualinvoke $r10.<org.mybatis.jpetstore.domain.Cart: void setQuantityByItemId(java.lang.String,int)>(r8, i0)"
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.OrderService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution listOrders()>,$r9 = virtualinvoke $r6.<org.mybatis.jpetstore.service.OrderService: java.util.List getOrdersByUsername(java.lang.String)>($r8)
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.OrderService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution listOrders()>,$r9 = virtualinvoke $r6.<org.mybatis.jpetstore.service.OrderService: java.util.List getOrdersByUsername(java.lang.String)>($r8)
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Order,return_value_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution newOrderForm()>,"virtualinvoke $r10.<org.mybatis.jpetstore.domain.Order: void initOrder(org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart)>($r12, $r11)"
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Order,return_value_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution newOrderForm()>,"virtualinvoke $r10.<org.mybatis.jpetstore.domain.Order: void initOrder(org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart)>($r12, $r11)"
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Order,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution newOrderForm()>,"virtualinvoke $r10.<org.mybatis.jpetstore.domain.Order: void initOrder(org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart)>($r12, $r11)"
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Order,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution newOrderForm()>,"virtualinvoke $r10.<org.mybatis.jpetstore.domain.Order: void initOrder(org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart)>($r12, $r11)"
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.OrderService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution newOrder()>,virtualinvoke $r7.<org.mybatis.jpetstore.service.OrderService: void insertOrder(org.mybatis.jpetstore.domain.Order)>($r6)
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.OrderService,return_value_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution viewOrder()>,$r8 = virtualinvoke $r7.<org.mybatis.jpetstore.service.OrderService: org.mybatis.jpetstore.domain.Order getOrder(int)>($i0)
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.OrderService,argument_passing_flow,3,<org.mybatis.jpetstore.web.actions.OrderActionBean: net.sourceforge.stripes.action.Resolution viewOrder()>,$r8 = virtualinvoke $r7.<org.mybatis.jpetstore.service.OrderService: org.mybatis.jpetstore.domain.Order getOrder(int)>($i0)
