subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic,target_improvement,required_modularity_loss
jpetstore,stage3,5,reverse_semantic_0.05,,achieved,0,seed5_solution012,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43050144795000760967,0.68395061728395045719,2.1640625,5,4.7999999999999998224,7,2,0.29166666666666657415,0,0.33333333333333331483,0.31604938271604932076,8.3085714285714296068,0.33333333333333331483,0.48394775749914670238,0.026168623854476300711,-0.63299316185545251301,0.055269408601771700951,False,False,0.026168623854476300711,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.026168623854476300711
jpetstore,stage3,5,reverse_semantic_0.10,,achieved,0,seed5_solution006,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.38588020118884308607,0.72345679012345665004,2.6160714285714283811,4,6,8,4,0.33333333333333331483,0,0.23570226039551581132,0.2765432098765430724,4.7910714285714295357,0.23570226039551581132,0.4444229853833115973,0.12710572951503579242,-0.15470053837925179518,0.13242703720373710796,False,False,0.12710572951503579242,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.12710572951503579242
jpetstore,stage3,5,reverse_semantic_0.20,,achieved,0,seed5_solution027,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 0, 0, 1, 0, 0]",False,,,False,0.33896357262612397676,0.63209876543209875255,1.7181208053691277016,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.36790123456790119194,5.2321428571428567622,0.20412414523193139759,0.4001805315044043021,0.23323518662814360369,0,0.21879421004470750445,False,False,0.23323518662814360369,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.23323518662814360369
jpetstore,stage3,5,reverse_semantic_0.30,,achieved,0,seed5_solution032,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 0, 2, 3, 0, 0, 0, 0, 0]",False,,,False,0.26937052278616058221,0.60987654320987649825,1.5632911392405062223,4,6,8,4,0.33333333333333331483,0,0.26352313834736490472,0.39012345679012339073,4.2880952380952379599,0.26352313834736490472,0.33223416390753429672,0.39066066293847101498,-0.29099444873580582183,0.35143458506135510921,False,False,0.39066066293847101498,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.39066066293847101498
jpetstore,stage3,6,reverse_semantic_0.05,,achieved,0,seed6_solution001,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden_perturb_0.02_0,raw_leiden_perturbation,True,0.43705532693187010285,0.74814814814814811772,2.9705882352941177516,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.25185185185185182677,4.9690476190476191576,0.1666666666666666019,0.46566906033572091905,0.011343184780135299322,0.18350341907227391003,0.090951864225554193699,False,False,0.011343184780135299322,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.011343184780135299322
jpetstore,stage3,6,reverse_semantic_0.10,,achieved,0,seed6_solution009,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 2, 2, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,False,0.39572016460905340418,0.70864197530864192487,2.4322033898305086552,4,6,9,3,0.375,0,0.37267799624996489349,0.29135802469135801962,5.3375000000000003553,0.37267799624996489349,0.4207522687414348983,0.10484688424435090193,-0.82574185835055391447,0.17863543425770930795,False,False,0.10484688424435090193,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.10484688424435090193
jpetstore,stage3,6,reverse_semantic_0.20,,achieved,0,seed6_solution010,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 2, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.37106538637402830538,0.70864197530864192487,2.4322033898305086552,4,6,8,4,0.33333333333333331483,0,0.33333333333333331483,0.29135802469135801962,5.0178571428571432378,0.33333333333333331483,0.40311072731760522192,0.160618117376104097,-0.63299316185545206892,0.21307407686788890078,False,False,0.160618117376104097,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.160618117376104097
jpetstore,stage3,6,reverse_semantic_0.30,,achieved,0,seed6_solution029,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.35147081237616212279,0.64444444444444437536,1.8125,4,6,8,4,0.33333333333333331483,0,0.23570226039551581132,0.35555555555555551361,5.201785714285714235,0.23570226039551581132,0.33695040469015452578,0.2049427324318547905,-0.15470053837925179518,0.34222785380844888969,False,False,0.2049427324318547905,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.2049427324318547905
jpetstore,stage3,7,reverse_semantic_0.05,,achieved,0,seed7_solution016,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40678859929888727676,0.68395061728395045719,2.1640625,4,6,8,4,0.33333333333333331483,0,0.26352313834736490472,0.31604938271604932076,6.1755952380952363612,0.26352313834736490472,0.44609974591006779088,0.079809131091359106214,-0.29099444873580582183,0.12915377694055990565,False,False,0.079809131091359106214,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.079809131091359106214
jpetstore,stage3,7,reverse_semantic_0.10,,achieved,0,seed7_solution016,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40678859929888727676,0.68395061728395045719,2.1640625,4,6,8,4,0.33333333333333331483,0,0.26352313834736490472,0.31604938271604932076,6.1755952380952363612,0.26352313834736490472,0.44609974591006779088,0.079809131091359106214,-0.29099444873580582183,0.12915377694055990565,False,False,0.079809131091359106214,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.079809131091359106214
