subject,ssa_lambda,resolution,raw_edge_count,g_ssa_edge_count,new_ssa_edge_count,ssa_weight_share,cluster_count,max_cluster_ratio,singleton_ratio,weighted_modularity,internal_edge_weight_ratio,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,0.0,1.25,267,267,0,0.0,30,0.256198347107438,0.12396694214876033,0.3538570548868928,0.5443916697113628,62.96296296296296,0.21480206540447505,1.0,0.08062735630024469,0.40906651259068777,0.44763271162123386,0.14130434782608695
daytrader,0.25,1.25,267,275,8,0.07243921037024485,30,0.2644628099173554,0.12396694214876033,0.3500887824145796,0.5425739218842667,62.03703703703704,0.22510231923601634,1.0,0.08814218655882736,0.40965050929546476,0.4558011049723757,0.14945652173913043
daytrader,0.5,1.25,267,275,8,0.13509243166376994,30,0.2644628099173554,0.12396694214876033,0.3492619664436328,0.5419497550955917,62.96296296296296,0.22623509369676317,1.0,0.08897323124725241,0.4117148832907933,0.45667125171939477,0.1503623188405797
daytrader,1.0,1.25,267,275,8,0.23802895322939865,29,0.2644628099173554,0.12396694214876033,0.34976365754634364,0.5470489977728286,62.96296296296296,0.22822417285617827,1.0,0.08683043938151436,0.40617938912415247,0.4482758620689655,0.15307971014492755
daytrader,2.0,1.25,267,275,8,0.3845288958848662,31,0.2892561983471074,0.12396694214876033,0.34682937623437043,0.5059590735327187,63.888888888888886,0.22318454363757492,1.0,0.07424977920208291,0.41409069797455483,0.42191435768261965,0.15172101449275363
daytrader,3.0,1.25,267,275,8,0.483779705771407,29,0.2975206611570248,0.12396694214876033,0.35268371998581166,0.52640513013957,62.03703703703704,0.2203444913877153,1.0,0.05863173590747913,0.37761757441827015,0.39010356731875717,0.15353260869565216
daytrader,4.0,1.25,267,275,8,0.555465324021439,30,0.30578512396694213,0.12396694214876033,0.35852436999271575,0.5146987169075848,62.03703703703704,0.2171095268956578,1.0,0.053270687843847454,0.38124267739301804,0.3815489749430524,0.15172101449275363
daytrader,0.0,1.5,267,267,0,0.0,33,0.2231404958677686,0.1322314049586777,0.3511475311797116,0.535622944830106,62.96296296296296,0.16935773232866883,1.0,0.0492090290775072,0.40266139842852156,0.4075993091537133,0.1068840579710145
daytrader,0.25,1.5,267,275,8,0.07243921037024485,31,0.24793388429752067,0.12396694214876033,0.3490951050323741,0.5395238498686774,62.03703703703704,0.20104347826086955,1.0,0.06977218979074501,0.4038623440076519,0.4332833583208396,0.1308876811594203
daytrader,0.5,1.5,267,275,8,0.13509243166376994,31,0.256198347107438,0.12396694214876033,0.3442885841434814,0.5269394849107284,62.03703703703704,0.2100898410504492,1.0,0.07700901348218325,0.39616294266145025,0.44314868804664725,0.13768115942028986
daytrader,1.0,1.5,267,275,8,0.23802895322939865,32,0.256198347107438,0.12396694214876033,0.3374725556296866,0.5011135857461024,62.96296296296296,0.21242624088858034,1.0,0.08198531304899685,0.41456404147271664,0.45468053491827637,0.13858695652173914
daytrader,2.0,1.5,267,275,8,0.3845288958848662,31,0.2644628099173554,0.12396694214876033,0.34162915914084985,0.4987632111535867,62.96296296296296,0.22640218878248974,1.0,0.09101234646623255,0.4168354397593919,0.4622905027932961,0.14990942028985507
daytrader,3.0,1.5,267,275,8,0.483779705771407,31,0.2644628099173554,0.12396694214876033,0.3509348977012876,0.5013202565069785,62.96296296296296,0.22305850153951418,1.0,0.08725200043845226,0.407877644706639,0.45594405594405596,0.14764492753623187
daytrader,4.0,1.5,267,275,8,0.555465324021439,31,0.2727272727272727,0.12396694214876033,0.35567925409317497,0.50365437713172,62.96296296296296,0.22116689280868387,1.0,0.08082211722978785,0.4032325836024083,0.44054054054054054,0.14764492753623187
