subject,budget,budget_label,metric,metric_category,metric_direction,availability_count,mean,median,std,minimum,maximum,better_count,tie_count,worse_count
daytrader,0.03,3%,nmi_vs_leiden,partition_similarity,descriptive,30,0.7814961447947333,0.8932021350302186,0.22595474374193827,0.3078143339751672,1.0000000000000002,,,
daytrader,0.03,3%,changed_class_ratio,partition_similarity,descriptive,30,0.6874213836477987,0.7169811320754718,0.296498900131006,0.0,1.0,,,
daytrader,0.03,3%,mojofm_vs_reference,external,descriptive,30,23.115942028985504,23.913043478260864,4.0962975540645425,10.869565217391308,28.260869565217394,,,
daytrader,0.03,3%,pairwise_f1,external,descriptive,30,0.1643873392048715,0.16982841719683822,0.020780712228384787,0.11241217798594848,0.18925831202046037,,,
daytrader,0.03,3%,ari_vs_reference,external,descriptive,30,0.028258989359271864,0.034134872134552574,0.02705846453150917,-0.045598875644162186,0.06557638611886717,,,
daytrader,0.03,3%,nmi_vs_reference,external,descriptive,30,0.3713720638416731,0.3910830977179458,0.05531524910930779,0.20977637866104906,0.42832512967876524,,,
daytrader,0.03,3%,pairwise_precision,external,descriptive,30,0.15396053613734667,0.15878533231474407,0.021430271632038183,0.09716599190283401,0.18857142857142858,,,
daytrader,0.03,3%,pairwise_recall,external,descriptive,30,0.17759259259259264,0.18333333333333332,0.023410897051418026,0.12777777777777777,0.20555555555555555,,,
daytrader,0.03,3%,reference_coverage_ratio,external,descriptive,30,1.0,1.0,0.0,1.0,1.0,,,
daytrader,0.05,5%,weighted_modularity,structural,higher_is_better,30,0.2688941775257236,0.2943578859220327,0.059877522148414665,0.14145783264797593,0.324596763898912,0.0,4.0,26.0
daytrader,0.05,5%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.17160548892759656,0.09315828541746185,0.18446740327658379,0.0,0.5642044272134837,0.0,4.0,26.0
daytrader,0.05,5%,imbalance,structural,lower_is_better,30,0.6476434129835973,0.6761528782208948,0.17701844055591567,0.04621678759968261,0.8929931748074893,29.0,1.0,0.0
daytrader,0.05,5%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.27474987351026975,0.24282413651519882,0.19823045186664184,0.0,0.9482450830493234,29.0,1.0,0.0
daytrader,0.05,5%,coupling,structural,lower_is_better,30,0.4565036900369004,0.43657749077490776,0.06093862162292274,0.34501845018450183,0.6217712177121771,2.0,4.0,24.0
daytrader,0.05,5%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.0923841059602649,0.04470198675496691,0.14582222039569148,-0.17439293598233999,0.48785871964679917,2.0,4.0,24.0
daytrader,0.05,5%,cohesion,structural,higher_is_better,30,8.828439240873765,7.101035631035631,4.597302719229993,4.691717171717171,23.90138888888889,21.0,1.0,8.0
daytrader,0.05,5%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,0.3497538128902328,0.08565621362436154,0.7028679367880181,-0.2826973184332549,2.654212245896037,21.0,1.0,8.0
daytrader,0.05,5%,cluster_count,structural,descriptive,30,8.766666666666667,9.0,1.4307782626184986,5.0,11.0,,,
daytrader,0.05,5%,cluster_count_change_vs_leiden,structural,descriptive,30,-2.2333333333333334,-2.0,1.4307782626184986,-6.0,0.0,,,
daytrader,0.05,5%,max_cluster_ratio,structural,descriptive,30,0.24150943396226418,0.24528301886792453,0.02497221052807006,0.18867924528301888,0.3018867924528302,,,
daytrader,0.05,5%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,-0.0037735849056603765,0.0,0.02497221052807006,-0.05660377358490565,0.05660377358490565,,,
daytrader,0.05,5%,singleton_count,structural,descriptive,30,1.0666666666666667,1.0,1.1724814044061258,0.0,4.0,,,
daytrader,0.05,5%,ari_vs_leiden,partition_similarity,descriptive,30,0.6702860063329914,0.8300349195078629,0.3239849018446923,0.027421741038506246,1.0,,,
daytrader,0.05,5%,nmi_vs_leiden,partition_similarity,descriptive,30,0.779385039330704,0.8826045276248184,0.22470876283612626,0.3078143339751672,1.0000000000000002,,,
daytrader,0.05,5%,changed_class_ratio,partition_similarity,descriptive,30,0.7132075471698115,0.7641509433962265,0.28327466211131036,0.0,1.0,,,
daytrader,0.05,5%,mojofm_vs_reference,external,descriptive,30,23.115942028985504,23.913043478260864,4.175104985564328,10.869565217391308,28.260869565217394,,,
daytrader,0.05,5%,pairwise_f1,external,descriptive,30,0.16414024248479805,0.16982841719683822,0.020506962757733962,0.11241217798594848,0.19321148825065274,,,
daytrader,0.05,5%,ari_vs_reference,external,descriptive,30,0.02831975389506057,0.034134872134552574,0.027132976000474516,-0.045598875644162186,0.06557638611886717,,,
daytrader,0.05,5%,nmi_vs_reference,external,descriptive,30,0.371888722374312,0.39266752055549037,0.05553596998846333,0.20977637866104906,0.42832512967876524,,,
daytrader,0.05,5%,pairwise_precision,external,descriptive,30,0.15414937451727895,0.15876010781671157,0.02163747849952173,0.09716599190283401,0.18857142857142858,,,
daytrader,0.05,5%,pairwise_recall,external,descriptive,30,0.1768518518518519,0.18333333333333332,0.02284022527143366,0.12777777777777777,0.20555555555555555,,,
daytrader,0.05,5%,reference_coverage_ratio,external,descriptive,30,1.0,1.0,0.0,1.0,1.0,,,
daytrader,0.1,10%,weighted_modularity,structural,higher_is_better,30,0.26223848054901217,0.28416076552947267,0.058449029398898684,0.14145783264797593,0.324596763898912,0.0,3.0,27.0
daytrader,0.1,10%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.19210999703410442,0.12457301756105045,0.18006658075340903,0.0,0.5642044272134837,0.0,3.0,27.0
daytrader,0.1,10%,imbalance,structural,lower_is_better,30,0.6191590675099322,0.6224784400050842,0.17561909143068702,0.04621678759968261,0.8929931748074893,29.0,1.0,0.0
daytrader,0.1,10%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.30664748065581804,0.3029303497876369,0.196663419592817,0.0,0.9482450830493234,29.0,1.0,0.0
daytrader,0.1,10%,coupling,structural,lower_is_better,30,0.4654520295202952,0.4460332103321033,0.06416424470197617,0.34501845018450183,0.6217712177121771,2.0,3.0,25.0
