class_name,package,raw_cluster_id,ssa_cluster_id,changed
org.eclipse.cargotracker.interfaces.booking.web.CargoDetails,org.eclipse.cargotracker.interfaces.booking.web,2,1,True
org.eclipse.cargotracker.interfaces.booking.web.ChangeArrivalDeadline,org.eclipse.cargotracker.interfaces.booking.web,2,1,True
org.eclipse.cargotracker.interfaces.booking.web.ChangeArrivalDeadlineDialog,org.eclipse.cargotracker.interfaces.booking.web,17,15,False
org.eclipse.cargotracker.interfaces.booking.web.ChangeDestination,org.eclipse.cargotracker.interfaces.booking.web,2,1,True
org.eclipse.cargotracker.interfaces.booking.web.ChangeDestinationDialog,org.eclipse.cargotracker.interfaces.booking.web,18,16,False
org.eclipse.cargotracker.interfaces.booking.web.ItinerarySelection,org.eclipse.cargotracker.interfaces.booking.web,2,1,True
org.eclipse.cargotracker.interfaces.booking.web.ListCargo,org.eclipse.cargotracker.interfaces.booking.web,2,1,True
org.eclipse.cargotracker.interfaces.booking.web.Track,org.eclipse.cargotracker.interfaces.booking.web,2,1,True
org.eclipse.cargotracker.interfaces.handling.HandlingEventRegistrationAttempt,org.eclipse.cargotracker.interfaces.handling,3,4,True
org.eclipse.cargotracker.interfaces.handling.file.EventFilesCheckpoint,org.eclipse.cargotracker.interfaces.handling.file,9,7,False
org.eclipse.cargotracker.interfaces.handling.file.EventItemReader,org.eclipse.cargotracker.interfaces.handling.file,9,7,False
org.eclipse.cargotracker.interfaces.handling.file.EventItemWriter,org.eclipse.cargotracker.interfaces.handling.file,3,4,True
org.eclipse.cargotracker.interfaces.handling.file.EventLineParseException,org.eclipse.cargotracker.interfaces.handling.file,9,7,False
org.eclipse.cargotracker.interfaces.handling.file.FileProcessorJobListener,org.eclipse.cargotracker.interfaces.handling.file,19,17,False
org.eclipse.cargotracker.interfaces.handling.file.LineParseExceptionListener,org.eclipse.cargotracker.interfaces.handling.file,9,7,False
org.eclipse.cargotracker.interfaces.handling.file.UploadDirectoryScanner,org.eclipse.cargotracker.interfaces.handling.file,20,18,False
org.eclipse.cargotracker.interfaces.handling.mobile.EventLogger,org.eclipse.cargotracker.interfaces.handling.mobile,3,2,True
org.eclipse.cargotracker.interfaces.handling.rest.HandlingReport,org.eclipse.cargotracker.interfaces.handling.rest,3,4,True
org.eclipse.cargotracker.interfaces.handling.rest.HandlingReportService,org.eclipse.cargotracker.interfaces.handling.rest,3,4,True
org.eclipse.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter,org.eclipse.cargotracker.interfaces.tracking.web,1,0,True
org.eclipse.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter$1,org.eclipse.cargotracker.interfaces.tracking.web,3,1,True
org.eclipse.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter$HandlingEventViewAdapter,org.eclipse.cargotracker.interfaces.tracking.web,6,2,True
org.eclipse.cargotracker.interfaces.tracking.web.Track,org.eclipse.cargotracker.interfaces.tracking.web,0,0,True
org.eclipse.pathfinder.api.GraphTraversalService,org.eclipse.pathfinder.api,5,5,True
org.eclipse.pathfinder.api.TransitEdge,org.eclipse.pathfinder.api,5,5,True
org.eclipse.pathfinder.api.TransitPath,org.eclipse.pathfinder.api,5,5,True
org.eclipse.pathfinder.internal.GraphDao,org.eclipse.pathfinder.internal,5,5,True
