source,target,flow_type,weight,evidence_method,evidence_statement
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: char eq(char)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: double eq(double)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: float eq(float)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: int eq(int)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: long eq(long)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: short eq(short)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object eq(java.lang.Object)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: boolean[] aryEq(boolean[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: byte[] aryEq(byte[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: char[] aryEq(char[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: double[] aryEq(double[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: float[] aryEq(float[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: int[] aryEq(int[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: long[] aryEq(long[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
