subject,seed,exact_identical,adjusted_rand_index,normalized_mutual_information,class_level_changed_count,changed_partition_ratio,stage2_profile_id,stage3_profile_id
xerces,9,False,0.97426444368866305,0.97409342716300484,656,0.8058968058968059,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,10,False,0.95925654436709429,0.96256824138854968,777,0.95454545454545459,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,11,False,0.94842331033580496,0.95703571948915689,722,0.88697788697788693,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,12,False,0.97004856718947108,0.961248979587353,250,0.30712530712530711,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,13,False,0.96656079500624392,0.94229888573990639,699,0.85872235872235869,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,14,False,0.95273223486247272,0.95383153317080727,642,0.78869778869778873,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,15,False,0.94395922978988001,0.9539242245149453,743,0.91277641277641275,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,16,False,0.95739630423359723,0.95901566988268783,745,0.91523341523341528,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,17,False,0.98726635309432165,0.98556926718435389,315,0.38697788697788699,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,18,False,0.96009850364256655,0.95223559617322817,622,0.76412776412776418,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,19,False,0.96958871304828176,0.96354143831797401,688,0.84520884520884521,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,20,False,0.94219386176106634,0.94096804949100998,730,0.89680589680589684,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,21,False,0.9502511028207834,0.95451516228763666,728,0.89434889434889431,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,22,False,0.95696168371798085,0.96133833210726138,669,0.82186732186732192,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,23,False,0.96803345145609454,0.96660972177837601,668,0.82063882063882065,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,24,False,0.96312362107376304,0.96690654197830339,581,0.71375921375921381,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,25,False,0.95579559121598268,0.95967881639021435,750,0.92137592137592139,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,26,False,0.95474920328105972,0.95960477034746539,702,0.86240786240786238,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,27,False,0.96639358034588652,0.96520106477814427,727,0.89312039312039315,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,28,False,0.92575012858357342,0.9388467710135906,744,0.91400491400491402,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,29,False,0.94873393838505116,0.94823781050893852,765,0.93980343980343983,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
