subject,seed,solution_id,coupling,cohesion,imbalance,f_semantic,pymoo_f0_coupling,pymoo_f1_negative_cohesion,pymoo_f2_imbalance,pymoo_f3_f_semantic,feasible,is_injected_seed,injected_seed_name,injected_seed_category,label_vector
daytrader,16,seed16_solution019,0.26291512915129150452,3.1861577964519143258,1.1607991256809073732,0.47819947472429302771,0.26291512915129150452,-3.1861577964519143258,1.1607991256809073732,0.47819947472429302771,True,False,,,"[0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 3, 4, 3, 0, 0, 0, 0, 0, 4, 5, 1, 1, 0, 6, 6, 0, 2, 7, 0, 0, 0, 0, 7, 5, 8, 9, 5, 5, 5, 5, 5, 5, 9, 9, 10, 11, 11, 12, 13, 13, 13, 2, 5]"
daytrader,16,seed16_solution020,0.27536900369003691758,1.2199619418917666547,0.86751425906208667893,0.71233187860414948211,0.27536900369003691758,-1.2199619418917666547,0.86751425906208667893,0.71233187860414948211,True,False,,,"[0, 0, 0, 1, 2, 0, 2, 0, 3, 0, 2, 4, 3, 0, 0, 0, 0, 0, 5, 2, 1, 1, 0, 4, 3, 0, 1, 4, 0, 0, 0, 0, 6, 6, 7, 0, 4, 2, 6, 3, 8, 7, 1, 1, 0, 6, 2, 2, 5, 3, 6, 2, 6]"
daytrader,16,seed16_solution021,0.29243542435424352277,4.4676219205630971487,1.0515377202334170725,0.56018185454724334082,0.29243542435424352277,-4.4676219205630971487,1.0515377202334170725,0.56018185454724334082,True,False,,,"[0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 3, 4, 3, 0, 0, 0, 0, 0, 0, 5, 1, 1, 0, 6, 6, 0, 2, 7, 2, 0, 0, 0, 2, 5, 8, 4, 8, 9, 9, 8, 5, 5, 10, 1, 8, 11, 11, 8, 12, 12, 12, 2, 5]"
daytrader,16,seed16_solution022,0.29750922509225091739,2.2336601307189543064,0.96706166254637715429,0.61602182323380583195,0.29750922509225091739,-2.2336601307189543064,0.96706166254637715429,0.61602182323380583195,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 3, 2, 0, 0, 0, 0, 0, 3, 4, 1, 1, 0, 5, 6, 0, 5, 5, 7, 0, 0, 8, 8, 7, 9, 5, 6, 8, 2, 7, 2, 6, 2, 10, 6, 7, 8, 10, 11, 11, 11, 0, 11]"
daytrader,16,seed16_solution023,0.30673431734317341268,4.7091114223467167577,1.0060337725862851244,0.6620650262565764832,0.30673431734317341268,-4.7091114223467167577,1.0060337725862851244,0.6620650262565764832,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 2, 3, 0, 3, 1, 4, 0, 0, 0, 0, 0, 3, 5, 1, 3, 0, 4, 2, 0, 6, 1, 0, 0, 1, 1, 6, 7, 6, 4, 0, 8, 1, 7, 5, 5, 9, 1, 9, 9, 6, 8, 4, 10, 11, 0, 11]"
daytrader,16,seed16_solution024,0.32841328413284132104,2.1446969696969699903,0.81983248990190304983,0.73708771188837651778,0.32841328413284132104,-2.1446969696969699903,0.81983248990190304983,0.73708771188837651778,True,False,,,"[0, 0, 0, 1, 1, 0, 2, 3, 3, 0, 1, 0, 4, 0, 0, 5, 0, 0, 4, 2, 4, 6, 0, 6, 3, 0, 1, 7, 1, 0, 8, 0, 2, 8, 9, 7, 8, 1, 2, 4, 4, 2, 8, 7, 0, 2, 9, 2, 5, 10, 10, 0, 4]"
daytrader,16,seed16_solution025,0.35055350553505537636,1.6028226675285499603,0.71945947037500446175,0.58700067553648238583,0.35055350553505537636,-1.6028226675285499603,0.71945947037500446175,0.58700067553648238583,True,False,,,"[0, 0, 1, 0, 1, 0, 2, 2, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 4, 1, 2, 0, 5, 2, 0, 1, 2, 6, 0, 6, 0, 3, 0, 3, 6, 1, 1, 5, 1, 0, 5, 2, 1, 3, 2, 2, 5, 1, 2, 1, 2, 5]"
daytrader,16,seed16_solution026,0.35608856088560886244,2.5420231729055258185,0.85261309642981153445,0.67118741045745466955,0.35608856088560886244,-2.5420231729055258185,0.85261309642981153445,0.67118741045745466955,True,False,,,"[0, 0, 1, 0, 0, 0, 0, 2, 3, 0, 3, 4, 4, 0, 0, 0, 0, 0, 1, 5, 1, 2, 0, 5, 6, 0, 1, 7, 6, 0, 6, 0, 4, 0, 4, 6, 5, 8, 8, 3, 3, 5, 2, 1, 9, 10, 9, 2, 1, 7, 7, 2, 5]"
daytrader,16,seed16_solution027,0.36808118081180812853,3.0420486376368729431,0.88859711994842394134,0.69394920181995989328,0.36808118081180812853,-3.0420486376368729431,0.88859711994842394134,0.69394920181995989328,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 2, 3, 0, 3, 4, 0, 1, 0, 4, 0, 0, 2, 5, 1, 5, 0, 1, 6, 0, 6, 1, 3, 0, 1, 4, 6, 7, 5, 4, 0, 8, 4, 7, 5, 5, 0, 1, 0, 4, 6, 8, 3, 9, 10, 3, 10]"
daytrader,16,seed16_solution028,0.37038745387453875235,3.9940476190476195129,0.95334378087998339346,0.65244107184598565397,0.37038745387453875235,-3.9940476190476195129,0.95334378087998339346,0.65244107184598565397,True,False,,,"[0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 3, 4, 3, 0, 5, 6, 0, 0, 0, 7, 1, 1, 0, 8, 8, 0, 2, 9, 2, 0, 0, 0, 2, 7, 10, 4, 10, 11, 11, 9, 7, 7, 12, 1, 6, 5, 5, 10, 13, 13, 13, 2, 7]"
