subject,ssa_lambda,resolution,raw_edge_count,g_ssa_edge_count,new_ssa_edge_count,ssa_weight_share,cluster_count,max_cluster_ratio,singleton_ratio,weighted_modularity,internal_edge_weight_ratio,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,0.0,1.25,161,161,0,0.0,13,0.16981132075471697,0.07547169811320754,0.31334113012486203,0.4944649446494465,32.608695652173914,0.20447284345047922,1.0,0.10513412999368862,0.5118496272610252,0.24060150375939848,0.17777777777777778
daytrader,0.25,1.25,161,169,8,0.08106389742502915,12,0.22641509433962265,0.07547169811320754,0.3246151067638515,0.5644802373635689,26.086956521739136,0.16997167138810199,1.0,0.04809573881184664,0.44749715067525797,0.17341040462427745,0.16666666666666666
daytrader,0.5,1.25,161,169,8,0.14997059400117624,12,0.22641509433962265,0.07547169811320754,0.327533077088836,0.5636149774554009,26.086956521739136,0.16997167138810199,1.0,0.04809573881184664,0.44749715067525797,0.17341040462427745,0.16666666666666666
daytrader,1.0,1.25,161,169,8,0.2608250937606546,13,0.18867924528301888,0.07547169811320754,0.3297409621796671,0.5114217524718718,26.086956521739136,0.1671826625386997,1.0,0.05826012286148358,0.4780682352362388,0.1888111888111888,0.15
daytrader,2.0,1.25,161,169,8,0.4137371552190373,14,0.20754716981132076,0.07547169811320754,0.34010808906397316,0.49378042184964843,26.086956521739136,0.1597444089456869,1.0,0.05482038629855464,0.49113550455643934,0.18796992481203006,0.1388888888888889
daytrader,3.0,1.25,161,169,8,0.5142280976921353,13,0.24528301886792453,0.07547169811320754,0.3517215440681915,0.5478377772798566,26.086956521739136,0.16422287390029325,1.0,0.04662837611485223,0.46620733033021855,0.17391304347826086,0.15555555555555556
daytrader,4.0,1.25,161,169,8,0.58530986993114,13,0.22641509433962265,0.07547169811320754,0.361515157479969,0.5154934965570007,23.913043478260864,0.14619883040935674,1.0,0.025620162922926407,0.4439402292327425,0.15432098765432098,0.1388888888888889
daytrader,0.0,1.5,161,161,0,0.0,14,0.16981132075471697,0.07547169811320754,0.3084043441333859,0.48154981549815495,30.434782608695656,0.17218543046357615,1.0,0.07451186881440805,0.5131090005632299,0.21311475409836064,0.14444444444444443
daytrader,0.25,1.5,161,169,8,0.08106389742502915,14,0.18867924528301888,0.07547169811320754,0.30719462841813105,0.4757867966514782,30.434782608695656,0.1699346405228758,1.0,0.06987892896244566,0.5024973762220638,0.20634920634920634,0.14444444444444443
daytrader,0.5,1.5,161,169,8,0.14997059400117624,13,0.18867924528301888,0.07547169811320754,0.32061768085496395,0.5055871397765144,26.086956521739136,0.1625,1.0,0.054424416222859484,0.4687840872327963,0.18571428571428572,0.14444444444444443
daytrader,1.0,1.5,161,169,8,0.2608250937606546,14,0.16981132075471697,0.07547169811320754,0.320915609424203,0.48107739515854075,26.086956521739136,0.15737704918032785,1.0,0.056340430067414536,0.4861617683238407,0.192,0.13333333333333333
daytrader,2.0,1.5,161,169,8,0.4137371552190373,14,0.18867924528301888,0.07547169811320754,0.3399489689513956,0.4932395889670092,26.086956521739136,0.16233766233766234,1.0,0.06031548009219123,0.4952658197188285,0.1953125,0.1388888888888889
daytrader,3.0,1.5,161,169,8,0.5142280976921353,14,0.18867924528301888,0.07547169811320754,0.3311042686276169,0.4806184181044141,26.086956521739136,0.15434083601286175,1.0,0.04977477595582566,0.4797376131551811,0.183206106870229,0.13333333333333333
daytrader,4.0,1.5,161,169,8,0.58530986993114,13,0.22641509433962265,0.07547169811320754,0.35024735123509504,0.5055470543228768,26.086956521739136,0.15615615615615616,1.0,0.041050634729589836,0.45663743476468355,0.16993464052287582,0.14444444444444443
