stage,subject,profile,available_seed_count,pair_count,availability_rate,ari_mean,ari_median,ari_iqr,nmi_mean,nmi_median,identical_partition_count,identical_partition_rate,cluster_count_mean,cluster_count_std
stage3,daytrader,budgeted_balance_0.025,10,45,0.33333333333333331483,0.86825738275833275193,0.86027952842004806744,0.078976652903940194883,0.91677940284049042052,0.92059057584361381199,0,0,9.5999999999999996447,1.0749676997731401062
stage3,daytrader,budgeted_balance_0.050,19,171,0.63333333333333330373,0.82532824990505615492,0.82909135270316980382,0.069158557496381806162,0.88610666020860806569,0.88800425857546605446,0,0,9.7894736842105256613,0.97632800547203679731
stage3,daytrader,budgeted_balance_0.100,24,276,0.80000000000000004441,0.73760563815964119705,0.73532126266007524773,0.10856319962627880571,0.82462367628249955143,0.82690358051607604217,0,0,9.7083333333333321491,0.90789611868255082339
stage3,daytrader,budgeted_semantic_0.050,19,171,0.63333333333333330373,0.83528181980782190141,0.83647356170600795089,0.083261572406516395906,0.89402974235285426197,0.8962012676948809542,0,0,10.052631578947368141,0.84811452387872421355
stage3,daytrader,conservative,30,435,1,0.53436532441613826538,0.69922450097579347261,0.68602791406668639507,0.68426669008836460417,0.80581866565965087901,0,0,9.4000000000000003553,1.5447352189134953004
stage3,daytrader,extreme_balance,30,435,1,0.0013587935431935000124,-0.0044593088071348003371,0.036639014580190996939,0.047896581620997899509,0.039765523203920100093,0,0,3.3666666666666666963,0.71839540228413800715
stage3,daytrader,extreme_semantic,30,435,1,0.46736322189413670447,0.21066222154871949712,0.75277234543175353121,0.60076489336279847997,0.48321787184274517246,0,0,12.86666666666666714,5.691695907095756013
stage3,daytrader,knee_native,30,435,1,0.055711495759760497337,0.042224821283520598547,0.059384256431649497243,0.21981301515770448884,0.20469821298646678764,0,0,5.8666666666666662522,2.0296650536196998438
stage3,jpetstore,budgeted_balance_0.010,29,406,0.96666666666666656305,0.94609393558867316276,1,0.10400180872710819424,0.95781018968336317787,1,253,0.62315270935960576093,4,0
stage3,jpetstore,budgeted_balance_0.025,30,435,1,0.86481571076772523199,0.89599819127289170861,0.10568128274820999535,0.89346394431537201619,0.91840817884374315039,93,0.21379310344827578971,4,0
stage3,jpetstore,budgeted_balance_0.050,30,435,1,0.8192820050322892067,0.80124317768344455182,0.12748885082302510718,0.85951520104025691538,0.83982342025403966534,37,0.085057471264367801034,4,0
stage3,jpetstore,budgeted_balance_0.100,30,435,1,0.71657487094017180418,0.69305108145421068233,0.17673790063858971222,0.79238647500922376743,0.76109116841376500684,13,0.029885057471264301482,4.1333333333333337478,0.34574590364176027713
stage3,jpetstore,budgeted_semantic_0.050,30,435,1,0.87974379045117534481,0.88752222880853581799,0.18622159090909090606,0.91657188893983199129,0.9156315804829824323,124,0.28505747126436781214,4.1333333333333337478,0.34574590364176027713
stage3,jpetstore,conservative,30,435,1,0.96638726957521203786,1,0.091570402126449595981,0.97322102898457196751,1,325,0.74712643678160906013,4,0
stage3,jpetstore,extreme_balance,30,435,1,0.54943058112598341935,0.53148148148148155467,0.25555555555555548031,0.66368780467526666822,0.64750657211366646759,10,0.022988505747126398299,4.1333333333333337478,0.50741626340492484992
stage3,jpetstore,extreme_semantic,30,435,1,0.63048460249851800974,0.66394344069128041763,0.34861153812694151144,0.72518730809666320791,0.75187536324252357556,12,0.027586206896551699469,4.0333333333333332149,0.49013251785356087842
stage3,jpetstore,knee_native,30,435,1,0.74864268428682545498,0.75302539628430187335,0.24121745413602591057,0.83904433021993862774,0.84567479913969456629,47,0.10804597701149419586,4.5999999999999996447,0.4982728791224397269
stage3,xerces,budgeted_balance_0.010,29,406,0.96666666666666656305,0.98241867380616965111,0.98316136785261443176,0.010842593098542399263,0.98156076720921614509,0.98312351780218198982,0,0,30.310344827586206407,0.89056355656172125901
stage3,xerces,budgeted_balance_0.025,30,435,1,0.95766233055758442916,0.9586619368797172358,0.016956804400569399499,0.95350779731175394627,0.95367866608506324244,0,0,29.466666666666665009,1.0416609195243757835
stage3,xerces,budgeted_balance_0.050,30,435,1,0.93958570157295961955,0.94197335571897244932,0.017122318120152600629,0.92808915479687015271,0.93035892533752340139,0,0,28.533333333333334991,0.81930724872668614367
stage3,xerces,budgeted_balance_0.100,30,435,1,0.88685827104528025533,0.88655773471491206017,0.028215279579492401341,0.87847932458502175912,0.87774740784805127536,0,0,28.033333333333334991,0.88991798666422394781
stage3,xerces,budgeted_semantic_0.050,30,435,1,0.98708145069420305528,0.99041027343846155251,0.0062609725061501999427,0.98867505465547023125,0.99119401104515403311,0,0,30.666666666666667851,0.60647843486312280614
stage3,xerces,conservative,30,435,1,0.98944124648634135255,0.99144356090442942175,0.0057847861964552002925,0.99108243175344756803,0.99284113924130956708,0,0,30.63333333333333286,0.71839540228413789613
stage3,xerces,extreme_balance,30,435,1,8.0630892976689045085e-05,-0.00013429142499890001062,0.002216171642558400004,0.0042672673597030997064,0.0037005149565746001464,0,0,4.1333333333333337478,1.4793599112881343771
stage3,xerces,extreme_semantic,30,435,1,0.98708145069420305528,0.99041027343846155251,0.0062609725061501999427,0.98867505465547023125,0.99119401104515403311,0,0,30.666666666666667851,0.60647843486312280614
stage3,xerces,knee_native,30,435,1,0.86894903067514206452,0.93145193057343644849,0.05725484497971450315,0.87294115837838470728,0.93270155201588123006,0,0,28.266666666666665719,4.3226215970478341077
