subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
xerces,org.apache.xerces.dom3.as.DOMASException,22,32768,false,9,4,0,false,false
xerces,org.apache.xerces.dom3.as.DOMASWriter,33,32768,false,22,3,0,false,false
xerces,org.apache.xerces.dom3.as.DOMImplementationAS,43,32768,false,32,3,0,false,false
xerces,org.apache.xerces.dom3.as.DocumentAS,97,32768,false,86,3,0,false,false
xerces,org.apache.xerces.dom3.as.DocumentEditAS,37,32768,false,26,3,0,false,false
xerces,org.apache.xerces.dom3.as.ElementEditAS,123,32768,false,112,3,0,false,false
xerces,org.apache.xerces.dom3.as.NodeEditAS,59,32768,false,48,3,0,false,false
xerces,org.apache.xerces.impl.Constants,133,32768,false,45,79,0,false,false
xerces,org.apache.xerces.impl.Constants$ArrayEnumeration,50,32768,false,20,21,0,false,false
xerces,org.apache.xerces.impl.ExternalSubsetResolver,35,32768,false,24,3,0,false,false
xerces,org.apache.xerces.impl.RevalidationHandler,32,32768,false,21,3,0,false,false
xerces,org.apache.xerces.impl.Version,35,32768,false,14,12,0,false,false
xerces,org.apache.xerces.impl.XML11DTDScannerImpl,179,32768,false,108,62,0,false,false
xerces,org.apache.xerces.impl.XML11DocumentScannerImpl,243,32768,false,129,105,0,false,false
xerces,org.apache.xerces.impl.XML11EntityScanner,163,32768,false,93,61,0,false,false
xerces,org.apache.xerces.impl.XML11NSDocumentScannerImpl,212,32768,false,78,125,0,false,false
xerces,org.apache.xerces.impl.XML11NSDocumentScannerImpl$NS11ContentDispatcher,81,32768,false,37,35,0,false,false
xerces,org.apache.xerces.impl.XML11NamespaceBinder,37,32768,false,24,4,0,false,false
xerces,org.apache.xerces.impl.XMLDTDScannerImpl,599,32768,false,360,230,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl,483,32768,false,281,193,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$Dispatcher,27,32768,false,16,3,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$ElementStack,60,32768,false,30,21,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher,126,32768,false,57,60,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentScannerImpl,248,32768,false,127,112,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentScannerImpl$ContentDispatcher,133,32768,false,60,64,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentScannerImpl$DTDDispatcher,82,32768,false,27,46,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentScannerImpl$PrologDispatcher,83,32768,false,25,49,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher,54,32768,false,26,19,0,false,false
xerces,org.apache.xerces.impl.XMLDocumentScannerImpl$XMLDeclDispatcher,66,32768,false,25,32,0,false,false
xerces,org.apache.xerces.impl.XMLEntityDescription,36,32768,false,25,3,0,false,false
xerces,org.apache.xerces.impl.XMLEntityHandler,45,32768,false,34,3,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager,764,32768,false,469,286,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$1,31,32768,false,17,5,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$ByteBufferPool,58,32768,false,28,21,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$CharacterBuffer,25,32768,false,10,6,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool,81,32768,false,46,26,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$EncodingInfo,48,32768,false,10,29,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$Entity,68,32768,false,46,13,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$ExternalEntity,82,32768,false,56,17,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$InternalEntity,79,32768,false,56,14,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$RewindableInputStream,133,32768,false,72,52,0,false,false
xerces,org.apache.xerces.impl.XMLEntityManager$ScannedEntity,177,32768,false,104,64,0,false,false
xerces,org.apache.xerces.impl.XMLEntityScanner,335,32768,false,218,108,0,false,false
xerces,org.apache.xerces.impl.XMLEntityScanner$1,30,32768,false,18,3,0,false,false
xerces,org.apache.xerces.impl.XMLErrorReporter,259,32768,false,185,65,0,false,false
xerces,org.apache.xerces.impl.XMLErrorReporter$1,32,32768,false,20,3,0,false,false
xerces,org.apache.xerces.impl.XMLNSDocumentScannerImpl,210,32768,false,74,127,0,false,false
xerces,org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher,77,32768,false,33,35,0,false,false
xerces,org.apache.xerces.impl.XMLNamespaceBinder,477,32768,false,355,113,0,false,false
xerces,org.apache.xerces.impl.XMLScanner,473,32768,false,277,187,0,false,false
xerces,org.apache.xerces.impl.XMLVersionDetector,135,32768,false,50,76,0,false,false
xerces,org.apache.xerces.impl.dtd.BalancedDTDGrammar,191,32768,false,120,62,0,false,false
xerces,org.apache.xerces.impl.dtd.DTDGrammar,1394,32768,false,1021,364,0,false,false
xerces,org.apache.xerces.impl.dtd.DTDGrammar$ChildrenList,26,32768,false,9,8,0,false,false
xerces,org.apache.xerces.impl.dtd.DTDGrammar$QNameHashtable,97,32768,false,51,37,0,false,false
xerces,org.apache.xerces.impl.dtd.DTDGrammar$QNameHashtable$PrimeNumberSequenceGenerator,41,32768,false,21,11,0,false,false
xerces,org.apache.xerces.impl.dtd.DTDGrammarBucket,83,32768,false,59,15,0,false,false
xerces,org.apache.xerces.impl.dtd.XML11DTDProcessor,83,32768,false,54,20,0,false,false
