stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,stage2_singleton_ratio,stage2_max_cluster_ratio,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,leiden_singleton_ratio,leiden_max_cluster_ratio,leiden_stage2_feasible,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion
10,same_seed,True,seed10_solution034,0.6220694913899825,0.2952269934369086,0.4547970479704797,6.240295121545122,8,0.0188679245283018,0.2452830188679245,10,2.0,0.610224967124386,0.2967887275159651,0.5424354243542435,9.547407407407407,15,0.07547169811320754,0.16981132075471697,True,0.011844524265596457,-7,-0.0015617340790564649,-0.08763837638376382,-3.307112285862285
11,same_seed,True,seed11_solution037,0.9358186239726222,0.316515234167563,0.415590405904059,6.772379136015499,11,0.0754716981132075,0.2641509433962264,11,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11,0.07547169811320754,0.24528301886792453,True,0.04282544916513287,0,-0.008081529731349013,-0.0023062730627306793,0.2316017316017307
12,same_seed,True,seed12_solution041,0.5228832626623026,0.2774492236965729,0.4663284132841328,7.500559757702613,7,0.0,0.2641509433962264,12,2.75,0.5719813732537403,0.2234805192263177,0.6605166051660517,9.5625,16,0.07547169811320754,0.1509433962264151,True,0.04909811059143776,-9,0.053968704470255174,-0.19418819188191888,-2.0619402422973874
13,same_seed,True,seed13_solution041,0.5552429799834777,0.2799032556746231,0.4460332103321033,5.716221873364731,7,0.0,0.2641509433962264,13,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.07547169811320754,0.1320754716981132,True,0.003537639711272189,-9,0.05964736999768511,-0.21817343173431736,-4.320682888540031
14,same_seed,True,seed14_solution036,0.653331686535124,0.3233561847265152,0.4188191881918819,8.68452380952381,8,0.0,0.2452830188679245,14,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.07547169811320754,0.16981132075471697,True,0.039663319963251786,-6,0.014951840593129262,-0.09963099630996308,0.07380952380952444
15,same_seed,True,seed15_solution035,0.8095636963367899,0.1426988373320081,0.415590405904059,4.4393939393939394,10,0.0,0.2830188679245283,15,1.25,0.7356071203629408,0.31911425923530445,0.4833948339483395,7.9703907203907205,13,0.07547169811320754,0.18867924528301888,True,0.07395657597384908,-3,-0.17641542190329634,-0.0678044280442805,-3.530996780996781
16,same_seed,True,seed16_solution042,0.6426183534311849,0.3126535033223947,0.4358856088560885,7.639658489658491,9,0.0377358490566037,0.2075471698113207,16,2.0,0.610224967124386,0.2967887275159651,0.5424354243542435,9.547407407407407,15,0.07547169811320754,0.16981132075471697,True,0.03239338630679889,-6,0.015864775806429643,-0.10654981549815501,-1.9077489177489158
17,same_seed,True,seed17_solution038,0.8312600291287053,0.324596763898912,0.4178966789667896,7.0012043512043505,10,0.0566037735849056,0.2452830188679245,17,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11,0.07547169811320754,0.24528301886792453,True,0.06173314567878396,-1,0.0,-5.551115123125783e-17,0.46042694679058194
18,same_seed,True,seed18_solution039,0.4180852793615158,0.1572161241676994,0.3999077490774907,6.495537958773253,4,0.0,0.3396226415094339,18,2.75,0.5719813732537403,0.2234805192263177,0.6605166051660517,9.5625,16,0.07547169811320754,0.1509433962264151,True,0.15389609389222453,-12,-0.06626439505861831,-0.260608856088561,-3.0669620412267466
19,same_seed,True,seed19_solution053,0.4059893356858493,0.1722984904549228,0.5046125461254612,5.080898268398268,8,0.0,0.2075471698113207,19,3.0,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.07547169811320754,0.1320754716981132,True,0.14571600458635625,-8,-0.0479573952220152,-0.1595940959409594,-4.956006493506493
