subject,seed,solution_id,mojofm_vs_reference,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,max_cluster_size,feasible,is_injected_seed,acceptable_strict,acceptable_lenient
daytrader,15,seed15_solution022,21.73913043478261,0.0913805384594437,0.3136531365313653,2.2883597883597884,0.6622614631994054,9,1,15,True,False,False,False
daytrader,15,seed15_solution023,21.73913043478261,0.0875645501150585,0.3284132841328413,2.4772079772079767,0.6171859333507972,9,1,14,True,False,False,False
daytrader,15,seed15_solution024,15.217391304347828,0.0409781533816261,0.3357933579335793,3.5675925925925926,0.6574057128371451,9,0,16,True,False,False,False
daytrader,15,seed15_solution025,19.565217391304344,0.0683312114486459,0.3436346863468634,2.2099715099715103,0.5336654952351302,9,0,14,True,False,False,False
daytrader,15,seed15_solution026,19.565217391304344,0.0919264698873926,0.3473247232472324,4.265565317035906,0.8841792085932062,11,1,17,True,False,False,False
daytrader,15,seed15_solution027,28.26086956521739,0.0858511211380564,0.3583948339483395,4.978832442067736,0.9524097708772802,11,0,17,True,False,False,False
daytrader,15,seed15_solution028,21.73913043478261,0.0754323623725168,0.3782287822878228,2.5128612128612127,0.5685478933328061,9,1,13,True,False,False,False
daytrader,15,seed15_solution029,19.565217391304344,0.0521398554622077,0.3796125461254612,4.108766233766234,0.635655868978227,8,0,15,True,False,False,False
daytrader,15,seed15_solution030,19.565217391304344,0.0496590162511404,0.3809963099630996,2.6134310134310135,0.5336654952351302,9,0,14,True,False,False,False
daytrader,15,seed15_solution031,23.913043478260864,0.1008549805285876,0.3888376383763837,4.414285714285715,0.8004982428526953,11,1,15,True,False,False,False
daytrader,15,seed15_solution032,21.73913043478261,0.0521836831606323,0.3980627306273063,2.989362026862027,0.470942791484856,8,0,13,True,False,False,False
daytrader,15,seed15_solution033,21.73913043478261,0.0510020373497093,0.3994464944649446,2.98658424908425,0.4460977516051656,8,0,13,True,False,False,False
daytrader,15,seed15_solution034,21.73913043478261,0.1243570519192276,0.4123616236162362,4.475521319638967,0.9520359103051216,9,2,17,True,False,False,False
daytrader,15,seed15_solution035,17.391304347826086,0.1426988373320081,0.415590405904059,4.4393939393939394,0.8095636963367899,10,0,15,True,False,False,False
daytrader,15,seed15_solution036,21.73913043478261,0.0880053801691154,0.4197416974169741,5.179860263193597,0.6171859333507972,9,0,14,True,False,False,False
daytrader,15,seed15_solution037,17.391304347826086,0.1023219318909057,0.434040590405904,2.999470899470899,0.4116495137598382,9,0,12,True,False,False,False
daytrader,15,seed15_solution038,23.913043478260864,0.0438255708664097,0.4381918819188192,2.835016835016835,0.4037912180949565,9,0,12,True,False,False,False
daytrader,15,seed15_solution039,19.565217391304344,0.1005631859247559,0.4497232472324723,10.495082078415413,0.5741556247057712,9,0,13,True,False,False,False
daytrader,15,seed15_solution040,15.217391304347828,0.1197017418744297,0.4561808118081181,14.422263993316625,0.9458458761882476,6,1,21,True,False,False,False
daytrader,15,seed15_solution041,15.217391304347828,0.1210325295134869,0.4561808118081181,14.379239766081872,0.9113422396779868,6,1,20,True,False,False,False
daytrader,15,seed15_solution042,30.434782608695656,0.1066940639424843,0.4644833948339483,24.6978354978355,1.122284706261362,11,1,21,True,False,False,False
daytrader,15,seed15_solution043,26.086956521739136,0.1275298794270231,0.4714022140221402,23.159391534391535,1.0993703495816765,12,3,19,True,False,False,False
daytrader,15,seed15_solution044,30.434782608695656,0.1001169305973501,0.4718634686346863,24.703030303030303,1.108239634384031,11,1,21,True,False,False,False
daytrader,15,seed15_solution045,15.217391304347828,0.1198573727550004,0.4764760147601476,17.1750208855472,0.7024343573202372,5,0,20,True,False,False,False
