class_name,reference_service
com.ibm.websphere.samples.daytrader.web.prims.PingServlet31Async,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServlet31Async$ReadListenerImpl,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServlet31Async$WriteListenerImpl,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServlet31AsyncRead,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServlet31AsyncRead$ReadListenerImpl,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServletCDI,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServletCDIBeanManagerViaCDICurrent,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServletCDIBeanManagerViaJNDI,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServletLargeContentLength,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingServletWriter,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingSession1,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingSession2,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingSession3,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingSession3Object,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$1,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Handler,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Listener,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketBinary,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketJson,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketJson$1,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketTextAsync,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketTextSync,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBQueue,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionLocal,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionRemote,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase,diagnostic_primitives
com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder,market_streaming
com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage,market_streaming
com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage$1,market_streaming
com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder,market_streaming
com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder,market_streaming
com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,market_streaming
com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,market_streaming
com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,market_streaming
