stage,focal_cluster_id,source_class,target_class,weight
stage2,C13,org.apache.xerces.impl.dv.xs.UnionDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$1,2
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$ValidationContextImpl,4
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.dv.xs.YearDV,2
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.dv.xs.YearMonthDV,2
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.dv.xs.YearMonthDurationDV,2
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.xpath.regex.RegularExpression,4
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,4
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.impl.xs.XMLSchemaValidator,2
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.util.XMLChar,8
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.xs.ShortList,10
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.xs.StringList,4
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,org.apache.xerces.xs.XSNamespaceItem,3
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$1,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$AbstractObjectList,1
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSFacetImpl,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSMVFacetImpl,org.apache.xerces.xs.StringList,3
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSMVFacetImpl,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,org.apache.xerces.xs.StringList,2
stage2,C13,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.validation.ValidationState,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,13
stage2,C13,org.apache.xerces.impl.validation.ValidationState,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,4
stage2,C13,org.apache.xerces.impl.validation.ValidationState,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,2
stage2,C13,org.apache.xerces.impl.validation.ValidationState,org.apache.xerces.impl.xs.traversers.XSDElementTraverser,2
stage2,C13,org.apache.xerces.impl.validation.ValidationState,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,2
stage2,C13,org.apache.xerces.impl.validation.ValidationState,org.apache.xerces.impl.xs.traversers.XSDocumentInfo,11
stage2,C13,org.apache.xerces.impl.xpath.XPathException,org.apache.xerces.impl.xs.traversers.XSDAbstractIDConstraintTraverser,4
stage2,C13,org.apache.xerces.impl.xs.AttributePSVImpl,org.apache.xerces.xs.XSAttributeDeclaration,4
stage2,C13,org.apache.xerces.impl.xs.AttributePSVImpl,org.apache.xerces.xs.XSSimpleTypeDefinition,1
stage2,C13,org.apache.xerces.impl.xs.AttributePSVImpl,org.apache.xerces.xs.XSTypeDefinition,2
stage2,C13,org.apache.xerces.impl.xs.ElementPSVImpl,org.apache.xerces.impl.xs.SchemaGrammar,1
stage2,C13,org.apache.xerces.impl.xs.ElementPSVImpl,org.apache.xerces.impl.xs.XSModelImpl,2
stage2,C13,org.apache.xerces.impl.xs.ElementPSVImpl,org.apache.xerces.xs.XSElementDeclaration,4
stage2,C13,org.apache.xerces.impl.xs.ElementPSVImpl,org.apache.xerces.xs.XSNotationDeclaration,2
stage2,C13,org.apache.xerces.impl.xs.ElementPSVImpl,org.apache.xerces.xs.XSSimpleTypeDefinition,1
stage2,C13,org.apache.xerces.impl.xs.ElementPSVImpl,org.apache.xerces.xs.XSTypeDefinition,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,12
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs.XMLSchemaLoader,9
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs.XMLSchemaValidator,44
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs.identity.IdentityConstraint,8
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser,10
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs.traversers.XSDHandler$XSAnnotationGrammarPool,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.impl.xs.util.XSGrammarPool,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.parsers.DOMParser,5
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.parsers.SAXParser,3
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.parsers.XML11Configuration,12
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.parsers.XMLGrammarCachingConfiguration,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.util.SymbolTable,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.xni.grammars.XMLGrammarDescription,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.xni.grammars.XSGrammar,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.xs.StringList,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.xs.XSModel,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinAttrDecl,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,8
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinAttrDecl,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.XSAttributeDecl,2
