subject,seed,run_type,calibration_status,bounds_source,class_count,max_raw_edge_weight,imbalance_upper_bound,imbalance_bound_method,calibration_bound_violation,hypervolume,hv_leiden_only,hv_gain_over_leiden,n_solutions,n_non_leiden_partitions,n_injected_seed_solutions,n_non_injected_solutions,exact_leiden_present_in_front,leiden_dominated_by_front,n_solutions_dominating_leiden,runtime_sec,front_source,final_population_size,result_opt_size,feasible_population_size,constraint_violating_population_size,recomputed_nondominated_size,n_unique_objective_vectors,n_unique_canonical_partitions,front_validation_passed,has_feasible_solution,used_infeasible_fallback,solution_id,coupling,cohesion,imbalance,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,maximum_cluster_size,minimum_cluster_size,max_cluster_ratio,singleton_ratio,selected_equals_leiden,selected_is_injected_seed,selected_seed_name,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
daytrader,10,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.13730216607301732,0.046326163842385255,0.09097600223063207,100,100,1,99,False,True,1,7.827500624989625,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed10_solution034,0.4547970479704797,6.240295121545122,0.6220694913899825,0.2952269934369086,0.5452029520295203,1.1987829614604462,8,6.625,13,1,0.24528301886792453,0.018867924528301886,False,False,,23.913043478260864,0.16129032258064516,0.19444444444444445,0.17632241813602015,0.03910898056492645,0.3707386530295335,1.0
daytrader,11,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.1751893624579895,0.046326163842385255,0.12886319861560425,100,100,1,99,False,False,0,7.727542250009719,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed11_solution037,0.41559040590405905,6.772379136015499,0.9358186239726222,0.31651523416756305,0.584409594095941,1.4062153163152054,11,4.818181818181818,14,1,0.2641509433962264,0.07547169811320754,False,True,raw_leiden_perturb_0.05_4,23.913043478260864,0.1596244131455399,0.18888888888888888,0.17302798982188297,0.036620675709977325,0.41139746822806006,1.0
daytrader,12,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.167942987026077,0.046326163842385255,0.12161682318369174,100,100,0,100,False,False,0,7.747632334008813,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed12_solution041,0.4663284132841328,7.5005597577026135,0.5228832626623026,0.2774492236965729,0.5336715867158671,1.1444114737883284,7,7.571428571428571,14,2,0.2641509433962264,0.0,False,False,,21.739130434782606,0.15283842794759825,0.19444444444444445,0.1711491442542787,0.029137795586517634,0.352048081035525,1.0
daytrader,13,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.1505120103270585,0.046326163842385255,0.10418584648467324,100,100,0,100,False,True,2,7.726681915984955,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed13_solution041,0.4460332103321033,5.716221873364731,0.5552429799834777,0.27990325567462315,0.5539667896678967,1.2419855222337126,7,7.571428571428571,14,2,0.2641509433962264,0.0,False,False,,21.739130434782606,0.1440677966101695,0.18888888888888888,0.16346153846153846,0.017907464447211478,0.32065468950142245,1.0
daytrader,14,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.18464332778443018,0.046326163842385255,0.13831716394204494,100,100,2,98,False,True,1,7.837301499966998,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed14_solution036,0.4188191881918819,8.68452380952381,0.653331686535124,0.3233561847265152,0.5811808118081181,1.3876651982378854,8,6.625,13,2,0.24528301886792453,0.0,False,False,,23.913043478260864,0.15178571428571427,0.18888888888888888,0.16831683168316827,0.027441227377371483,0.3620371859472663,1.0
daytrader,15,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.1735824830857423,0.046326163842385255,0.12725631924335706,100,100,0,100,False,False,0,7.823189457994886,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed15_solution035,0.41559040590405905,4.4393939393939394,0.8095636963367899,0.1426988373320081,0.584409594095941,1.4062153163152054,10,5.3,15,2,0.2830188679245283,0.0,False,False,,17.391304347826086,0.0970873786407767,0.1111111111111111,0.10362694300518134,-0.04159493869989602,0.3319217652193255,1.0
daytrader,16,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.17810282643004796,0.046326163842385255,0.1317766625876627,100,100,1,99,False,False,0,7.679553957947064,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed16_solution042,0.43588560885608857,7.6396584896584905,0.6426183534311849,0.3126535033223947,0.5641143911439115,1.294179894179894,9,5.888888888888889,11,1,0.20754716981132076,0.03773584905660377,False,False,,21.739130434782606,0.15463917525773196,0.16666666666666666,0.16042780748663102,0.02881947873553414,0.3745648780739316,1.0
daytrader,17,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.18449647347109233,0.046326163842385255,0.13817030962870708,99,99,2,97,False,True,1,7.678790708014276,recomputed_nondominated_front,100,99,100,0,99,99,99,True,True,False,seed17_solution038,0.41789667896678967,7.0012043512043505,0.8312600291287053,0.324596763898912,0.5821033210332104,1.3929359823399559,10,5.3,13,1,0.24528301886792453,0.05660377358490566,False,True,raw_leiden_perturb_0.005_3,26.086956521739136,0.17535545023696683,0.20555555555555555,0.18925831202046037,0.056201089798158306,0.41918381432660323,1.0
daytrader,18,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.20546767781086875,0.046326163842385255,0.1591415139684835,100,100,0,100,False,True,3,7.716519416018855,recomputed_nondominated_front,100,100,100,0,100,100,100,True,True,False,seed18_solution039,0.39990774907749077,6.495537958773253,0.41808527936151585,0.15721612416769942,0.6000922509225092,1.5005767012687428,4,13.25,18,4,0.33962264150943394,0.0,False,False,,23.913043478260864,0.15544041450777202,0.3333333333333333,0.21201413427561838,0.04118641846649234,0.2238710848395752,1.0
daytrader,19,formal,not_required,theoretical,53,260.0,1.602219002376727,exact_extreme_allocation_over_cluster_count_and_singleton_count,False,0.158834936426692,0.046326163842385255,0.11250877258430675,100,100,0,100,False,True,2,7.685256833967287,recomputed_nondominated_front,100,100,100,0,100,99,100,True,True,False,seed19_solution053,0.5046125461254612,5.080898268398268,0.4059893356858493,0.17229849045492282,0.49538745387453875,0.9817184643510055,8,6.625,11,3,0.20754716981132076,0.0,False,False,,19.565217391304344,0.11797752808988764,0.11666666666666667,0.11731843575418995,-0.01445331792640084,0.309450914705515,1.0
