subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,3,seed3_solution042,0.0872139285276618,0.625,1.6666666666666667,7,7.571428571428571,17,3,0.32075471698113206,0.0,"{""17"": 1, ""3"": 1, ""5"": 2, ""6"": 1, ""8"": 1, ""9"": 1}",19.565217391304344,0.13875598086124402,1.0,-0.011739176544488958,0.30164144301253815,0.12184873949579832,0.16111111111111112
daytrader,3,seed3_solution043,0.09710249979575458,0.6199261992619927,1.6310679611650485,7,7.571428571428571,18,2,0.33962264150943394,0.0,"{""18"": 1, ""2"": 1, ""6"": 3, ""7"": 1, ""8"": 1}",23.913043478260864,0.1588785046728972,1.0,0.008839090197081335,0.31931068575415017,0.13709677419354838,0.18888888888888888
daytrader,3,seed3_solution044,0.0982684016761755,0.6185424354243543,1.6215235792019347,7,7.571428571428571,17,4,0.32075471698113206,0.0,"{""17"": 1, ""4"": 1, ""5"": 2, ""7"": 2, ""8"": 1}",17.391304347826086,0.1262135922330097,1.0,-0.024501462157384316,0.2884575462291683,0.11206896551724138,0.14444444444444443
daytrader,3,seed3_solution045,0.03755108267180463,0.610239852398524,1.5656804733727812,7,7.571428571428571,15,3,0.2830188679245283,0.0,"{""15"": 1, ""3"": 1, ""5"": 1, ""7"": 2, ""8"": 2}",19.565217391304344,0.1212121212121212,1.0,-0.024824331948504905,0.2800145296699896,0.1111111111111111,0.13333333333333333
daytrader,3,seed3_solution046,0.04882660911479961,0.6056273062730627,1.535672514619883,6,8.833333333333334,16,3,0.3018867924528302,0.0,"{""10"": 1, ""11"": 1, ""16"": 1, ""3"": 1, ""4"": 1, ""9"": 1}",13.043478260869568,0.1348314606741573,1.0,-0.02456499488229272,0.25188310973943556,0.11320754716981132,0.16666666666666666
daytrader,3,seed3_solution047,0.07442624011110965,0.6019372693726938,1.5121668597914253,7,7.571428571428571,16,3,0.3018867924528302,0.0,"{""16"": 1, ""3"": 1, ""4"": 1, ""7"": 2, ""8"": 2}",17.391304347826086,0.11793611793611794,1.0,-0.03250919382375409,0.28818643605962846,0.10572687224669604,0.13333333333333333
daytrader,3,seed3_solution048,0.08126782893751455,0.6005535055350554,1.5034642032332564,7,7.571428571428571,16,4,0.3018867924528302,0.0,"{""16"": 1, ""4"": 1, ""6"": 3, ""7"": 1, ""8"": 1}",15.217391304347828,0.105,1.0,-0.04517796610169492,0.25925244107534795,0.09545454545454546,0.11666666666666667
daytrader,3,seed3_solution049,0.09491388070015393,0.5964022140221402,1.4777142857142858,7,7.571428571428571,16,3,0.3018867924528302,0.0,"{""16"": 1, ""3"": 1, ""5"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",15.217391304347828,0.12254901960784312,1.0,-0.027450098303842187,0.2826647960955418,0.10964912280701754,0.1388888888888889
daytrader,3,seed3_solution050,0.09426837954957044,0.5954797047970479,1.4720638540478905,7,7.571428571428571,16,3,0.3018867924528302,0.0,"{""16"": 1, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 2}",15.217391304347828,0.12345679012345678,1.0,-0.025362091010081963,0.28617153553553293,0.1111111111111111,0.1388888888888889
daytrader,3,seed3_solution051,0.10102380226984942,0.5871771217712177,1.422346368715084,7,7.571428571428571,17,2,0.32075471698113206,0.0,"{""17"": 1, ""2"": 1, ""4"": 1, ""5"": 1, ""8"": 2, ""9"": 1}",15.217391304347828,0.13647058823529412,1.0,-0.0166368479244145,0.2897860772597796,0.11836734693877551,0.16111111111111112
daytrader,3,seed3_solution052,0.07573947539521542,0.5797970479704797,1.3798024149286499,7,7.571428571428571,17,2,0.32075471698113206,0.0,"{""17"": 1, ""2"": 1, ""5"": 1, ""6"": 2, ""8"": 1, ""9"": 1}",10.869565217391308,0.10926365795724464,1.0,-0.047371386644722714,0.23764756207938273,0.0954356846473029,0.12777777777777777
daytrader,3,seed3_solution053,0.07866103828243078,0.5756457564575646,1.3565217391304347,5,10.6,19,2,0.3584905660377358,0.0,"{""11"": 1, ""13"": 1, ""19"": 1, ""2"": 1, ""8"": 1}",23.913043478260864,0.19103313840155947,1.0,0.025831553197940844,0.2527949117816557,0.14714714714714713,0.2722222222222222
daytrader,3,seed3_solution054,0.10785432779373934,0.5696494464944649,1.3236870310825295,6,8.833333333333334,14,4,0.2641509433962264,0.0,"{""11"": 1, ""12"": 1, ""14"": 1, ""4"": 1, ""6"": 2}",17.391304347826086,0.13551401869158877,1.0,-0.018693157297444182,0.2567369245472387,0.11693548387096774,0.16111111111111112
daytrader,3,seed3_solution055,0.09545279118612228,0.5668819188191881,1.308839190628328,4,13.25,17,10,0.32075471698113206,0.0,"{""10"": 1, ""12"": 1, ""14"": 1, ""17"": 1}",17.391304347826086,0.15830115830115832,1.0,-0.01466584701852991,0.2035960446581121,0.12130177514792899,0.22777777777777777
daytrader,3,seed3_solution056,0.016023598024264434,0.5544280442804428,1.2443064182194616,4,13.25,15,11,0.2830188679245283,0.0,"{""11"": 1, ""12"": 1, ""15"": 2}",15.217391304347828,0.16829745596868884,1.0,-0.0011145337249016149,0.20111100267836673,0.1299093655589124,0.2388888888888889
daytrader,3,seed3_solution057,0.08657321438297418,0.5507380073800738,1.2258726899383983,5,10.6,15,2,0.2830188679245283,0.0,"{""10"": 1, ""12"": 1, ""14"": 1, ""15"": 1, ""2"": 1}",17.391304347826086,0.15163934426229506,1.0,-0.01586227527849797,0.20817757571158016,0.12012987012987013,0.20555555555555555
