subject,seed,method,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
daytrader,9,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.14948453608247422308,0.1611111111111111216,0.15508021390374332471,0.022633615542766841178,0.37350702256687601244,1
daytrader,9,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.19736842105263158187,0.25,0.22058823529411764053,0.08734879536139156242,0.40143797435724470901,1
daytrader,9,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.17676767676767676796,0.19444444444444444753,0.18518518518518520266,0.056004839814592394243,0.42004255993766231869,1
daytrader,10,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.1488095238095238082,0.13888888888888889506,0.14367816091954024871,0.020092396388141184338,0.39029554327558507731,1
daytrader,10,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.17452830188679244183,0.20555555555555554692,0.18877551020408164795,0.055301645338208395286,0.40918592795269009832,1
daytrader,10,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.17937219730941703077,0.22222222222222220989,0.19851116625310172292,0.063066514543609772381,0.38804343773371924309,1
daytrader,11,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,15.217391304347827941,0.1160409556313993229,0.18888888888888888395,0.14376321353065540931,-0.021555369256508149362,0.22572975506337561447,1
daytrader,11,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16666666666666665741,0.17777777777777778456,0.17204301075268818577,0.04300377004527661251,0.40711698094085307931,1
daytrader,11,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,30.434782608695655881,0.19587628865979381243,0.21111111111111111049,0.20320855614973262759,0.078306384277672530514,0.44650036232072781717,1
daytrader,12,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.17435897435897435015,0.18888888888888888395,0.1813333333333333186,0.052634643377001445741,0.39587126316527354586,1
