subject,seed,partition,evaluation_graph,f_semantic
daytrader,21,stage3b_selected,stage3b,0.60246773793424801546
daytrader,22,stage3a_selected,stage3a,0.54804769596375690899
daytrader,22,stage3a_selected,stage3b,0.56093191610184378604
daytrader,22,stage3b_selected,stage3a,0.7834417533613238227
daytrader,22,stage3b_selected,stage3b,0.77501636233877224669
daytrader,23,stage3a_selected,stage3a,0.55740607326154489876
daytrader,23,stage3a_selected,stage3b,0.56175513225656747984
daytrader,23,stage3b_selected,stage3a,0.55765538266964398417
daytrader,23,stage3b_selected,stage3b,0.54840061217864399801
daytrader,24,stage3a_selected,stage3a,0.52864943205278080995
daytrader,24,stage3a_selected,stage3b,0.54971487018599396457
daytrader,24,stage3b_selected,stage3a,0.63511866974052511026
daytrader,24,stage3b_selected,stage3b,0.63637908018089106577
daytrader,25,stage3a_selected,stage3a,0.56966995313661739075
daytrader,25,stage3a_selected,stage3b,0.5621381717656004362
daytrader,25,stage3b_selected,stage3a,0.56454601982754515355
daytrader,25,stage3b_selected,stage3b,0.56052835612303653079
daytrader,26,stage3a_selected,stage3a,0.58493669463870523462
daytrader,26,stage3a_selected,stage3b,0.59308132513487410442
daytrader,26,stage3b_selected,stage3a,0.55844775884690422973
daytrader,26,stage3b_selected,stage3b,0.57622653800679302094
daytrader,27,stage3a_selected,stage3a,0.57155656482176619981
daytrader,27,stage3a_selected,stage3b,0.55952263442617888867
daytrader,27,stage3b_selected,stage3a,0.6085960123169773528
daytrader,27,stage3b_selected,stage3b,0.61287788121175201805
daytrader,28,stage3a_selected,stage3a,0.66530365895277809862
daytrader,28,stage3a_selected,stage3b,0.63324876970303023427
daytrader,28,stage3b_selected,stage3a,0.80879304320045164456
daytrader,28,stage3b_selected,stage3b,0.7889820692666617008
daytrader,29,stage3a_selected,stage3a,0.62768855962981828789
daytrader,29,stage3a_selected,stage3b,0.62545792779689945995
daytrader,29,stage3b_selected,stage3a,0.84891859590323037743
daytrader,29,stage3b_selected,stage3b,0.81306785165725159459
xerces,0,stage3a_selected,stage3a,0.38225287713328781614
xerces,0,stage3a_selected,stage3b,0.38812310859070531244
xerces,0,stage3b_selected,stage3a,0.38283617305887240878
xerces,0,stage3b_selected,stage3b,0.38743299874057834931
xerces,1,stage3a_selected,stage3a,0.3839798991466711886
xerces,1,stage3a_selected,stage3b,0.38751061880264836557
xerces,1,stage3b_selected,stage3a,0.3839798991466711886
