subject,class_id,stage3a_source_path,stage3a_text_hash,stage3b_declaration_hash,exact_match
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,data/semantic_inputs/daytrader_class_declarations.csv,0f30e2856083ce7809ae33a44b890c6c8ea99f7964d06f567693cbe9834acc7d,0f30e2856083ce7809ae33a44b890c6c8ea99f7964d06f567693cbe9834acc7d,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,data/semantic_inputs/daytrader_class_declarations.csv,ebb0a71ae821572211f9108ae470bb16755bf374a203a0cabed519823f207842,ebb0a71ae821572211f9108ae470bb16755bf374a203a0cabed519823f207842,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,data/semantic_inputs/daytrader_class_declarations.csv,3f95dc954e38484462053beb3b05e249e536f1db830393b557d7ccb93dea5c3c,3f95dc954e38484462053beb3b05e249e536f1db830393b557d7ccb93dea5c3c,true
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,data/semantic_inputs/daytrader_class_declarations.csv,fe52a5446d2684cc6bf34f902d2639c2b5cf29d2cf0d2697f2738fc0ee50e0c8,fe52a5446d2684cc6bf34f902d2639c2b5cf29d2cf0d2697f2738fc0ee50e0c8,true
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,data/semantic_inputs/daytrader_class_declarations.csv,26bf5ddd5afd93758bea2f0ec580c37da14b40090c1eb538ff4f5f803064b02c,26bf5ddd5afd93758bea2f0ec580c37da14b40090c1eb538ff4f5f803064b02c,true
daytrader,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,data/semantic_inputs/daytrader_class_declarations.csv,70d9a4e6f0264fe8807e68d1a19767fe1293b6160bd82ed88e8d97a461a283e7,70d9a4e6f0264fe8807e68d1a19767fe1293b6160bd82ed88e8d97a461a283e7,true
daytrader,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,data/semantic_inputs/daytrader_class_declarations.csv,ae0f42373042008c9575a3bf38f5a99e0721d4ef93cf23666a5c7fec29de466c,ae0f42373042008c9575a3bf38f5a99e0721d4ef93cf23666a5c7fec29de466c,true
daytrader,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,data/semantic_inputs/daytrader_class_declarations.csv,d97a597b2ca04fc97d5f53c0f0470038c74fad862840cc1e56aad74a5391db40,d97a597b2ca04fc97d5f53c0f0470038c74fad862840cc1e56aad74a5391db40,true
daytrader,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,data/semantic_inputs/daytrader_class_declarations.csv,b427c2f5f157730fc86ef980d45f643a647c07f814fdab3314fcb1e42a37f531,b427c2f5f157730fc86ef980d45f643a647c07f814fdab3314fcb1e42a37f531,true
daytrader,com.ibm.websphere.samples.daytrader.util.FinancialUtils,data/semantic_inputs/daytrader_class_declarations.csv,2dad4285e08e95ea31d66fcdc09ed215a0fb63a657a79681e349b320c8281737,2dad4285e08e95ea31d66fcdc09ed215a0fb63a657a79681e349b320c8281737,true
daytrader,com.ibm.websphere.samples.daytrader.util.KeyBlock,data/semantic_inputs/daytrader_class_declarations.csv,64a09d222de48169dff2cfb960584f599f85341ad2addcc5b0e197ea8f0a5c55,64a09d222de48169dff2cfb960584f599f85341ad2addcc5b0e197ea8f0a5c55,true
daytrader,com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,data/semantic_inputs/daytrader_class_declarations.csv,a5582bf8911a310d1794168c8370f56d7720253dacdcf48ac5bb01fef9160dbf,a5582bf8911a310d1794168c8370f56d7720253dacdcf48ac5bb01fef9160dbf,true
