collision_group,record_type,edge_type,class_id_a,class_id_b,rank,weight,selected_by,identical_embedding_tie,tie_rule
collision_06,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$3,org.apache.xerces.xinclude.SecuritySupport$3,,0.99999999999999789,both,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$3,org.apache.xml.serialize.SecuritySupport$3,,0.99999999999999789,b,true,class_id_lexicographic_ascending
collision_07,final_edge,to_external,org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.impl.XMLEntityManager$1,,0.62586198228930767,b,false,not_applicable
collision_07,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.impl.dv.SecuritySupport$4,,0.99999999999999878,both,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.parsers.SecuritySupport$4,,0.99999999999999878,both,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$4,org.apache.xerces.xinclude.SecuritySupport$4,,0.99999999999999878,both,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$4,org.apache.xml.serialize.SecuritySupport$4,,0.99999999999999878,b,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$5,org.apache.xerces.impl.dv.SecuritySupport$5,,1,both,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$5,org.apache.xerces.parsers.SecuritySupport$5,,1,both,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$5,org.apache.xerces.xinclude.SecuritySupport$5,,1,both,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$5,org.apache.xml.serialize.SecuritySupport$5,,1,b,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$6,org.apache.xerces.impl.dv.SecuritySupport$6,,1,both,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$6,org.apache.xerces.parsers.SecuritySupport$6,,1,both,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$6,org.apache.xerces.xinclude.SecuritySupport$6,,1,both,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$6,org.apache.xml.serialize.SecuritySupport$6,,1,b,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.impl.dv.SecuritySupport$7,,1,both,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.parsers.SecuritySupport$7,,1,both,true,class_id_lexicographic_ascending
collision_10,final_edge,to_external,org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.util.PrimeNumberSequenceGenerator,,0.45051808989650483,b,false,not_applicable
collision_10,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$7,org.apache.xerces.xinclude.SecuritySupport$7,,1,both,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$7,org.apache.xml.serialize.SecuritySupport$7,,1,b,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$8,org.apache.xerces.impl.dv.SecuritySupport$8,,1,both,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$8,org.apache.xerces.parsers.SecuritySupport$8,,1,both,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$8,org.apache.xerces.xinclude.SecuritySupport$8,,1,both,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$8,org.apache.xml.serialize.SecuritySupport$8,,1,b,true,class_id_lexicographic_ascending
collision_07,final_edge,to_external,org.apache.xerces.impl.XMLEntityManager$1,org.apache.xerces.impl.dv.SecuritySupport$4,,0.62586198228930767,a,false,not_applicable
collision_07,final_edge,to_external,org.apache.xerces.impl.XMLEntityManager$1,org.apache.xerces.parsers.SecuritySupport$4,,0.62586198228930767,a,false,not_applicable
collision_01,final_edge,intra_group,org.apache.xerces.impl.dv.ObjectFactory,org.apache.xerces.parsers.ObjectFactory,,1,both,true,class_id_lexicographic_ascending
collision_01,final_edge,intra_group,org.apache.xerces.impl.dv.ObjectFactory,org.apache.xerces.xinclude.ObjectFactory,,1,both,true,class_id_lexicographic_ascending
collision_01,final_edge,intra_group,org.apache.xerces.impl.dv.ObjectFactory,org.apache.xml.serialize.ObjectFactory,,1,b,true,class_id_lexicographic_ascending
collision_02,final_edge,intra_group,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,org.apache.xerces.parsers.ObjectFactory$ConfigurationError,,1,both,true,class_id_lexicographic_ascending
collision_02,final_edge,intra_group,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,org.apache.xerces.xinclude.ObjectFactory$ConfigurationError,,1,both,true,class_id_lexicographic_ascending
collision_02,final_edge,intra_group,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,org.apache.xml.serialize.ObjectFactory$ConfigurationError,,1,b,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport,org.apache.xerces.parsers.SecuritySupport,,0.999999999999999,both,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport,org.apache.xerces.xinclude.SecuritySupport,,0.999999999999999,both,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport,org.apache.xml.serialize.SecuritySupport,,0.999999999999999,b,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$1,org.apache.xerces.parsers.SecuritySupport$1,,1,both,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$1,org.apache.xerces.xinclude.SecuritySupport$1,,1,both,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$1,org.apache.xml.serialize.SecuritySupport$1,,1,b,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$2,org.apache.xerces.parsers.SecuritySupport$2,,1,both,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$2,org.apache.xerces.xinclude.SecuritySupport$2,,1,both,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$2,org.apache.xml.serialize.SecuritySupport$2,,1,b,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$3,org.apache.xerces.parsers.SecuritySupport$3,,0.99999999999999789,both,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$3,org.apache.xerces.xinclude.SecuritySupport$3,,0.99999999999999789,both,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$3,org.apache.xml.serialize.SecuritySupport$3,,0.99999999999999789,b,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$4,org.apache.xerces.parsers.SecuritySupport$4,,0.99999999999999878,both,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$4,org.apache.xerces.xinclude.SecuritySupport$4,,0.99999999999999878,both,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$4,org.apache.xml.serialize.SecuritySupport$4,,0.99999999999999878,b,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$5,org.apache.xerces.parsers.SecuritySupport$5,,1,both,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$5,org.apache.xerces.xinclude.SecuritySupport$5,,1,both,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$5,org.apache.xml.serialize.SecuritySupport$5,,1,b,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$6,org.apache.xerces.parsers.SecuritySupport$6,,1,both,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$6,org.apache.xerces.xinclude.SecuritySupport$6,,1,both,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$6,org.apache.xml.serialize.SecuritySupport$6,,1,b,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$7,org.apache.xerces.parsers.SecuritySupport$7,,1,both,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$7,org.apache.xerces.xinclude.SecuritySupport$7,,1,both,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$7,org.apache.xml.serialize.SecuritySupport$7,,1,b,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$8,org.apache.xerces.parsers.SecuritySupport$8,,1,both,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$8,org.apache.xerces.xinclude.SecuritySupport$8,,1,both,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.impl.dv.SecuritySupport$8,org.apache.xml.serialize.SecuritySupport$8,,1,b,true,class_id_lexicographic_ascending
collision_01,final_edge,intra_group,org.apache.xerces.parsers.ObjectFactory,org.apache.xerces.xinclude.ObjectFactory,,1,both,true,class_id_lexicographic_ascending
collision_01,final_edge,intra_group,org.apache.xerces.parsers.ObjectFactory,org.apache.xml.serialize.ObjectFactory,,1,b,true,class_id_lexicographic_ascending
collision_02,final_edge,intra_group,org.apache.xerces.parsers.ObjectFactory$ConfigurationError,org.apache.xerces.xinclude.ObjectFactory$ConfigurationError,,1,both,true,class_id_lexicographic_ascending
collision_02,final_edge,intra_group,org.apache.xerces.parsers.ObjectFactory$ConfigurationError,org.apache.xml.serialize.ObjectFactory$ConfigurationError,,1,b,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport,org.apache.xerces.xinclude.SecuritySupport,,0.999999999999999,both,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport,org.apache.xml.serialize.SecuritySupport,,0.999999999999999,b,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$1,org.apache.xerces.xinclude.SecuritySupport$1,,1,both,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$1,org.apache.xml.serialize.SecuritySupport$1,,1,b,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$2,org.apache.xerces.xinclude.SecuritySupport$2,,1,both,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$2,org.apache.xml.serialize.SecuritySupport$2,,1,b,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$3,org.apache.xerces.xinclude.SecuritySupport$3,,0.99999999999999789,both,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$3,org.apache.xml.serialize.SecuritySupport$3,,0.99999999999999789,b,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$4,org.apache.xerces.xinclude.SecuritySupport$4,,0.99999999999999878,both,true,class_id_lexicographic_ascending
collision_07,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$4,org.apache.xml.serialize.SecuritySupport$4,,0.99999999999999878,b,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$5,org.apache.xerces.xinclude.SecuritySupport$5,,1,both,true,class_id_lexicographic_ascending
collision_08,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$5,org.apache.xml.serialize.SecuritySupport$5,,1,b,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$6,org.apache.xerces.xinclude.SecuritySupport$6,,1,both,true,class_id_lexicographic_ascending
collision_09,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$6,org.apache.xml.serialize.SecuritySupport$6,,1,b,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$7,org.apache.xerces.xinclude.SecuritySupport$7,,1,both,true,class_id_lexicographic_ascending
collision_10,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$7,org.apache.xml.serialize.SecuritySupport$7,,1,b,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$8,org.apache.xerces.xinclude.SecuritySupport$8,,1,both,true,class_id_lexicographic_ascending
collision_11,final_edge,intra_group,org.apache.xerces.parsers.SecuritySupport$8,org.apache.xml.serialize.SecuritySupport$8,,1,b,true,class_id_lexicographic_ascending
