subject,class_id,body_token_count,invoked_method_token_count,field_token_count,local_token_count,exception_token_count,string_token_count,operation_token_count,invoked_method_proportion,field_proportion,string_proportion,embedding_shift_cosine_distance,neighbour_retention,stage3b_degree,neighbour_change,incident_stage3b_edge_count,incident_structural_overlap_count,incident_structural_overlap_ratio
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,0,0,0,0,0,0,0,0.0,0.0,0.0,0.11614490422099999,1.0,4,0.0,4,2,0.5
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,50,57,50,0,4,15,142,1.14,1.0,0.3,0.15528056676299995,0.6666666666666666,3,0.33333333333333337,3,3,1.0
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,43,33,34,0,0,9,75,0.7674418604651163,0.7906976744186046,0.20930232558139536,0.13243976697299997,1.0,3,0.0,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,36,37,40,0,0,6,79,1.0277777777777777,1.1111111111111112,0.16666666666666666,0.11942457982300003,0.6666666666666666,5,0.33333333333333337,5,3,0.6
daytrader,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,59,68,53,0,0,19,150,1.152542372881356,0.8983050847457628,0.3220338983050847,0.122613645966,0.6666666666666666,6,0.33333333333333337,6,3,0.5
daytrader,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,43,31,25,0,0,6,97,0.7209302325581395,0.5813953488372093,0.13953488372093023,0.11480274075100005,1.0,6,0.0,6,4,0.6666666666666666
daytrader,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,15,0,8,0,12,0,24,0.0,0.5333333333333333,0.0,0.37943597044099997,0.0,3,1.0,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.util.FinancialUtils,43,29,6,4,0,12,88,0.6744186046511628,0.13953488372093023,0.27906976744186046,0.19006320282400002,0.6666666666666666,3,0.33333333333333337,3,3,1.0
daytrader,com.ibm.websphere.samples.daytrader.util.KeyBlock,12,3,15,0,0,0,4,0.25,1.25,0.0,0.21668246648699996,0.6666666666666666,3,0.33333333333333337,3,2,0.6666666666666666
daytrader,com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,35,19,0,0,22,15,28,0.5428571428571428,0.0,0.42857142857142855,0.182607457037,1.0,3,0.0,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.util.Log,40,80,14,0,0,18,235,2.0,0.35,0.45,0.21549485218700004,0.6666666666666666,4,0.33333333333333337,4,3,0.75
daytrader,com.ibm.websphere.samples.daytrader.util.MDBStats,21,6,10,5,0,0,24,0.2857142857142857,0.47619047619047616,0.0,0.18999862291400005,0.6666666666666666,3,0.33333333333333337,3,2,0.6666666666666666
daytrader,com.ibm.websphere.samples.daytrader.util.TimerStat,15,17,16,0,0,0,3,1.1333333333333333,1.0666666666666667,0.0,0.18077534761400005,1.0,4,0.0,4,1,0.25
daytrader,com.ibm.websphere.samples.daytrader.util.TradeConfig,205,196,373,21,0,81,357,0.9560975609756097,1.8195121951219513,0.3951219512195122,0.12257043501499998,0.6666666666666666,5,0.33333333333333337,5,5,1.0
daytrader,com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13092404190899998,0.3333333333333333,3,0.6666666666666667,3,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,22,3,8,0,0,19,47,0.13636363636363635,0.36363636363636365,0.8636363636363636,0.22074269656699996,0.6666666666666666,4,0.33333333333333337,4,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.web.TradeAppServlet,71,14,3,0,0,84,169,0.19718309859154928,0.04225352112676056,1.1830985915492958,0.216456362932,1.0,3,0.0,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.web.TradeServletAction,126,36,26,3,36,348,359,0.2857142857142857,0.20634920634920634,2.761904761904762,0.16714441165100002,0.6666666666666666,5,0.33333333333333337,5,3,0.6
daytrader,com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,52,5,2,0,0,54,60,0.09615384615384616,0.038461538461538464,1.0384615384615385,0.23068592762200002,0.3333333333333333,4,0.6666666666666667,4,1,0.25
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,76,105,112,0,0,10,110,1.381578947368421,1.4736842105263157,0.13157894736842105,0.07480516745700005,1.0,5,0.0,5,1,0.2
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer,6,6,0,0,0,0,3,1.0,0.0,0.0,0.12844398876100005,0.3333333333333333,3,0.6666666666666667,3,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,26,33,29,0,0,0,2,1.2692307692307692,1.1153846153846154,0.0,0.14330189004500005,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.JSFLoginFilter,26,3,14,0,0,16,31,0.11538461538461539,0.5384615384615384,0.6153846153846154,0.22574502764799997,0.6666666666666666,3,0.33333333333333337,3,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator,25,2,11,0,4,13,22,0.08,0.44,0.52,0.306350343023,0.6666666666666666,3,0.33333333333333337,3,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,33,35,32,0,0,0,50,1.0606060606060606,0.9696969696969697,0.0,0.13022929475400002,1.0,6,0.0,6,2,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,28,33,62,0,0,0,5,1.1785714285714286,2.2142857142857144,0.0,0.24245356340400004,1.0,3,0.0,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,25,14,18,0,0,4,45,0.56,0.72,0.16,0.26676360049299996,1.0,7,0.0,7,2,0.2857142857142857
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,59,59,99,0,0,7,85,1.0,1.6779661016949152,0.11864406779661017,0.141153678758,1.0,5,0.0,5,2,0.4
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,42,44,48,1,0,4,36,1.0476190476190477,1.1428571428571428,0.09523809523809523,0.22375347915300003,0.3333333333333333,7,0.6666666666666667,7,2,0.2857142857142857
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,37,21,33,0,0,12,78,0.5675675675675675,0.8918918918918919,0.32432432432432434,0.175157635077,1.0,6,0.0,6,1,0.16666666666666666
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer,6,3,0,0,0,0,3,0.5,0.0,0.0,0.17172989149200002,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,116,31,89,1,6,154,124,0.2672413793103448,0.7672413793103449,1.3275862068965518,0.15409005067799997,0.3333333333333333,6,0.6666666666666667,6,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,134,98,232,3,0,125,303,0.7313432835820896,1.7313432835820894,0.9328358208955224,0.09455388216100002,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
