subject,seed,stage3a_projected_hv,stage3b_projected_hv,delta_hv_stage3b_minus_stage3a,stage3a_selected_f_semantic_on_stage3a,stage3a_selected_f_semantic_on_stage3b,stage3b_selected_f_semantic_on_stage3a,stage3b_selected_f_semantic_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3a,stage3a_selected_solution_id,stage3b_selected_solution_id,stage3a_selected_ari_vs_leiden,stage3a_selected_nmi_vs_leiden,stage3a_selected_equals_leiden,stage3b_selected_ari_vs_leiden,stage3b_selected_nmi_vs_leiden,stage3b_selected_equals_leiden,stage3a_vs_stage3b_selected_ari,stage3a_vs_stage3b_selected_nmi,stage3a_vs_stage3b_selected_partition_equal,stage3a_front_size,stage3b_front_size,stage3a_projected_front_size,stage3b_projected_front_size,reference_status
jpetstore,16,0.36618856653517661837,0.37929323636438377898,0.013104669829207160614,0.598785638479620963,0.51226006853751848702,0.63972029418351272767,0.5327142246541843873,0.020454156116665900278,0.040934655703891764666,seed16_solution000,seed16_solution008,1,1,True,0.80569141840818137013,0.84105135411644516008,False,0.80569141840818137013,0.84105135411644516008,False,100,99,42,45,unavailable
jpetstore,17,0.38116025814116655246,0.38702112130669685808,0.0058608631655303056185,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed17_solution000,seed17_solution000,1,1,True,1,1,True,1,1,True,100,100,35,48,unavailable
jpetstore,18,0.36346795859774999604,0.3912431424711231287,0.027775183873373132659,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed18_solution000,seed18_solution000,1,1,True,1,1,True,1,1,True,100,100,50,47,unavailable
jpetstore,19,0.37896504999868213526,0.39018452954366655838,0.011219479544984423125,0.598785638479620963,0.51226006853751848702,0.60061837755350833135,0.51211372451079617552,-0.00014634402672231150433,0.0018327390738873683418,seed19_solution000,seed19_solution002,1,1,True,0.8994095779575770333,0.91871780558966453789,False,0.8994095779575770333,0.91871780558966453789,False,100,100,51,62,unavailable
jpetstore,20,0.38289000478736545663,0.39503104273214839637,0.012141037944782939739,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed20_solution000,seed20_solution000,1,1,True,1,1,True,1,1,True,100,100,45,61,unavailable
jpetstore,21,0.36762966625952819832,0.37021192527113716553,0.002582259011608967203,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed21_solution000,seed21_solution000,1,1,True,1,1,True,1,1,True,100,100,51,42,unavailable
jpetstore,22,0.37815796051264777278,0.37637220010906641265,-0.0017857604035813601229,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed22_solution000,seed22_solution000,1,1,True,1,1,True,1,1,True,100,100,41,44,unavailable
jpetstore,23,0.37190584867938369928,0.38784903659326808167,0.01594318791388438239,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed23_solution000,seed23_solution000,1,1,True,1,1,True,1,1,True,100,100,48,58,unavailable
jpetstore,24,0.37961755409888475743,0.39068832414476689641,0.011070770045882138977,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed24_solution000,seed24_solution000,1,1,True,1,1,True,1,1,True,100,100,50,55,unavailable
jpetstore,25,0.38574113976301177553,0.3942142695236282024,0.0084731297606164268643,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed25_solution000,seed25_solution000,1,1,True,1,1,True,1,1,True,100,100,44,53,unavailable
