source,target,dependency_type,weight,evidence_kind,evidence_location
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: java.lang.String getPrefix()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void setPrefix(java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: java.lang.String getLocalName()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void setLocalName(java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: java.lang.String getNamespaceURI()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void setNamespaceURI(java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASObject cloneASObject(boolean)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: short getUsageLocation()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: java.lang.String getAsLocation()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void setAsLocation(java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
