class_count,changed_class_count_after_label_alignment,changed_class_ratio_after_label_alignment,ari,nmi,label_alignment,subject,seed,stage2_cluster_count,stage3_cluster_count,delta_cluster_count
814,8,0.0098280098280098278,0.98121903719960124,0.98283541255276663,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,6,30,31,1
814,0,0,1,0.99999999999999967,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,7,31,31,0
814,2,0.0024570024570024569,0.99699363983701716,0.99656291296936139,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,8,31,30,-1
814,5,0.0061425061425061421,0.99013627805203219,0.99034401224555912,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,9,31,31,0
814,4,0.0049140049140049139,0.99099329316744078,0.99171782471380254,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,10,30,31,1
814,7,0.0085995085995085995,0.98123201155060058,0.98407517409086465,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,11,31,31,0
814,0,0,1,0.99999999999999944,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,12,30,30,0
814,0,0,1,0.99999999999999944,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,13,29,29,0
814,6,0.0073710073710073713,0.99661116993354903,0.99438224827307542,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,14,31,30,-1
814,3,0.0036855036855036856,0.99348019713367197,0.99322607239875249,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,15,31,31,0
814,1,0.0012285012285012285,0.99598864406443532,0.99738516129637678,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,16,30,30,0
814,2,0.0024570024570024569,0.99741061853896273,0.99683894656846828,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,17,30,31,1
814,11,0.013513513513513514,0.97014557893800868,0.97560186517758918,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,18,30,31,1
814,1,0.0012285012285012285,0.99689170936524629,0.9975570666119481,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,19,31,31,0
814,27,0.033169533169533166,0.96351732564379078,0.95563355749846135,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,20,31,29,-2
814,3,0.0036855036855036856,0.9958408681869696,0.99463799844038181,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,21,31,31,0
814,2,0.0024570024570024569,0.99461645989716252,0.99520050671611437,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,22,31,31,0
814,5,0.0061425061425061421,0.98761897492946915,0.99110802094111872,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,23,28,31,3
814,1,0.0012285012285012285,0.99935275646343436,0.99895328364888991,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,24,30,31,1
814,2,0.0024570024570024569,0.99541023637945247,0.99530832164415217,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,25,31,31,0
814,4,0.0049140049140049139,0.99216358725635323,0.99225458589372417,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,26,31,30,-1
814,0,0,1,0.99999999999999933,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,27,31,31,0
814,20,0.024570024570024569,0.95716439791076002,0.96041823791567915,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,28,30,31,1
814,0,0,1,0.99999999999999967,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,29,30,30,0
