subject,seed,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,stage2_mojofm_vs_reference,stage3a_mojofm_vs_reference,delta_mojofm_vs_reference,stage2_pairwise_precision,stage3a_pairwise_precision,delta_pairwise_precision,stage2_pairwise_recall,stage3a_pairwise_recall,delta_pairwise_recall,stage2_pairwise_f1,stage3a_pairwise_f1,delta_pairwise_f1,stage2_ari_vs_reference,stage3a_ari_vs_reference,delta_ari_vs_reference,stage2_nmi_vs_reference,stage3a_nmi_vs_reference,delta_nmi_vs_reference,stage2_reference_coverage_ratio,stage3a_reference_coverage_ratio,delta_reference_coverage_ratio
daytrader,12,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,28.260869565217394,28.260869565217394,0,0.17435897435897435,0.17222222222222222,-0.0021367521367521292,0.18888888888888888,0.17222222222222222,-0.016666666666666663,0.18133333333333332,0.17222222222222222,-0.0091111111111110976,0.052634643377001446,0.047848265627898338,-0.0047863777491031073,0.39587126316527355,0.42109018022312539,0.025218917057851842,1,1,
daytrader,13,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,26.086956521739136,2.1739130434782723,0.16203703703703703,0.16113744075829384,-0.0008995962787431977,0.19444444444444445,0.18888888888888888,-0.0055555555555555636,0.17676767676767674,0.17391304347826086,-0.0028546332894158755,0.039963413174676436,0.038337388027776448,-0.0016260251468999884,0.39837909539312877,0.38966534955958071,-0.0087137458335480589,1,1,
daytrader,14,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,23.913043478260864,0,0.15525114155251141,0.17050691244239632,0.015255770889884918,0.18888888888888888,0.20555555555555555,0.016666666666666663,0.17042606516290726,0.18639798488664988,0.015971919723742622,0.03155959251096644,0.050862999151288203,0.019303406640321763,0.36081858099197583,0.40582098142611822,0.045002400434142387,1,1,
daytrader,15,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,21.739130434782606,26.086956521739136,4.3478260869565304,0.12334801762114538,0.17171717171717171,0.048369154096026337,0.15555555555555556,0.18888888888888888,0.033333333333333326,0.13759213759213756,0.17989417989417988,0.04230204230204232,-0.0095006324014977328,0.049875001112089749,0.059375633513587482,0.33737848376464047,0.43925501942389383,0.10187653565925336,1,1,
daytrader,16,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,19.565217391304344,19.565217391304344,0,0.13615023474178403,0.14285714285714285,0.0067069081153588173,0.16111111111111112,0.14999999999999999,-0.011111111111111127,0.1475826972010178,0.14634146341463414,-0.0012412337863836609,0.0069782349625920085,0.014467285136294899,0.0074890501737028903,0.35666857014855974,0.34061579638445916,-0.016052773764100581,1,1,
daytrader,17,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,30.434782608695656,4.3478260869565197,0.1691542288557214,0.18099547511312217,0.011841246257400767,0.18888888888888888,0.22222222222222221,0.033333333333333326,0.17847769028871391,0.199501246882793,0.02102355659407909,0.047152596441463523,0.064860111031715489,0.017707514590251966,0.39206890366757563,0.41830720706179547,0.026238303394219842,1,1,
daytrader,18,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,23.913043478260864,0,0.17129629629629631,0.17676767676767677,0.0054713804713804604,0.20555555555555555,0.19444444444444445,-0.011111111111111099,0.18686868686868688,0.1851851851851852,-0.0016835016835016758,0.051743003197073048,0.056004839814592394,0.0042618366175193462,0.41585774724674951,0.43717729518034437,0.021319547933594862,1,1,
daytrader,19,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,23.913043478260864,0,0.14285714285714285,0.16019417475728157,0.017337031900138716,0.15555555555555556,0.18333333333333332,0.027777777777777762,0.14893617021276598,0.17098445595854922,0.022048285745783242,0.014764236942766231,0.03667520120240831,0.021910964259642077,0.36629989362135407,0.38614386434487691,0.019843970723522841,1,1,
daytrader,20,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,21.739130434782606,-4.3478260869565304,0.16666666666666666,0.15748031496062992,-0.0091863517060367383,0.20000000000000001,0.22222222222222221,0.022222222222222199,0.1818181818181818,0.18433179723502302,0.002513615416841225,0.045853208185874746,0.037109267052497764,-0.0087439411333769812,0.41123326024298873,0.28373775512354765,-0.12749550511944108,1,1,
daytrader,21,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,23.913043478260864,0,0.17129629629629631,0.16591928251121077,-0.0053770137850855382,0.20555555555555555,0.20555555555555555,0,0.18686868686868688,0.18362282878411912,-0.0032458580845677598,0.051743003197073048,0.045662177352469399,-0.0060808258446036489,0.41585774724674951,0.37938421081198664,-0.036473536434762865,1,1,
daytrader,22,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,26.086956521739136,2.1739130434782723,0.16666666666666666,0.16822429906542055,0.0015576323987538943,0.17777777777777778,0.20000000000000001,0.022222222222222227,0.17204301075268819,0.18274111675126906,0.01069810599858087,0.043003770045276613,0.047599014363843978,0.0045952443185673653,0.42832512967876524,0.41213180062783927,-0.016193329050925964,1,1,
daytrader,23,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,15.217391304347828,23.913043478260864,8.6956521739130359,0.11297071129707113,0.15909090909090909,0.046120197793837955,0.14999999999999999,0.19444444444444445,0.044444444444444453,0.12887828162291168,0.17500000000000002,0.046121718377088339,-0.023665796939809754,0.036567796610169491,0.060233593549979245,0.28445670666703737,0.3896074479130896,0.10515074124605223,1,1,
daytrader,24,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,23.913043478260864,0,0.16748768472906403,0.15384615384615385,-0.013641530882910174,0.18888888888888888,0.17777777777777778,-0.011111111111111099,0.17754569190600519,0.16494845360824742,-0.012597238297757773,0.045357977013112109,0.028952725627686037,-0.016405251385426072,0.42103708599805811,0.38551133794579645,-0.035525748052261663,1,1,
daytrader,25,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,21.739130434782606,-4.3478260869565304,0.17535545023696683,0.1415929203539823,-0.033762529882984532,0.20555555555555555,0.17777777777777778,-0.027777777777777762,0.18925831202046037,0.15763546798029557,-0.031622844040164799,0.056201089798158306,0.014289658403540616,-0.041911431394617692,0.39457021799581588,0.36742438701718239,-0.027145830978633489,1,1,
daytrader,26,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,19.565217391304344,26.086956521739136,6.521739130434792,0.1111111111111111,0.17391304347826086,0.06280193236714976,0.17777777777777778,0.20000000000000001,0.022222222222222227,0.13675213675213677,0.18604651162790697,0.049294374875770208,-0.028616617149276463,0.05383136500961274,0.08244798215888921,0.24878228593065035,0.42062863221022745,0.17184634627957709,1,1,
daytrader,27,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,26.086956521739136,0,0.16097560975609757,0.18048780487804877,0.019512195121951209,0.18333333333333332,0.20555555555555555,0.022222222222222227,0.17142857142857143,0.19220779220779219,0.020779220779220758,0.037545157970792366,0.061681956516979393,0.024136798546187027,0.40497407942790181,0.42375629659466341,0.018782217166761594,1,1,
daytrader,28,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,21.739130434782606,28.260869565217394,6.5217391304347885,0.16080402010050251,0.15425531914893617,-0.0065487009515663441,0.17777777777777778,0.16111111111111112,-0.016666666666666663,0.16886543535620055,0.15760869565217392,-0.01125673970402663,0.036731451194127226,0.027863748907660933,-0.0088677022864662933,0.4033860480315925,0.41137674218038178,0.0079906941487892791,1,1,
daytrader,29,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,21.739130434782606,-2.1739130434782581,0.15207373271889402,0.15789473684210525,0.0058210041232112375,0.18333333333333332,0.20000000000000001,0.016666666666666691,0.16624685138539042,0.17647058823529413,0.010223736849903714,0.027354961978564688,0.035689293212036378,0.0083343312334716903,0.38981004777207373,0.38680022728780511,-0.0030098204842686216,1,1,
xerces,0,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,1,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,2,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,3,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,4,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,5,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,6,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,7,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,8,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,9,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,10,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,11,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,12,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,13,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,14,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,15,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,16,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,17,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,18,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,19,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,20,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,21,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,22,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,23,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,24,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,25,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,26,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,27,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,28,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
xerces,29,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
