subject,seed,solution_id,original_solution_id,coupling,cohesion,imbalance,original_f_semantic,pymoo_f0_coupling,pymoo_f1_negative_cohesion,pymoo_f2_imbalance,feasible,is_injected_seed,label_vector
jpetstore,2,seed2_solution024,seed2_solution024,0.345679012345679,8.363492063492064,0.4249182927993987,0.4701610636763046,0.345679012345679,-8.363492063492064,0.4249182927993987,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution025,seed2_solution025,0.345679012345679,7.2457142857142856,0.33333333333333337,0.6767847210747803,0.345679012345679,-7.2457142857142856,0.33333333333333337,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 4, 2, 4, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution029,seed2_solution029,0.35802469135802467,4.333333333333334,0.0,0.3528609863007721,0.35802469135802467,-4.333333333333334,0.0,True,False,"[0, 1, 1, 2, 1, 1, 0, 1, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 0, 0, 1, 0, 0]"
jpetstore,2,seed2_solution031,seed2_solution031,0.362962962962963,8.317857142857143,0.40824829046386296,0.45072990985317996,0.362962962962963,-8.317857142857143,0.40824829046386296,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution032,seed2_solution032,0.3654320987654321,8.066666666666666,0.38188130791298663,0.6777773714515966,0.3654320987654321,-8.066666666666666,0.38188130791298663,True,False,"[0, 1, 1, 2, 2, 3, 0, 2, 3, 4, 2, 3, 3, 3, 2, 3, 4, 2, 3, 4, 0, 1, 2, 0]"
jpetstore,2,seed2_solution034,seed2_solution034,0.3728395061728395,9.252380952380953,0.4039733214513608,0.6664067430849863,0.3728395061728395,-9.252380952380953,0.4039733214513608,True,False,"[0, 1, 1, 2, 3, 3, 0, 3, 3, 4, 2, 2, 3, 2, 2, 3, 4, 2, 3, 1, 0, 1, 2, 0]"
jpetstore,2,seed2_solution037,seed2_solution037,0.37777777777777777,6.768571428571429,0.2429563289518875,0.6610660484935147,0.37777777777777777,-6.768571428571429,0.2429563289518875,True,False,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 4, 2, 2, 4, 3, 2, 3, 4, 2, 3, 4, 0, 1, 2, 0]"
jpetstore,2,seed2_solution038,seed2_solution038,0.3802469135802469,9.918095238095239,0.48232653761625943,0.481914823878531,0.3802469135802469,-9.918095238095239,0.48232653761625943,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 0, 0, 0]"
jpetstore,2,seed2_solution041,seed2_solution041,0.38765432098765434,6.888571428571429,0.27638539919628335,0.681258677569243,0.38765432098765434,-6.888571428571429,0.27638539919628335,True,False,"[0, 1, 1, 2, 3, 4, 0, 2, 4, 3, 2, 2, 3, 4, 2, 3, 3, 2, 4, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution042,seed2_solution042,0.3925925925925926,11.461904761904762,0.5651941652604391,0.6603250022796893,0.3925925925925926,-11.461904761904762,0.5651941652604391,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 3, 0, 1, 2, 3]"
jpetstore,2,seed2_solution043,seed2_solution043,0.3950617283950617,11.678571428571429,0.5803495115493383,0.6563263591744549,0.3950617283950617,-11.678571428571429,0.5803495115493383,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 3, 0, 3, 2, 0]"
jpetstore,2,seed2_solution044,seed2_solution044,0.3950617283950617,8.466666666666667,0.33333333333333337,0.7575094588288813,0.3950617283950617,-8.466666666666667,0.33333333333333337,True,False,"[0, 1, 1, 2, 1, 3, 0, 3, 3, 4, 2, 2, 3, 2, 1, 3, 4, 2, 3, 1, 0, 1, 2, 0]"
jpetstore,2,seed2_solution046,seed2_solution046,0.4,6.58,0.15590239111558088,0.7276705633454752,0.4,-6.58,0.15590239111558088,True,False,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 4, 2, 2, 4, 3, 4, 3, 4, 2, 3, 4, 0, 1, 2, 0]"
jpetstore,2,seed2_solution049,seed2_solution049,0.41728395061728396,7.3933333333333335,0.2041241452319315,0.6507748571446491,0.41728395061728396,-7.3933333333333335,0.2041241452319315,True,False,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 4, 2, 2, 4, 3, 2, 3, 4, 2, 3, 4, 0, 1, 2, 4]"
jpetstore,2,seed2_solution051,seed2_solution051,0.4246913580246914,8.73047619047619,0.33333333333333337,0.7103234521407075,0.4246913580246914,-8.73047619047619,0.33333333333333337,True,False,"[0, 1, 1, 2, 2, 3, 0, 2, 3, 4, 2, 2, 3, 3, 4, 3, 4, 2, 3, 4, 0, 1, 2, 4]"
jpetstore,2,seed2_solution052,seed2_solution052,0.4246913580246914,5.393333333333333,0.08333333333333333,0.6710377397323385,0.4246913580246914,-5.393333333333333,0.08333333333333333,True,False,"[0, 1, 1, 2, 1, 2, 0, 3, 3, 4, 2, 2, 4, 4, 3, 4, 4, 3, 2, 0, 0, 1, 3, 0]"
jpetstore,2,seed2_solution053,seed2_solution053,0.42962962962962964,12.056666666666668,0.5,0.5811872237303835,0.42962962962962964,-12.056666666666668,0.5,True,False,"[0, 1, 1, 2, 2, 3, 0, 2, 3, 4, 2, 2, 2, 3, 2, 3, 4, 2, 3, 4, 4, 1, 2, 4]"
