subject,seed,front_size,leiden_in_retained_front,leiden_dominated,leiden_dominator_solution_ids,selected_solution_id,selected_by_modularity_max,selected_equals_leiden,another_retained_higher_modularity,population_size_limit_plausible,classification,classification_definition
daytrader,1,97,False,True,seed1_solution029;seed1_solution033,seed1_solution064,False,False,False,False,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,2,100,False,True,seed2_solution037;seed2_solution040,seed2_solution040,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,3,100,False,True,seed3_solution036;seed3_solution037;seed3_solution039;seed3_solution040;seed3_solution043;seed3_solution044;seed3_solution047;seed3_solution049;seed3_solution050,seed3_solution077,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,4,100,False,True,seed4_solution039,seed4_solution042,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,5,100,False,True,seed5_solution038;seed5_solution040;seed5_solution041;seed5_solution043;seed5_solution045;seed5_solution047;seed5_solution048;seed5_solution049,seed5_solution037,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,6,100,False,True,seed6_solution036,seed6_solution038,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,7,100,False,True,seed7_solution033;seed7_solution041;seed7_solution042,seed7_solution073,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,8,100,False,True,seed8_solution043;seed8_solution046,seed8_solution052,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,9,100,False,True,seed9_solution038;seed9_solution039;seed9_solution042,seed9_solution050,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,10,100,False,True,seed10_solution029;seed10_solution032;seed10_solution034,seed10_solution038,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,11,100,False,True,seed11_solution040;seed11_solution041,seed11_solution061,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,12,100,False,True,seed12_solution029;seed12_solution030,seed12_solution034,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,13,100,False,True,seed13_solution026;seed13_solution030;seed13_solution033,seed13_solution033,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,14,100,False,True,seed14_solution039;seed14_solution041,seed14_solution042,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,15,100,False,True,seed15_solution030;seed15_solution032,seed15_solution030,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,16,100,False,True,seed16_solution027;seed16_solution028;seed16_solution031,seed16_solution039,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,17,100,False,False,,seed17_solution034,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,18,100,False,True,seed18_solution033,seed18_solution033,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,19,85,False,True,seed19_solution020;seed19_solution022;seed19_solution023,seed19_solution029,False,False,False,False,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,20,100,False,True,seed20_solution034;seed20_solution035;seed20_solution037;seed20_solution038,seed20_solution038,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,21,100,False,True,seed21_solution030,seed21_solution030,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,22,100,False,False,,seed22_solution037,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,23,98,False,True,seed23_solution035;seed23_solution036;seed23_solution037;seed23_solution039;seed23_solution040,seed23_solution054,False,False,False,False,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,24,100,True,False,,seed24_solution029,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,25,100,False,False,,seed25_solution046,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,26,100,False,True,seed26_solution033;seed26_solution035;seed26_solution036;seed26_solution037;seed26_solution038;seed26_solution040,seed26_solution037,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,27,100,False,False,,seed27_solution030,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,28,100,False,True,seed28_solution036,seed28_solution040,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,29,100,False,True,seed29_solution036,seed29_solution039,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,0,100,False,False,,seed0_solution018,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,1,100,False,True,seed1_solution017,seed1_solution017,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,2,100,False,False,,seed2_solution017,False,False,True,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,3,100,True,False,,seed3_solution009,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,4,100,True,False,,seed4_solution014,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,5,100,True,False,,seed5_solution012,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,6,100,False,True,seed6_solution016,seed6_solution016,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,7,100,False,False,,seed7_solution018,False,False,True,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,8,100,True,False,,seed8_solution011,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,9,100,False,False,,seed9_solution019,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,10,100,False,True,seed10_solution021,seed10_solution021,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,11,100,True,False,,seed11_solution017,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
