class_id,input_hash,embedding_sha256
org.jfree.chart.StandardChartTheme$1,60836aa322fc8f68a3fb3effbe02b93156df75f8518fbbf36db9bec5fc960d4d,38215803894c794a03c7e7a5b45ae0a1dff82e230687c75a0e56608d63dbd378
org.jfree.chart.StrokeMap,1e7e99c46d5a8fadf940a4659062bc0fe58261d75c05c0de4637039bd410f991,ffaeac62c63c99ba98ebddb92493a9497dbcd239e7daae1618c25e4361c7d74d
org.jfree.chart.annotations.AbstractAnnotation,18e02b68295d516259330f784d58a78afb4abe8d3f05ec63b0496c3710fec73b,badd104a705ca4e42a09b14e5d1ee0d18ee8d35d0e46b69b6cee20b494541f34
org.jfree.chart.annotations.AbstractXYAnnotation,37e9b95e3e8f926e7114aa1697f7b2d59e2a8c1bcb1ab96b4b0d5939f8135dfa,c65718375a2fd6b1c74f96a941201797653882a5b7fdc5a12f206a08c597ac09
org.jfree.chart.annotations.Annotation,11eacb0d2dc402b37e7fb4e25d1728413a7ef00bebedc3087ba1ab38736ce853,f70ed72bcb00cd1431834701f35dd22e1ed44160017e4371250222860e38dbff
org.jfree.chart.annotations.CategoryAnnotation,f5dd85173bd40d01a659b9ce47692446b4851d4395c66a91ac605b64ff1a2674,69ce41c615060bca8fb2316ba22f60872523b95f5ebc0be497d6d93baec06e47
org.jfree.chart.annotations.CategoryLineAnnotation,b6d19105dff092fd32edbc57da1790570da4a2d0c96cf2db1def630394f799d9,4093f075e0fa344d2771fa71d325a85c1d241e29e5db111c64929e8642693d48
org.jfree.chart.annotations.CategoryPointerAnnotation,c049e1bbd292ab1e3cf9160b3feb356c7e95a486ae81d1a5d7361217ee6fa6e7,f8218ae35e107e9f9e9e0dbcc79c4757de31256931123e1b16fee06d86fea394
org.jfree.chart.annotations.CategoryTextAnnotation,3bad398ef5e982cb2817292ecbce958b1b7ade34c450048cbda45b35a23dd0b4,6173e511c52bcf374d6ead293bc1e40e54198b84cd9c7bd84186fd20d39148fb
org.jfree.chart.annotations.TextAnnotation,7ac47500edb017525c01c881b1060d232b1109d425faeb1fce3fe6b866c18752,d12e00111542e3bb1aa05017fd1c8d076e708312ef9776851822e4bb52e61e46
org.jfree.chart.annotations.XYAnnotation,3cbadfe0b0ab63fd22609bdd5a06258414d4939520f97f747cf16da6e17fca12,23c43f6b6075545b147b1cc514596eb6bb9312f48e4f1a25511a019a3126e885
