stage,subject,profile,metric,reference_status,available_n,median,mean,iqr,median_delta_vs_leiden,mean_delta_vs_leiden,median_delta_vs_conservative,mean_delta_vs_conservative,mean_delta_vs_stage2_conservative,mean_delta_vs_stage3_conservative
stage2,daytrader,conservative,ari_vs_reference,available,30,0.037138304582459799597,0.029603356355566500663,0.030731472573456299069,-0.0082196724306522993275,-0.015754620657545501117,0,0,0,-0.0064910256739958002367
stage2,daytrader,conservative,nmi_vs_reference,available,30,0.39021503485715497428,0.37608399151557547757,0.041819221012354100553,-0.030822051140903000688,-0.044953094482482497396,0,0,0,-0.013925221502007199478
stage2,daytrader,conservative,reference_coverage_ratio,available,30,1,1,0,0,0,0,0,0,0
stage2,daytrader,extreme_balance,mojofm_vs_reference,available,30,17.39130434782608603,17.608695652173910418,2.1739130434782580892,-6.5217391304347778203,-6.3043478260869507679,-6.5217391304347778203,-5.9420289855072461194,-5.9420289855072496721,-6.594202898550729941
stage2,daytrader,extreme_balance,pairwise_precision,available,30,0.1323529411764705066,0.13771271877662530358,0.02138009049773750142,-0.035134743552593397653,-0.029774965952438600669,-0.020954084675014899436,-0.017407242457553300657,-0.017407242457553300657,-0.021964072544226598965
stage2,daytrader,extreme_balance,pairwise_recall,available,30,0.29999999999999987788,0.3053703703703704031,0.049999999999999898692,0.11111111111111110494,0.11648148148148150527,0.1277777777777777124,0.12666666666666659413,0.12666666666666659413,0.11981481481481480456
stage2,daytrader,extreme_balance,pairwise_f1,available,30,0.18470917831332969716,0.18877240922289550973,0.025389194868039800107,0.0071634864073244998092,0.011226717316890399978,0.018765822111569900599,0.023324755106070901162,0.023324755106070901162,0.01807311179322729916
stage2,daytrader,extreme_balance,ari_vs_reference,available,30,0.003017209267674800157,0.011433192377286599539,0.036192395216946997294,-0.042340767745437199454,-0.033924784635825398771,-0.020611939069035599414,-0.01817016397827980051,-0.01817016397827980051,-0.024661189652275698758
stage2,daytrader,extreme_balance,nmi_vs_reference,available,30,0.19597401232528111059,0.19825830437957459029,0.052501893059219997828,-0.22506307367277689213,-0.22277878161848341243,-0.18204540769591759375,-0.17782568713600088728,-0.17782568713600080401,-0.19175090863800808849
stage2,daytrader,extreme_balance,reference_coverage_ratio,available,30,1,1,0,0,0,0,0,0,0
