subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic,_knee_distance
jpetstore,stage2,4,budgeted_balance_0.100,,selected,0,seed4_solution007,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,4,knee_native,,selected,0,seed4_solution017,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43551592745008383,0.68395061728395057,2.1640625,5,4.7999999999999998,7,2,0.29166666666666669,0,0.35843021946010944,0.31604938271604938,8.7152380952380959,0.35843021946010944,,0.014825439074341019,-0.75594229214212338,,False,False,0.014825439074341019,,False,False,0.44206980643194638,0.20412414523193148,,0.82976383491433048
jpetstore,stage2,4,extreme_balance,,selected,0,seed4_solution007,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,5,conservative,,selected,0,seed5_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194638,0.74814814814814812,2.9705882352941178,4,6,7,4,0.29166666666666669,0,0.20412414523193148,0.25185185185185183,5.477380952380952,0.20412414523193148,,0,0,,True,True,0,,False,True,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,5,budgeted_balance_0.010,,selected,0,seed5_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194638,0.74814814814814812,2.9705882352941178,4,6,7,4,0.29166666666666669,0,0.20412414523193148,0.25185185185185183,5.477380952380952,0.20412414523193148,,0,0,,True,True,0,,False,True,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,5,budgeted_balance_0.025,,selected,0,seed5_solution002,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43669257735101358,0.74814814814814812,2.9705882352941178,4,6,7,5,0.29166666666666669,0,0.11785113019775793,0.25185185185185183,4.9083333333333332,0.11785113019775793,,0.012163755594017452,0.4226497308103741,,False,False,0.012163755594017452,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,5,budgeted_balance_0.050,,selected,0,seed5_solution009,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,5,budgeted_balance_0.100,,selected,0,seed5_solution009,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,5,knee_native,,selected,0,seed5_solution021,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 3, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43013869836915103,0.68395061728395057,2.1640625,5,4.7999999999999998,6,2,0.25,0,0.30618621784789729,0.31604938271604938,8.2600000000000016,0.30618621784789729,,0.02698919466835847,-0.50000000000000033,,False,False,0.02698919466835847,,False,False,0.44206980643194638,0.20412414523193148,,0.84294843971463618
jpetstore,stage2,5,extreme_balance,,selected,0,seed5_solution009,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,6,conservative,,selected,0,seed6_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194638,0.74814814814814812,2.9705882352941178,4,6,7,4,0.29166666666666669,0,0.20412414523193148,0.25185185185185183,5.477380952380952,0.20412414523193148,,0,0,,True,True,0,,False,True,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,6,budgeted_balance_0.010,,selected,0,seed6_solution002,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.44063709800335316,0.74814814814814812,2.9705882352941178,4,6,7,5,0.29166666666666669,0,0.11785113019775793,0.25185185185185183,4.8166666666666664,0.11785113019775793,,0.0032409099371815543,0.4226497308103741,,False,False,0.0032409099371815543,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,6,budgeted_balance_0.025,,selected,0,seed6_solution002,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.44063709800335316,0.74814814814814812,2.9705882352941178,4,6,7,5,0.29166666666666669,0,0.11785113019775793,0.25185185185185183,4.8166666666666664,0.11785113019775793,,0.0032409099371815543,0.4226497308103741,,False,False,0.0032409099371815543,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,6,budgeted_balance_0.050,,selected,0,seed6_solution011,"[0, 1, 1, 2, 1, 1, 0, 1, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 2, 0, 1, 2, 0]",False,,,True,0.42449931412894376,0.71604938271604934,2.5217391304347827,4,6,6,6,0.25,0,0,0.2839506172839506,4.8333333333333339,0,,0.039745967825349483,1,,False,False,0.039745967825349483,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,6,budgeted_balance_0.100,,selected,0,seed6_solution011,"[0, 1, 1, 2, 1, 1, 0, 1, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 2, 0, 1, 2, 0]",False,,,True,0.42449931412894376,0.71604938271604934,2.5217391304347827,4,6,6,6,0.25,0,0,0.2839506172839506,4.8333333333333339,0,,0.039745967825349483,1,,False,False,0.039745967825349483,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,6,knee_native,,selected,0,seed6_solution050,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 4, 4, 1, 2, 4]",False,,,True,0.38013107757963732,0.59012345679012346,1.4397590361445782,5,4.7999999999999998,7,2,0.29166666666666669,0,0.33333333333333337,0.40987654320987654,10.608571428571429,0.33333333333333337,,0.14011074258210868,-0.63299316185545251,,False,False,0.14011074258210868,,False,False,0.44206980643194638,0.20412414523193148,,0.79482079985920318
