subject,stage,seed,four_d_front_size,projected_3d_front_size,population_size_limit_plausible,leiden_in_four_d_front,leiden_dominated_in_four_d,leiden_four_d_dominator_solution_ids,leiden_in_projected_3d_front,leiden_dominated_in_projected_3d,leiden_projected_dominator_solution_ids,leiden_eligible_for_projected_selector,another_eligible_solution_higher_modularity,selected_solution_id,selected_equals_leiden,selected_weighted_modularity,four_d_classification,projected_selection_classification
xerces,stage3a,12,100,83,True,False,True,seed12_solution010,False,True,seed12_solution010,False,False,seed12_solution010,False,0.66151914293437164,absent_dominated,absent_or_not_selected
xerces,stage3a,13,100,72,True,False,True,seed13_solution015,False,True,seed13_solution015,False,False,seed13_solution015,False,0.66151914293437164,absent_dominated,absent_or_not_selected
xerces,stage3a,14,100,89,True,False,False,,False,False,,False,False,seed14_solution015,False,0.66119942260014963,absent_not_dominated,absent_or_not_selected
xerces,stage3a,15,100,82,True,True,False,,True,False,,True,False,seed15_solution013,True,0.66151914293437164,present,present_selected
xerces,stage3a,16,100,82,True,False,True,seed16_solution011,False,True,seed16_solution011,False,True,seed16_solution011,False,0.66152460973052085,absent_dominated,absent_or_not_selected
xerces,stage3a,17,100,80,True,False,False,,False,False,,False,False,seed17_solution015,False,0.6614287444034026,absent_not_dominated,absent_or_not_selected
xerces,stage3a,18,100,85,True,False,False,,False,False,,False,False,seed18_solution015,False,0.66108640397006324,absent_not_dominated,absent_or_not_selected
xerces,stage3a,19,100,85,True,False,False,,False,False,,False,False,seed19_solution014,False,0.66141178170647186,absent_not_dominated,absent_or_not_selected
xerces,stage3a,20,100,81,True,False,False,,False,False,,False,False,seed20_solution012,False,0.65361669146578005,absent_not_dominated,absent_or_not_selected
xerces,stage3a,21,100,90,True,False,False,,False,False,,False,False,seed21_solution011,False,0.66046242389066823,absent_not_dominated,absent_or_not_selected
xerces,stage3a,22,100,82,True,False,False,,False,False,,False,False,seed22_solution014,False,0.66061661714596409,absent_not_dominated,absent_or_not_selected
xerces,stage3a,23,100,77,True,False,False,,False,False,,False,False,seed23_solution017,False,0.66117486170984163,absent_not_dominated,absent_or_not_selected
xerces,stage3a,24,100,83,True,False,False,,False,False,,False,True,seed24_solution018,False,0.66204481412551985,absent_not_dominated,absent_or_not_selected
xerces,stage3a,25,100,89,True,False,False,,False,False,,False,False,seed25_solution016,False,0.66148442245285366,absent_not_dominated,absent_or_not_selected
xerces,stage3a,26,100,87,True,False,False,,False,False,,False,False,seed26_solution014,False,0.65987095185698752,absent_not_dominated,absent_or_not_selected
xerces,stage3a,27,100,85,True,True,False,,True,False,,True,False,seed27_solution002,True,0.66151914293437164,present,present_selected
xerces,stage3a,28,100,89,True,False,False,,False,False,,False,False,seed28_solution013,False,0.66134258964763215,absent_not_dominated,absent_or_not_selected
xerces,stage3a,29,100,84,True,False,True,seed29_solution011,False,True,seed29_solution011,False,False,seed29_solution011,False,0.66151914293437164,absent_dominated,absent_or_not_selected
jpetstore,stage3b,0,100,61,True,True,False,,True,False,,True,False,seed0_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,1,100,51,True,True,False,,True,False,,True,False,seed1_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,2,100,41,True,True,False,,True,False,,True,False,seed2_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,3,100,69,True,True,False,,True,False,,True,False,seed3_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,4,100,51,True,True,False,,True,False,,True,False,seed4_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,5,100,45,True,True,False,,True,False,,True,False,seed5_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,6,100,43,True,True,False,,True,False,,True,False,seed6_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,7,100,49,True,True,False,,True,False,,True,False,seed7_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,8,100,51,True,True,False,,True,False,,True,False,seed8_solution001,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,9,100,52,True,True,False,,True,False,,True,False,seed9_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,10,100,60,True,True,False,,True,False,,True,False,seed10_solution002,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,11,100,45,True,True,False,,True,False,,True,False,seed11_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,12,100,50,True,False,False,,False,False,,False,False,seed12_solution002,False,0.43705532693187016,absent_not_dominated,absent_or_not_selected
jpetstore,stage3b,13,100,52,True,True,False,,True,False,,True,False,seed13_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,14,100,52,True,False,False,,False,False,,False,False,seed14_solution003,False,0.43989330894680689,absent_not_dominated,absent_or_not_selected
jpetstore,stage3b,15,100,59,True,True,False,,True,False,,True,False,seed15_solution001,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,16,99,45,False,False,False,,False,False,,False,False,seed16_solution008,False,0.4376863283036122,absent_not_dominated,absent_or_not_selected
jpetstore,stage3b,17,100,48,True,True,False,,True,False,,True,False,seed17_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,18,100,47,True,True,False,,True,False,,True,False,seed18_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,19,100,62,True,False,False,,False,False,,False,False,seed19_solution002,False,0.43991159884164005,absent_not_dominated,absent_or_not_selected
jpetstore,stage3b,20,100,61,True,True,False,,True,False,,True,False,seed20_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,21,100,42,True,True,False,,True,False,,True,False,seed21_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,22,100,44,True,True,False,,True,False,,True,False,seed22_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,23,100,58,True,True,False,,True,False,,True,False,seed23_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,24,100,55,True,True,False,,True,False,,True,False,seed24_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,25,100,53,True,True,False,,True,False,,True,False,seed25_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,26,100,65,True,True,False,,True,False,,True,False,seed26_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,27,100,46,True,True,False,,True,False,,True,False,seed27_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,28,100,48,True,True,False,,True,False,,True,False,seed28_solution000,True,0.44206980643194638,present,present_selected
jpetstore,stage3b,29,100,55,True,True,False,,True,False,,True,False,seed29_solution000,True,0.44206980643194638,present,present_selected
daytrader,stage3b,0,100,64,True,False,False,,False,True,seed0_solution032,False,False,seed0_solution041,False,0.25978825690009671,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,1,100,77,True,False,False,,False,False,,False,False,seed1_solution032,False,0.31524954980868997,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,2,100,76,True,False,False,,False,False,,False,False,seed2_solution034,False,0.25698775207309271,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,3,100,74,True,False,True,seed3_solution037;seed3_solution038,False,True,seed3_solution037;seed3_solution038,False,False,seed3_solution043,False,0.16353784415381054,absent_dominated,absent_or_not_selected
daytrader,stage3b,4,100,74,True,False,True,seed4_solution033;seed4_solution036;seed4_solution042,False,True,seed4_solution033;seed4_solution036;seed4_solution042,False,False,seed4_solution043,False,0.30470196739559646,absent_dominated,absent_or_not_selected
daytrader,stage3b,5,100,67,True,False,False,,False,True,seed5_solution031,False,False,seed5_solution034,False,0.31327326101904929,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,6,99,61,False,False,False,,False,False,,False,False,seed6_solution030,False,0.31407269100366281,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,7,100,76,True,False,False,,False,False,,False,False,seed7_solution038,False,0.32176264365272805,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,8,100,68,True,False,False,,False,False,,False,False,seed8_solution042,False,0.15980663900273687,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,9,100,66,True,False,False,,False,False,,False,False,seed9_solution034,False,0.32145882834520229,absent_not_dominated,absent_or_not_selected
