profile_family,stage,subject,seed,budget,solution_id,status,coupling_change_vs_leiden,coupling_change_vs_conservative,cohesion_change_vs_leiden,cohesion_change_vs_conservative,imbalance_change_vs_leiden,imbalance_change_vs_conservative,weighted_modularity_change_vs_leiden,weighted_modularity_change_vs_conservative,cluster_count_change_vs_leiden,cluster_count_change_vs_conservative,max_cluster_ratio_change_vs_leiden,max_cluster_ratio_change_vs_conservative,singleton_ratio_change_vs_leiden,singleton_ratio_change_vs_conservative
stage2_balance,stage2,jpetstore,10,0.050000000000000003,seed10_solution002,selected,0,0,-0.56904761904761969,-0.5690476190476188,-0.086273015034173547,-0.086273015034173547,-0.0053772290809327994,-0.0053772290809327994,0,0,0,0,0,0
stage2_balance,stage2,jpetstore,11,0.050000000000000003,seed11_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,12,0.050000000000000003,seed12_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,13,0.050000000000000003,seed13_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,14,0.050000000000000003,seed14_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,15,0.050000000000000003,seed15_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,16,0.050000000000000003,seed16_solution007,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,17,0.050000000000000003,seed17_solution002,selected,0,0,-0.56904761904761969,-0.5690476190476188,-0.086273015034173547,-0.086273015034173547,-0.0053772290809327994,-0.0053772290809327994,0,0,0,0,0,0
stage2_balance,stage2,jpetstore,18,0.050000000000000003,seed18_solution007,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,19,0.050000000000000003,seed19_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,20,0.050000000000000003,seed20_solution002,selected,0,0,-0.56904761904761969,-0.5690476190476188,-0.086273015034173547,-0.086273015034173547,-0.0053772290809327994,-0.0053772290809327994,0,0,0,0,0,0
stage2_balance,stage2,jpetstore,21,0.050000000000000003,seed21_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,22,0.050000000000000003,seed22_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,23,0.050000000000000003,seed23_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,24,0.050000000000000003,seed24_solution009,selected,0.022222222222222254,0.022222222222222254,-0.25833333333333375,-0.25833333333333286,-0.086273015034173547,-0.086273015034173547,-0.0055418381344307655,-0.0055418381344307655,0,0,0,0,0,0
stage2_balance,stage2,jpetstore,25,0.050000000000000003,seed25_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,26,0.050000000000000003,seed26_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,27,0.050000000000000003,seed27_solution007,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,28,0.050000000000000003,seed28_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,29,0.050000000000000003,seed29_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,daytrader,2,0.050000000000000003,seed2_solution041,selected,0.0073800738007380184,0.0073800738007380184,0.51963440599804223,-0.094350094350095226,-0.061733145678783741,-0.0169575857010692,-0.0061852371291240549,-0.0061852371291240549,-1,0,0,0,-0.018867924528301883,0
