profile_family,stage,subject,budget,permitted_loss,selected_count,median_realised_loss,mean_realised_loss,iqr_realised_loss,maximum_realised_loss,solutions_above_leiden,solutions_equal_leiden_within_tolerance
stage3_balance,stage3a,daytrader,0.14999999999999999,0.14999999999999999,26,0.094804930924130504,0.081511757134882012,0.076895346493606923,0.14175046823460399,0,0
stage3_balance,stage3a,daytrader,0.20000000000000001,0.20000000000000001,27,0.10847443185076791,0.1022100503376855,0.078506270165221659,0.19304833426461349,0,0
stage3_balance,stage3a,jpetstore,0,0,28,0,0,0,0,0,28
stage3_balance,stage3a,jpetstore,0.0050000000000000001,0.0050000000000000001,30,0,0.00032547010432971339,0,0.0048820515649457006,0,28
stage3_balance,stage3a,jpetstore,0.01,0.01,30,0,0.00032547010432971339,0,0.0048820515649457006,0,28
stage3_balance,stage3a,jpetstore,0.025000000000000001,0.025000000000000001,30,0.0024410257824728503,0.0059117874882488484,0.011343184780135315,0.017983602374828593,0,15
stage3_balance,stage3a,jpetstore,0.050000000000000003,0.050000000000000003,30,0.014766826873349492,0.020271087175880321,0.027754601057777911,0.045427903545003957,0,7
stage3_balance,stage3a,jpetstore,0.10000000000000001,0.10000000000000001,30,0.039097785837913228,0.036930053808299078,0.040501030885182053,0.09360023720702533,0,3
stage3_balance,stage3a,jpetstore,0.14999999999999999,0.14999999999999999,30,0.097668613511146751,0.085392460402286624,0.069534757035188036,0.1405796401900414,0,0
stage3_balance,stage3a,jpetstore,0.20000000000000001,0.20000000000000001,30,0.11362492328697227,0.11398602041543415,0.073616924445424919,0.19907461677963881,0,0
stage3_balance,stage3a,xerces,0,0,11,0,-8.46267380459407e-05,5.8851801380275613e-06,0,4,7
stage3_balance,stage3a,xerces,0.0050000000000000001,0.0050000000000000001,26,0.0010891839635595794,0.0012564738677482879,0.0017772143983111114,0.0045494561281651785,2,6
stage3_balance,stage3a,xerces,0.01,0.01,29,0.0018031339416758969,0.0031212352138324335,0.0052156333940186926,0.0090277213272651567,1,3
stage3_balance,stage3a,xerces,0.025000000000000001,0.025000000000000001,30,0.016634965425497937,0.016143924437013731,0.0089674544825724886,0.024976532000423823,0,0
stage3_balance,stage3a,xerces,0.050000000000000003,0.050000000000000003,30,0.035210953388269531,0.034771165260237956,0.014873087746624557,0.049371253692361436,0,0
stage3_balance,stage3a,xerces,0.10000000000000001,0.10000000000000001,30,0.083951973727475759,0.078529550212203342,0.021771255297160494,0.099358163729193982,0,0
stage3_balance,stage3a,xerces,0.14999999999999999,0.14999999999999999,30,0.13473524407740217,0.13056903226319955,0.017258004964709542,0.14940356493136814,0,0
stage3_balance,stage3a,xerces,0.20000000000000001,0.20000000000000001,30,0.18737795227989676,0.1799774560099566,0.023205428101647413,0.19872066946629152,0,0
stage3_balance,stage3b,daytrader,0,0,4,0,0,0,0,0,4
stage3_balance,stage3b,daytrader,0.0050000000000000001,0.0050000000000000001,6,0,0.0013962103174928566,0.002866431470608968,0.0045553532774785148,0,4
stage3_balance,stage3b,daytrader,0.01,0.01,9,0.0038219086274786239,0.0039452053996412344,0.0087312030229193295,0.0096671806459753123,0,4
stage3_balance,stage3b,daytrader,0.025000000000000001,0.025000000000000001,10,0.0066432781501989217,0.0053950130351925838,0.0094331862402113158,0.011802953114272216,0,4
stage3_balance,stage3b,daytrader,0.050000000000000003,0.050000000000000003,19,0.032421989575123218,0.023466175380756245,0.027417983158301885,0.045315277966673839,0,3
stage3_balance,stage3b,daytrader,0.10000000000000001,0.10000000000000001,24,0.062078486442908212,0.054317712950476139,0.040796629694021161,0.088717635280064072,0,1
stage3_balance,stage3b,daytrader,0.14999999999999999,0.14999999999999999,25,0.080473101294343138,0.081494994846551816,0.054627206601657263,0.13798656662368028,0,1
stage3_balance,stage3b,daytrader,0.20000000000000001,0.20000000000000001,26,0.087044771912805907,0.099107533941730594,0.069933439406427572,0.19965851236581772,0,1
stage3_balance,stage3b,jpetstore,0,0,26,0,0,0,0,0,26
stage3_balance,stage3b,jpetstore,0.0050000000000000001,0.0050000000000000001,28,0,0.00069743593784939932,0,0.0049234248832928165,0,23
stage3_balance,stage3b,jpetstore,0.01,0.01,29,0,0.0011888884582470878,0,0.0099158052971640327,0,23
stage3_balance,stage3b,jpetstore,0.025000000000000001,0.025000000000000001,30,0.011343184780135315,0.0089182486214640592,0.0087177029533653631,0.017983602374828593,0,7
stage3_balance,stage3b,jpetstore,0.050000000000000003,0.050000000000000003,30,0.0119396501196379,0.01569542801847093,0.021260713965563671,0.041504333855096942,0,5
stage3_balance,stage3b,jpetstore,0.10000000000000001,0.10000000000000001,30,0.023679329200598641,0.036661127239043592,0.054778273491425424,0.097144551478751395,0,2
stage3_balance,stage3b,jpetstore,0.14999999999999999,0.14999999999999999,30,0.073141131284434752,0.070671374030887552,0.09081098599513171,0.13855234759103852,0,0
stage3_balance,stage3b,jpetstore,0.20000000000000001,0.20000000000000001,30,0.11322498120961801,0.10428052948653423,0.0874735383151405,0.19142055288544427,0,0
stage3_balance,stage3b,xerces,0,0,8,0,-4.4740900713068368e-05,0,0,1,7
stage3_balance,stage3b,xerces,0.0050000000000000001,0.0050000000000000001,27,0.0012817117315939129,0.0015653579367978384,0.0026398329894879668,0.0043592384308393222,1,4
stage3_balance,stage3b,xerces,0.01,0.01,29,0.0028349467741770138,0.0037016673120299601,0.0055219627703781728,0.0099686795038186095,1,3
stage3_balance,stage3b,xerces,0.025000000000000001,0.025000000000000001,30,0.018684242526308334,0.017665042204860537,0.00934794566018168,0.024538108580830977,0,0
stage3_balance,stage3b,xerces,0.050000000000000003,0.050000000000000003,30,0.039270526084215204,0.035841072592097324,0.016779893767823333,0.049608124067667438,0,0
stage3_balance,stage3b,xerces,0.10000000000000001,0.10000000000000001,30,0.088939446075269962,0.082292088399627414,0.026669655543568926,0.099988099885752288,0,0
stage3_balance,stage3b,xerces,0.14999999999999999,0.14999999999999999,30,0.12615460393473307,0.12658811428727648,0.021259604948683022,0.14704567900942733,0,0
stage3_balance,stage3b,xerces,0.20000000000000001,0.20000000000000001,30,0.18624922554348236,0.18087208591429302,0.023088049196325733,0.19986451510297654,0,0
stage3_semantic,stage3a,daytrader,0,0,5,0,0,0,0,0,5
stage3_semantic,stage3a,daytrader,0.0050000000000000001,0.0050000000000000001,6,0,0.00034039522332428778,0,0.0020423713399457268,0,5
stage3_semantic,stage3a,daytrader,0.01,0.01,8,0,0.0016045740335031548,0.0028677423636384604,0.0054503654933628484,0,5
stage3_semantic,stage3a,daytrader,0.025000000000000001,0.025000000000000001,15,0.010964964745170698,0.010805472759915984,0.018046081167219244,0.024897135862592311,0,4
stage3_semantic,stage3a,daytrader,0.050000000000000003,0.050000000000000003,20,0.018067383178948463,0.017092750597685332,0.021913051742586537,0.038787358403070168,0,4
stage3_semantic,stage3a,daytrader,0.10000000000000001,0.10000000000000001,24,0.025098685665876377,0.032801861795825171,0.048094780843264691,0.092040093663307052,0,3
