subject,seed,budget,source_stage,evaluation_graph,solution_id,f_semantic,semantic_improvement_vs_same_graph_leiden,evaluation_policy
jpetstore,4,0.01,stage3a,stage3b,seed4_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,4,0.025000000000000001,stage3a,stage3a,seed4_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,4,0.025000000000000001,stage3a,stage3b,seed4_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,4,0.050000000000000003,stage3a,stage3a,seed4_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,4,0.050000000000000003,stage3a,stage3b,seed4_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,4,0.10000000000000001,stage3a,stage3a,seed4_solution016,0.5514123437444296,0.079115616158525415,post-hoc matched partition; no reselection
jpetstore,4,0.10000000000000001,stage3a,stage3b,seed4_solution016,0.5253982893333069,-0.025647559907016559,post-hoc matched partition; no reselection
jpetstore,4,0.14999999999999999,stage3a,stage3a,seed4_solution017,0.47814583480699746,0.20147411013220096,post-hoc matched partition; no reselection
jpetstore,4,0.14999999999999999,stage3a,stage3b,seed4_solution017,0.42611798326863948,0.16816084360198352,post-hoc matched partition; no reselection
jpetstore,4,0.20000000000000001,stage3a,stage3a,seed4_solution026,0.41170082928170659,0.31244037461042334,post-hoc matched partition; no reselection
jpetstore,4,0.20000000000000001,stage3a,stage3b,seed4_solution026,0.41990528792200588,0.1802888538222035,post-hoc matched partition; no reselection
jpetstore,5,0,stage3a,stage3a,seed5_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,5,0,stage3a,stage3b,seed5_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,5,0.0050000000000000001,stage3a,stage3a,seed5_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,5,0.0050000000000000001,stage3a,stage3b,seed5_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,5,0.01,stage3a,stage3a,seed5_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,5,0.01,stage3a,stage3b,seed5_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,5,0.025000000000000001,stage3a,stage3a,seed5_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,5,0.025000000000000001,stage3a,stage3b,seed5_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,5,0.050000000000000003,stage3a,stage3a,seed5_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,5,0.050000000000000003,stage3a,stage3b,seed5_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,5,0.10000000000000001,stage3a,stage3a,seed5_solution001,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,5,0.10000000000000001,stage3a,stage3b,seed5_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,5,0.14999999999999999,stage3a,stage3a,seed5_solution021,0.48502091563907856,0.189992403841553,post-hoc matched partition; no reselection
jpetstore,5,0.14999999999999999,stage3a,stage3b,seed5_solution021,0.46553857420350786,0.091206590565215392,post-hoc matched partition; no reselection
jpetstore,5,0.20000000000000001,stage3a,stage3a,seed5_solution047,0.47029715794733973,0.21458176728908657,post-hoc matched partition; no reselection
jpetstore,5,0.20000000000000001,stage3a,stage3b,seed5_solution047,0.42158338556102215,0.17701298333749604,post-hoc matched partition; no reselection
jpetstore,6,0,stage3a,stage3a,seed6_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,6,0,stage3a,stage3b,seed6_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,6,0.0050000000000000001,stage3a,stage3a,seed6_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,6,0.0050000000000000001,stage3a,stage3b,seed6_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,6,0.01,stage3a,stage3a,seed6_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,6,0.01,stage3a,stage3b,seed6_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,6,0.025000000000000001,stage3a,stage3a,seed6_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,6,0.025000000000000001,stage3a,stage3b,seed6_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,6,0.050000000000000003,stage3a,stage3a,seed6_solution002,0.56137807876842782,0.062472372928273165,post-hoc matched partition; no reselection
jpetstore,6,0.050000000000000003,stage3a,stage3b,seed6_solution002,0.49383940272252647,0.035959597373229318,post-hoc matched partition; no reselection
jpetstore,6,0.10000000000000001,stage3a,stage3a,seed6_solution013,0.49757698863012223,0.16902317514908663,post-hoc matched partition; no reselection
jpetstore,6,0.10000000000000001,stage3a,stage3b,seed6_solution013,0.44609974591006785,0.12915377694055999,post-hoc matched partition; no reselection
jpetstore,6,0.14999999999999999,stage3a,stage3a,seed6_solution005,0.47350078997339529,0.20923155208654778,post-hoc matched partition; no reselection
jpetstore,6,0.14999999999999999,stage3a,stage3b,seed6_solution005,0.46418835052245822,0.09384240733872358,post-hoc matched partition; no reselection
jpetstore,6,0.20000000000000001,stage3a,stage3a,seed6_solution022,0.38658197457799681,0.35439003587399198,post-hoc matched partition; no reselection
jpetstore,6,0.20000000000000001,stage3a,stage3b,seed6_solution022,0.37357128594403521,0.27073900760883834,post-hoc matched partition; no reselection
jpetstore,7,0,stage3a,stage3a,seed7_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,7,0,stage3a,stage3b,seed7_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,7,0.0050000000000000001,stage3a,stage3a,seed7_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,7,0.0050000000000000001,stage3a,stage3b,seed7_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,7,0.01,stage3a,stage3a,seed7_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,7,0.01,stage3a,stage3b,seed7_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,7,0.025000000000000001,stage3a,stage3a,seed7_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,7,0.025000000000000001,stage3a,stage3b,seed7_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,7,0.050000000000000003,stage3a,stage3a,seed7_solution002,0.56137807876842782,0.062472372928273165,post-hoc matched partition; no reselection
jpetstore,7,0.050000000000000003,stage3a,stage3b,seed7_solution002,0.49383940272252647,0.035959597373229318,post-hoc matched partition; no reselection
jpetstore,7,0.10000000000000001,stage3a,stage3a,seed7_solution002,0.56137807876842782,0.062472372928273165,post-hoc matched partition; no reselection
jpetstore,7,0.10000000000000001,stage3a,stage3b,seed7_solution002,0.49383940272252647,0.035959597373229318,post-hoc matched partition; no reselection
jpetstore,7,0.14999999999999999,stage3a,stage3a,seed7_solution020,0.43158261015741317,0.27923687138982423,post-hoc matched partition; no reselection
jpetstore,7,0.14999999999999999,stage3a,stage3b,seed7_solution020,0.37952697506684185,0.25911270782753804,post-hoc matched partition; no reselection
jpetstore,7,0.20000000000000001,stage3a,stage3a,seed7_solution026,0.37229214012389666,0.37825472723563441,post-hoc matched partition; no reselection
jpetstore,7,0.20000000000000001,stage3a,stage3b,seed7_solution026,0.39802802789500746,0.2229961842792838,post-hoc matched partition; no reselection
jpetstore,8,0,stage3a,stage3a,seed8_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,8,0,stage3a,stage3b,seed8_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,8,0.0050000000000000001,stage3a,stage3a,seed8_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,8,0.0050000000000000001,stage3a,stage3b,seed8_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,8,0.01,stage3a,stage3a,seed8_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,8,0.01,stage3a,stage3b,seed8_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,8,0.025000000000000001,stage3a,stage3a,seed8_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,8,0.025000000000000001,stage3a,stage3b,seed8_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,8,0.050000000000000003,stage3a,stage3a,seed8_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,8,0.050000000000000003,stage3a,stage3b,seed8_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,8,0.10000000000000001,stage3a,stage3a,seed8_solution002,0.51850142555281165,0.13407838760238003,post-hoc matched partition; no reselection
jpetstore,8,0.10000000000000001,stage3a,stage3b,seed8_solution002,0.47014403964526474,0.082216107557423479,post-hoc matched partition; no reselection
jpetstore,8,0.14999999999999999,stage3a,stage3a,seed8_solution002,0.51850142555281165,0.13407838760238003,post-hoc matched partition; no reselection
jpetstore,8,0.14999999999999999,stage3a,stage3b,seed8_solution002,0.47014403964526474,0.082216107557423479,post-hoc matched partition; no reselection
jpetstore,8,0.20000000000000001,stage3a,stage3a,seed8_solution006,0.47264669653416425,0.21065792804539624,post-hoc matched partition; no reselection
jpetstore,8,0.20000000000000001,stage3a,stage3b,seed8_solution006,0.42756746926857747,0.16533125353833439,post-hoc matched partition; no reselection
jpetstore,9,0,stage3a,stage3a,seed9_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,9,0,stage3a,stage3b,seed9_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
