stage,subject,profile,available_seed_count,pair_count,availability_rate,ari_mean,ari_median,ari_iqr,nmi_mean,nmi_median,identical_partition_count,identical_partition_rate,cluster_count_mean,cluster_count_std
stage2,xerces,budgeted_balance_0.100,30,435,1,0.86863356781895185,0.87068423521200289,0.046809865487291713,0.8655657611946681,0.86413659446879332,0,0,28.300000000000001,1.0221680811915899
stage2,xerces,conservative,30,435,1,0.99201472150450809,0.99701262025539084,0.006602398489116923,0.99260930943732739,0.99715150984553358,0,0,30.466666666666665,0.73029674334022154
stage2,xerces,extreme_balance,30,435,1,3.0345007206758809e-05,-0.00028989212930280022,0.0021892721060160795,0.0039000191142255416,0.0034759464596911104,0,0,3.9666666666666668,1.2726115785600323
stage2,xerces,knee_native,30,435,1,0.51010646655785563,0.73390824997549753,0.91944826061080775,0.5391772285896349,0.80339306965306434,0,0,24.133333333333333,9.265186353275336
stage3a,daytrader,budgeted_balance_0.010,8,28,0.26666666666666666,0.86708082300023503,0.84910642342100373,0.091095598246973886,0.91885891125822872,0.91279692299656179,0,0,9.5,0.92582009977255142
stage3a,daytrader,budgeted_balance_0.025,15,105,0.5,0.83157167736658533,0.83017286709609572,0.054664450610808935,0.89213284412205163,0.89117863109071138,0,0,9.6666666666666661,0.89973541084243724
stage3a,daytrader,budgeted_balance_0.050,20,190,0.66666666666666663,0.8071624823583593,0.81169493139931026,0.077541757894798891,0.87691457463392208,0.87661795486803795,0,0,9.6999999999999993,0.86450472587061744
stage3a,daytrader,budgeted_balance_0.100,24,276,0.80000000000000004,0.77343005280977006,0.76748282023371373,0.093877343186479667,0.85004237668064542,0.85057727525549232,0,0,9.5833333333333339,0.82970223399810694
stage3a,daytrader,budgeted_semantic_0.050,20,190,0.66666666666666663,0.82390544430908463,0.82303473622358148,0.072751594178324441,0.89300140547162377,0.89255316928251638,0,0,10,0.91766293548224709
stage3a,daytrader,conservative,30,435,1,0.62701308417506552,0.73683415250431272,0.31154625822674964,0.75601038459483061,0.83047790415334666,0,0,9.5999999999999996,1.4527025943345071
stage3a,daytrader,extreme_balance,30,435,1,0.00044178323897084648,-0.0044907900745927969,0.036257221039829771,0.051170451813721721,0.04222624962467076,0,0,3.5,1.106407669457548
stage3a,daytrader,extreme_semantic,30,435,1,0.52257526713144831,0.77976541905302699,0.8493372654161514,0.64106611240162126,0.82612365104152918,0,0,13.466666666666667,5.9465048171366925
stage3a,daytrader,knee_native,30,435,1,0.061241804395552005,0.043290734824281148,0.060489791545768015,0.25924165999059318,0.24813277522071919,0,0,6.7333333333333334,2.0998084203800236
stage3a,jpetstore,budgeted_balance_0.010,30,435,1,0.98705042842672241,1,0,0.9895360853172902,1,379,0.87126436781609196,4,0
stage3a,jpetstore,budgeted_balance_0.025,30,435,1,0.90351590453607922,0.90692446043165464,0.11506973923590058,0.92278805261741692,0.92073980549347301,143,0.32873563218390806,4,0
stage3a,jpetstore,budgeted_balance_0.050,30,435,1,0.81538015954024301,0.79199638254578342,0.1365985551297747,0.85816669083245001,0.83628563937403921,43,0.098850574712643677,4,0
stage3a,jpetstore,budgeted_balance_0.100,30,435,1,0.73588123101984027,0.75939963614311701,0.12868439718439273,0.80047889950432838,0.82865429616291231,14,0.032183908045977011,4,0
stage3a,jpetstore,budgeted_semantic_0.050,30,435,1,0.81442120723238964,0.79659518019013931,0.16394653285238181,0.86383137496087881,0.86244139915828466,45,0.10344827586206896,4.0666666666666664,0.25370813170246242
stage3a,jpetstore,conservative,30,435,1,0.98705042842672241,1,0,0.9895360853172902,1,379,0.87126436781609196,4,0
stage3a,jpetstore,extreme_balance,30,435,1,0.38071546906875292,0.36111111111111116,0.25555555555555559,0.52886953875843667,0.53010090495950579,8,0.018390804597701149,4.0666666666666664,0.58329228098567476
stage3a,jpetstore,extreme_semantic,30,435,1,0.50392267837791449,0.49628351473320947,0.18345833946418044,0.63698367921389742,0.63254090537954399,0,0,4,0.37139067635410372
stage3a,jpetstore,knee_native,30,435,1,0.52377098361240637,0.51963677639046535,0.24252574814544292,0.66008905085816794,0.67101005686299164,4,0.0091954022988505746,4.2000000000000002,0.48423419811150226
stage3a,xerces,budgeted_balance_0.010,29,406,0.96666666666666667,0.98467113914866267,0.98608622625372,0.0090647215115046142,0.98366019752225331,0.98615387094972884,0,0,30.517241379310345,0.5744991393237624
stage3a,xerces,budgeted_balance_0.025,30,435,1,0.95657555985983855,0.95850658665151467,0.021032477093272495,0.95325546187892285,0.95392221499491414,0,0,29.433333333333334,0.89763418297031317
stage3a,xerces,budgeted_balance_0.050,30,435,1,0.9386814891737445,0.94006106367600628,0.021269303937086592,0.93133274178773884,0.93314605617649427,0,0,28.766666666666666,0.89763418297031328
stage3a,xerces,budgeted_balance_0.100,30,435,1,0.88973853736806607,0.89169330190494089,0.029839429524445404,0.88007588479176779,0.87997840551231399,0,0,28.399999999999999,0.81367620434497268
stage3a,xerces,budgeted_semantic_0.050,30,435,1,0.98519553969274454,0.98707976468420433,0.0094931532938871133,0.98636468065544125,0.98805486748512317,0,0,30.633333333333333,0.5560534167675355
stage3a,xerces,conservative,30,435,1,0.98910018999211691,0.99110054423359539,0.0076995210262177372,0.98933338332053689,0.9915306154038328,0,0,30.600000000000001,0.62145546626586523
stage3a,xerces,extreme_balance,30,435,1,-6.036088432893962e-06,-0.00027462033606862448,0.0022756189382402863,0.0040556007959835876,0.003675513240589871,0,0,4.0666666666666664,1.3113124074319811
stage3a,xerces,extreme_semantic,30,435,1,0.98519553969274454,0.98707976468420433,0.0094931532938871133,0.98636468065544125,0.98805486748512317,0,0,30.633333333333333,0.5560534167675355
stage3a,xerces,knee_native,30,435,1,0.95317639049530223,0.95513731210707509,0.02340440294073165,0.94984486159989645,0.95109070043529875,0,0,28.966666666666665,1.0661996103898193
stage3b,daytrader,budgeted_balance_0.010,9,36,0.29999999999999999,0.89172813517108951,0.89316003133113586,0.08615191754409901,0.93006136745950307,0.9267924725985639,0,0,9.7777777777777786,0.97182531580755005
stage3b,daytrader,budgeted_balance_0.025,10,45,0.33333333333333331,0.86825738275833286,0.86027952842004818,0.078976652903940292,0.91677940284049053,0.92059057584361381,0,0,9.5999999999999996,1.0749676997731399
stage3b,daytrader,budgeted_balance_0.050,19,171,0.6333333333333333,0.82532824990505627,0.8290913527031698,0.069158557496381889,0.88610666020860818,0.88800425857546617,0,0,9.7894736842105257,0.97632800547203691
stage3b,daytrader,budgeted_balance_0.100,24,276,0.80000000000000004,0.7376056381596412,0.73532126266007536,0.10856319962627881,0.82462367628249966,0.82690358051607604,0,0,9.7083333333333339,0.90789611868255093
stage3b,daytrader,budgeted_semantic_0.050,19,171,0.6333333333333333,0.8352818198078219,0.83647356170600806,0.083261572406516438,0.89402974235285437,0.89620126769488107,0,0,10.052631578947368,0.84811452387872421
stage3b,daytrader,conservative,30,435,1,0.53436532441613838,0.69922450097579358,0.6860279140666864,0.6842666900883646,0.80581866565965099,0,0,9.4000000000000004,1.5447352189134953
stage3b,daytrader,extreme_balance,30,435,1,0.0013587935431935733,-0.0044593088071348879,0.036639014580191059,0.047896581620997948,0.039765523203920107,0,0,3.3666666666666667,0.71839540228413801
stage3b,daytrader,extreme_semantic,30,435,1,0.46736322189413676,0.2106622215487195,0.75277234543175353,0.60076489336279859,0.48321787184274528,0,0,12.866666666666667,5.691695907095756
stage3b,daytrader,knee_native,30,435,1,0.05571149575976056,0.042224821283520675,0.059384256431649504,0.21981301515770454,0.20469821298646687,0,0,5.8666666666666663,2.0296650536196998
stage3b,jpetstore,budgeted_balance_0.010,29,406,0.96666666666666667,0.94609393558867327,1,0.10400180872710829,0.95781018968336318,1,253,0.62315270935960587,4,0
stage3b,jpetstore,budgeted_balance_0.025,30,435,1,0.86481571076772523,0.89599819127289171,0.10568128274821009,0.89346394431537202,0.91840817884374337,93,0.21379310344827587,4,0
stage3b,jpetstore,budgeted_balance_0.050,30,435,1,0.81928200503228921,0.80124317768344455,0.12748885082302519,0.85951520104025692,0.83982342025403978,37,0.085057471264367815,4,0
stage3b,jpetstore,budgeted_balance_0.100,30,435,1,0.7165748709401718,0.69305108145421079,0.17673790063858974,0.79238647500922388,0.76109116841376501,13,0.029885057471264367,4.1333333333333337,0.34574590364176039
stage3b,jpetstore,budgeted_semantic_0.050,30,435,1,0.87974379045117534,0.88752222880853582,0.18622159090909096,0.9165718889398321,0.91563158048298232,124,0.28505747126436781,4.1333333333333337,0.34574590364176039
stage3b,jpetstore,conservative,30,435,1,0.96638726957521193,1,0.091570402126449624,0.97322102898457219,1,325,0.74712643678160917,4,0
stage3b,jpetstore,extreme_balance,30,435,1,0.54943058112598342,0.53148148148148155,0.25555555555555554,0.66368780467526678,0.64750657211366658,10,0.022988505747126436,4.1333333333333337,0.50741626340492485
stage3b,jpetstore,extreme_semantic,30,435,1,0.63048460249851801,0.66394344069128042,0.34861153812694157,0.72518730809666321,0.75187536324252369,12,0.027586206896551724,4.0333333333333332,0.49013251785356099
stage3b,jpetstore,knee_native,30,435,1,0.74864268428682557,0.75302539628430198,0.24121745413602591,0.83904433021993863,0.84567479913969468,47,0.10804597701149425,4.5999999999999996,0.49827287912243978
stage3b,xerces,budgeted_balance_0.010,29,406,0.96666666666666667,0.98241867380616965,0.98316136785261454,0.010842593098542408,0.98156076720921626,0.9831235178021821,0,0,30.310344827586206,0.89056355656172137
stage3b,xerces,budgeted_balance_0.025,30,435,1,0.95766233055758443,0.95866193687971724,0.016956804400569458,0.95350779731175395,0.95367866608506313,0,0,29.466666666666665,1.0416609195243758
stage3b,xerces,budgeted_balance_0.050,30,435,1,0.93958570157295973,0.94197335571897245,0.017122318120152635,0.92808915479687026,0.9303589253375234,0,0,28.533333333333335,0.81930724872668614
stage3b,xerces,budgeted_balance_0.100,30,435,1,0.88685827104528037,0.88655773471491217,0.028215279579492436,0.87847932458502187,0.87774740784805139,0,0,28.033333333333335,0.88991798666422395
stage3b,xerces,budgeted_semantic_0.050,30,435,1,0.98708145069420306,0.99041027343846155,0.0062609725061502086,0.98867505465547023,0.99119401104515414,0,0,30.666666666666668,0.60647843486312281
stage3b,xerces,conservative,30,435,1,0.98944124648634146,0.99144356090442942,0.0057847861964552827,0.99108243175344757,0.99284113924130968,0,0,30.633333333333333,0.7183954022841379
stage3b,xerces,extreme_balance,30,435,1,8.0630892976689045e-05,-0.00013429142499896455,0.0022161716425584208,0.0042672673597031179,0.0037005149565746812,0,0,4.1333333333333337,1.4793599112881344
stage3b,xerces,extreme_semantic,30,435,1,0.98708145069420306,0.99041027343846155,0.0062609725061502086,0.98867505465547023,0.99119401104515414,0,0,30.666666666666668,0.60647843486312281
stage3b,xerces,knee_native,30,435,1,0.86894903067514218,0.93145193057343634,0.057254844979714559,0.87294115837838471,0.93270155201588123,0,0,28.266666666666666,4.3226215970478341
