class_name,package,cluster_id,cluster_size
org.eclipse.cargotracker.interfaces.booking.web.ItinerarySelection,org.eclipse.cargotracker.interfaces.booking.web,1,23
org.eclipse.cargotracker.interfaces.booking.web.ListCargo,org.eclipse.cargotracker.interfaces.booking.web,1,23
org.eclipse.cargotracker.interfaces.booking.web.Track,org.eclipse.cargotracker.interfaces.booking.web,1,23
org.eclipse.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter$1,org.eclipse.cargotracker.interfaces.tracking.web,1,23
org.eclipse.cargotracker.application.util.ApplicationSettings,org.eclipse.cargotracker.application.util,2,18
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.application.util,2,18
org.eclipse.cargotracker.domain.model.cargo.Delivery$1,org.eclipse.cargotracker.domain.model.cargo,2,18
org.eclipse.cargotracker.domain.model.cargo.Itinerary$1,org.eclipse.cargotracker.domain.model.cargo,2,18
org.eclipse.cargotracker.domain.model.handling.CannotCreateHandlingEventException,org.eclipse.cargotracker.domain.model.handling,2,18
org.eclipse.cargotracker.domain.model.handling.HandlingEvent,org.eclipse.cargotracker.domain.model.handling,2,18
org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type,org.eclipse.cargotracker.domain.model.handling,2,18
org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,org.eclipse.cargotracker.domain.model.handling,2,18
org.eclipse.cargotracker.domain.model.handling.UnknownVoyageException,org.eclipse.cargotracker.domain.model.handling,2,18
org.eclipse.cargotracker.domain.model.voyage.Schedule,org.eclipse.cargotracker.domain.model.voyage,2,18
org.eclipse.cargotracker.domain.model.voyage.Voyage,org.eclipse.cargotracker.domain.model.voyage,2,18
org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.voyage,2,18
org.eclipse.cargotracker.domain.shared.DomainObjectUtils,org.eclipse.cargotracker.domain.shared,2,18
org.eclipse.cargotracker.interfaces.booking.facade.dto.TrackingEvents,org.eclipse.cargotracker.interfaces.booking.facade.dto,2,18
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.TrackingEventsDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,2,18
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.TrackingEventsDtoAssembler$1,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,2,18
org.eclipse.cargotracker.interfaces.handling.mobile.EventLogger,org.eclipse.cargotracker.interfaces.handling.mobile,2,18
org.eclipse.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter$HandlingEventViewAdapter,org.eclipse.cargotracker.interfaces.tracking.web,2,18
org.eclipse.cargotracker.domain.model.handling.UnknownLocationException,org.eclipse.cargotracker.domain.model.handling,3,10
org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location,3,10
org.eclipse.cargotracker.domain.model.location.SampleLocations,org.eclipse.cargotracker.domain.model.location,3,10
org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location,3,10
org.eclipse.cargotracker.domain.model.voyage.CarrierMovement,org.eclipse.cargotracker.domain.model.voyage,3,10
org.eclipse.cargotracker.domain.model.voyage.SampleVoyages,org.eclipse.cargotracker.domain.model.voyage,3,10
org.eclipse.cargotracker.domain.model.voyage.Voyage$Builder,org.eclipse.cargotracker.domain.model.voyage,3,10
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaLocationRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,3,10
org.eclipse.cargotracker.interfaces.Coordinates,org.eclipse.cargotracker.interfaces,3,10
org.eclipse.cargotracker.interfaces.CoordinatesFactory,org.eclipse.cargotracker.interfaces,3,10
org.eclipse.cargotracker.application.ApplicationEvents,org.eclipse.cargotracker.application,4,9
org.eclipse.cargotracker.application.HandlingEventService,org.eclipse.cargotracker.application,4,9
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.application.internal,4,9
org.eclipse.cargotracker.application.util.DateConverter,org.eclipse.cargotracker.application.util,4,9
org.eclipse.cargotracker.infrastructure.messaging.jms.HandlingEventRegistrationAttemptConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,4,9
org.eclipse.cargotracker.interfaces.handling.HandlingEventRegistrationAttempt,org.eclipse.cargotracker.interfaces.handling,4,9
org.eclipse.cargotracker.interfaces.handling.file.EventItemWriter,org.eclipse.cargotracker.interfaces.handling.file,4,9
org.eclipse.cargotracker.interfaces.handling.rest.HandlingReport,org.eclipse.cargotracker.interfaces.handling.rest,4,9
org.eclipse.cargotracker.interfaces.handling.rest.HandlingReportService,org.eclipse.cargotracker.interfaces.handling.rest,4,9
org.eclipse.cargotracker.infrastructure.routing.ExternalRoutingService,org.eclipse.cargotracker.infrastructure.routing,5,6
org.eclipse.cargotracker.infrastructure.routing.ExternalRoutingService$1,org.eclipse.cargotracker.infrastructure.routing,5,6
org.eclipse.pathfinder.api.GraphTraversalService,org.eclipse.pathfinder.api,5,6
org.eclipse.pathfinder.api.TransitEdge,org.eclipse.pathfinder.api,5,6
org.eclipse.pathfinder.api.TransitPath,org.eclipse.pathfinder.api,5,6
org.eclipse.pathfinder.internal.GraphDao,org.eclipse.pathfinder.internal,5,6
org.eclipse.cargotracker.domain.shared.AbstractSpecification,org.eclipse.cargotracker.domain.shared,6,5
