subject,seed,generation,hypervolume,best_so_far_hypervolume,front_solution_count
jpetstore,0,72,0.3848155564100344,0.3848155564100344,96
jpetstore,0,73,0.3849369555831285,0.3849369555831285,96
jpetstore,0,74,0.38497489040614,0.38497489040614,98
jpetstore,0,75,0.3851001975698577,0.3851001975698577,98
jpetstore,0,76,0.3851658704790828,0.3851658704790828,98
jpetstore,0,77,0.38519933316383387,0.38519933316383387,97
jpetstore,0,78,0.385205517423724,0.385205517423724,97
jpetstore,0,79,0.3853674186086448,0.3853674186086448,100
jpetstore,0,80,0.38558640346444495,0.38558640346444495,100
jpetstore,0,81,0.3862705829994707,0.3862705829994707,97
jpetstore,0,82,0.38627952177981206,0.38627952177981206,97
jpetstore,0,83,0.3864088030396775,0.3864088030396775,95
jpetstore,0,84,0.38653725560071894,0.38653725560071894,94
jpetstore,0,85,0.38656062126511903,0.38656062126511903,95
jpetstore,0,86,0.38659349460352455,0.38659349460352455,97
jpetstore,0,87,0.38659349460352455,0.38659349460352455,97
jpetstore,0,88,0.38659349460352455,0.38659349460352455,97
jpetstore,0,89,0.3869544833578102,0.3869544833578102,100
jpetstore,0,90,0.3871686105981634,0.3871686105981634,100
jpetstore,0,91,0.38732726442263427,0.38732726442263427,100
jpetstore,0,92,0.38719091443906756,0.38732726442263427,100
jpetstore,0,93,0.38780016093524344,0.38780016093524344,100
jpetstore,0,94,0.38778429571429396,0.38780016093524344,100
jpetstore,0,95,0.387773536193538,0.38780016093524344,100
jpetstore,0,96,0.3886044911317665,0.3886044911317665,100
jpetstore,0,97,0.3886343986285678,0.3886343986285678,100
jpetstore,0,98,0.38863114495048506,0.3886343986285678,100
jpetstore,0,99,0.3886529085762806,0.3886529085762806,100
jpetstore,0,100,0.3885343992603623,0.3886529085762806,100
jpetstore,15,1,0.21836357286386343,0.21836357286386343,6
jpetstore,15,2,0.21836357286386343,0.21836357286386343,6
jpetstore,15,3,0.2186714802248397,0.2186714802248397,6
jpetstore,15,4,0.23278671392891548,0.23278671392891548,8
jpetstore,15,5,0.24016996528523807,0.24016996528523807,10
jpetstore,15,6,0.3040331390176812,0.3040331390176812,13
jpetstore,15,7,0.3068678528002408,0.3068678528002408,15
jpetstore,15,8,0.30755468963429144,0.30755468963429144,19
jpetstore,15,9,0.3128948828823749,0.3128948828823749,20
jpetstore,15,10,0.3128948828823749,0.3128948828823749,20
jpetstore,15,11,0.31432948700032826,0.31432948700032826,22
jpetstore,15,12,0.3377732213002016,0.3377732213002016,22
jpetstore,15,13,0.33876712966966754,0.33876712966966754,23
jpetstore,15,14,0.34004497951534673,0.34004497951534673,28
jpetstore,15,15,0.3434879581088847,0.3434879581088847,37
jpetstore,15,16,0.3435859299934731,0.3435859299934731,42
jpetstore,15,17,0.34650425946353075,0.34650425946353075,44
jpetstore,15,18,0.3484039118089282,0.3484039118089282,44
jpetstore,15,19,0.348839392372171,0.348839392372171,46
jpetstore,15,20,0.3495153263000039,0.3495153263000039,48
jpetstore,15,21,0.3502011786680341,0.3502011786680341,50
jpetstore,15,22,0.35676047920041043,0.35676047920041043,51
jpetstore,15,23,0.35810287827594023,0.35810287827594023,50
jpetstore,15,24,0.35827385185055716,0.35827385185055716,54
jpetstore,15,25,0.3596171009999988,0.3596171009999988,57
jpetstore,15,26,0.3609222219233552,0.3609222219233552,60
jpetstore,15,27,0.36292276799098544,0.36292276799098544,58
jpetstore,15,28,0.36411805682323733,0.36411805682323733,59
jpetstore,15,29,0.3643398480011428,0.3643398480011428,60
jpetstore,15,30,0.3646272472145493,0.3646272472145493,64
jpetstore,15,31,0.3651709615543293,0.3651709615543293,69
jpetstore,15,32,0.370285219240823,0.370285219240823,74
jpetstore,15,33,0.370926604307944,0.370926604307944,78
jpetstore,15,34,0.3711162365970792,0.3711162365970792,82
jpetstore,15,35,0.37130063268609337,0.37130063268609337,82
jpetstore,15,36,0.37167861055700696,0.37167861055700696,85
jpetstore,15,37,0.372611356838448,0.372611356838448,86
jpetstore,15,38,0.37333390484319423,0.37333390484319423,88
jpetstore,15,39,0.3743636028483443,0.3743636028483443,85
jpetstore,15,40,0.37535476001315393,0.37535476001315393,86
jpetstore,15,41,0.3755040787040643,0.3755040787040643,85
jpetstore,15,42,0.37571402659014025,0.37571402659014025,83
jpetstore,15,43,0.37583589637554937,0.37583589637554937,90
jpetstore,15,44,0.3767230698957766,0.3767230698957766,92
jpetstore,15,45,0.3768329652455835,0.3768329652455835,92
jpetstore,15,46,0.37723673287193044,0.37723673287193044,90
jpetstore,15,47,0.37788028185964734,0.37788028185964734,88
jpetstore,15,48,0.3781003530018659,0.3781003530018659,91
jpetstore,15,49,0.3782211325122677,0.3782211325122677,89
jpetstore,15,50,0.37865707381890906,0.37865707381890906,92
jpetstore,15,51,0.3788132881366266,0.3788132881366266,89
jpetstore,15,52,0.37884118522939497,0.37884118522939497,89
