row_index,class_id,class_name,input_hash
63,org.apache.xerces.dom.ObjectFactory,ObjectFactory,49d1e77c8fa6215bec51a06cbcabbb4d099d74647e64a04d6494e5a59133a34a
64,org.apache.xerces.dom.ObjectFactory$ConfigurationError,ObjectFactory$ConfigurationError,c0a57e73698c8de56d69b20887c969d80b4b3746e029eb7120d15b6e6056ef3e
65,org.apache.xerces.dom.PSVIAttrNSImpl,PSVIAttrNSImpl,d926b82f1682f4491cdf975f818878a35b1755e710c47038db91014118520ccc
66,org.apache.xerces.dom.PSVIDOMImplementationImpl,PSVIDOMImplementationImpl,516d879db485cd11f28ce69dea113ea1ba56d0a35a487dd63cab7ba0c1bd7114
67,org.apache.xerces.dom.PSVIDocumentImpl,PSVIDocumentImpl,25e45d276341c941917363d3b8260a6b17c3302ae4343d2909d7e25ebe82b236
68,org.apache.xerces.dom.PSVIElementNSImpl,PSVIElementNSImpl,d5959bdb906450a51d8a29a0eb6fe9a88d99d67f1cbc2fee828606ce9e9c9987
69,org.apache.xerces.dom.ParentNode,ParentNode,1f12dca941fb467da495209edd863ea2c6c365a75bba77f47067814f2cab0627
70,org.apache.xerces.dom.ParentNode$1,ParentNode$1,607533be5244d4a1a3974f7151354e98f07264c5ee7c5a2b54345f58edebdec3
71,org.apache.xerces.dom.ParentNode$UserDataRecord,ParentNode$UserDataRecord,59bcc873a1a7604c5a9a0ba105971c4100612174ea2b3beee608cf15ad1b6893
72,org.apache.xerces.dom.ProcessingInstructionImpl,ProcessingInstructionImpl,e504c56bcc80dd91d05d6fc033b5f8db1cc16a73191c8928b156ccf4ddf7dccd
73,org.apache.xerces.dom.RangeExceptionImpl,RangeExceptionImpl,7f05fc7653eeba9e4df59c975d73641c40313c8f9539dfc1310fe340fb7c2b2e
74,org.apache.xerces.dom.RangeImpl,RangeImpl,47ad5c02d86182d22f56dce85dabb2227bf488d48ba73d30347bffeb16185713
75,org.apache.xerces.dom.SecuritySupport,SecuritySupport,d1104d3c86bd262db5f9c4221b4ffa629dc2aeb3fb8a3e8516aebe3ea404fe5f
76,org.apache.xerces.dom.SecuritySupport$1,SecuritySupport$1,98d3409121602417f75407e38f07caea05966fb746d4119733f29c4ca624eab7
77,org.apache.xerces.dom.SecuritySupport$2,SecuritySupport$2,6af59348663710d36475a07859dfaf00b11370bbdb8225118603d678d529184e
78,org.apache.xerces.dom.SecuritySupport$3,SecuritySupport$3,4fca8db224a9024ef00ffcdfd6d5856875d3a490da46338d7c9e28d1c10d9acd
79,org.apache.xerces.dom.SecuritySupport$4,SecuritySupport$4,9fc60181c994bf6466552898914e871526e3f9118f5c555c76d2abc645d03db1
80,org.apache.xerces.dom.SecuritySupport$5,SecuritySupport$5,aeef6608bf43e6e58ab7fb2053b0830edb89d0212b9abda34204c37cf6fc8f6c
81,org.apache.xerces.dom.SecuritySupport$6,SecuritySupport$6,ac6f2adf67ceeeb5aba35428a01e51f7a2706280647196db3db720e62c3120f1
82,org.apache.xerces.dom.SecuritySupport$7,SecuritySupport$7,3ae36f6f14cea8ebbd4bf828cab530eb868c1f884d3bb1dbf5b049de6045c285
