subject,stage,seed,source_kind,front_path,label_path,front_sha256,label_sha256,front_rows,label_rows,class_count,class_mapping_path,class_mapping_sha256,provenance_status
jpetstore,stage2,21,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_21/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_21/pareto_labels.csv.xz,432876a8ba535b7d75a51a589e22c35d3c12c7c684777a6c00ac14d6c2ef4d5d,e1acc1ad1b3d7c20e08df382dd3e14a39240b5b7d2a5111fe7b3dd59149806ed,85,2040,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,22,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_22/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_22/pareto_labels.csv.xz,9f00beb9c3216665e9505d1cdbc8fdc802a8390c74be2fea7ec3fa183c4086eb,34bf527c5718febaf48abe2cb9c019c95ea7c6377ceb436fb641f37bf7ef711b,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,23,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_23/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_23/pareto_labels.csv.xz,99503cd0c6e31175a78d7f9179b787551f517d197e85e84088e2730734959bb4,5af97fe8cccf1db25bbdc3eec680fa0c780f8a10309f3ddc457f50437710b459,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,24,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_24/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_24/pareto_labels.csv.xz,a20e479d602537ce6b3d4fda60add5de731fef1d46f34c5d7f4f6b6954978059,5195ef7121c41164fb2f2cbe85ca45f1d3e0e17f7211f53a22919296d31bd910,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,25,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_25/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_25/pareto_labels.csv.xz,c62355038d378c6ae6508ad338eaf9b577da55f6c0cd2f2d0c6b6a00adda989b,648df8d3cd2b9f8088ddd84d56cc88fff911a83a8e90afcf2f0c552869320d32,76,1824,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,26,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_26/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_26/pareto_labels.csv.xz,b8ae22b24066961e2c9b76a98df8011d759d89ae6ff41b9b14ad014b608b2beb,b75818c38d38efd8d53368d1127d15a98abca09a59c03183a2b0f959e7bcf130,96,2304,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,27,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_27/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_27/pareto_labels.csv.xz,57d0776a4752ed14c165a5da96b592b2f7cd4371b3f96837e62fbb12d358c8fa,84bb058e4454f126558567d9f008e819f6008e9f39965f51ef9e725d07a070b8,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,28,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_28/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_28/pareto_labels.csv.xz,38c68df02fc7606d089463f3cd397781aad7ab0a7e9c56a98dde7533440d27f6,f80f5d2e12e05d83a5ed69310b99a81e536154c4ee7a34ea100886c52c7e69f4,96,2304,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,29,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_29/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_29/pareto_labels.csv.xz,6ee8a31849eb7a945fd8353ab97cd6ea3111ef249ea48c03437dabd0466553bb,21a7d75f8b41c24e2a81be922f108b266997302cb35a26c4c0ca675f75119a7f,85,2040,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage3,0,validation,results/jpetstore/05_stage3_declaration_method_body/validation/seed_00/pareto_front_4d.csv,results/jpetstore/05_stage3_declaration_method_body/validation/seed_00/partition_labels.csv,e977a03a8cf1095610757b8eadd820a35b97a0f36d39d5939961bffef588b916,e8869058fa0d974692c363d96a5e4ed777cb1c9fab28832f240d8831669838e2,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
