subject,class_id,stage3_declaration_hash,exact_match
xerces,org.apache.xerces.dom.CharacterDataImpl,ff0367dfc1934a12ca4e927ad13e842901c04a5661c1067c27a6974c88f52a0c,True
xerces,org.apache.xerces.dom.CharacterDataImpl$1,e7ceb8aed12d83507ec1ee331d0d740b7c99f924386c42c8e80ae9ea72e7ac08,True
xerces,org.apache.xerces.dom.ChildNode,f2c7f4a273af34c0e898de56519219ad17ea72ee7d7957d9c524ad1d9a615349,True
xerces,org.apache.xerces.dom.CommentImpl,c419d2c7f9564311549e07592a606f27abe4d4efcfef3fa33612ab438a786d66,True
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl,8a886053a4c55ca15251df711ec74d4a575606ec742d3431d4497f567de42cb8,True
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,d4c1e4d22cf69731eaf96bb474d6c3055764f5fa67d0815f60bf2f6026b080f5,True
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,f263555e81ff266c1935394a4cb5cf4bba04abac097afd4a05c8449e6d071fc0,True
xerces,org.apache.xerces.dom.CoreDocumentImpl,483a6d2dce2e7da493044c58f374672b70df9016f68c2cfd85419f3db10b7ce5,True
xerces,org.apache.xerces.dom.DOMConfigurationImpl,7d3de21c1b788b836a70610108d8c66a8d04ad1576235e23afba0e2ad15e480e,True
xerces,org.apache.xerces.dom.DOMErrorImpl,e0a4cf247e56a9ae4036cb9d7ef057e5fa45b1aeadf592277901558196803010,True
xerces,org.apache.xerces.dom.DOMImplementationImpl,5fc1645321c508370122f899daf1eebe8117964647111db3c4bdc81b34879132,True
xerces,org.apache.xerces.dom.DOMImplementationListImpl,fbceed31d274c88c801419d725f6940f6d2ac0e08ea0319cc50e5bbf3b26a042,True
xerces,org.apache.xerces.dom.DOMImplementationSourceImpl,1ed5bf27e6152dc055e387162a8be9856d3f21dfceb7eadf5c04153f2490db85,True
xerces,org.apache.xerces.dom.DOMInputImpl,78dd6fecbc09be6a1451806e4db036af227c21dd8b4e4c1a269795db9c7cd217,True
xerces,org.apache.xerces.dom.DOMLocatorImpl,590e7acbd9ebb95990c1c9f40e8a7b6a281f96768019a5b2cb8a9184e6b08522,True
xerces,org.apache.xerces.dom.DOMMessageFormatter,a1ffe4318308f9dd407e3f92d376e8668c946c25ac7f98ce24251666181738b5,True
xerces,org.apache.xerces.dom.DOMNormalizer,af19f0958b536fa58192ebb81d9fa7a90e166fcd7e600c4061296897a2649d83,True
xerces,org.apache.xerces.dom.DOMNormalizer$1,20ce941f171c287a8febb4a5b01792aec27f71fe4be05d05549da3dcf575aee6,True
xerces,org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,a53ff7eb7a34b09f73c817105e90a68eed3a38ae6d96693bdc7edd21433ea5b4,True
xerces,org.apache.xerces.dom.DOMOutputImpl,c1e1943c12b81dd2a0f5da067d99aa3a1fdf7cc0f3c3c1da22b11467f0a297a3,True
xerces,org.apache.xerces.dom.DOMStringListImpl,a6fc8498f8d62671c318cf8a0f86b4a30ae9807d072d8703069db74b3e8497d2,True
xerces,org.apache.xerces.dom.DOMXSImplementationSourceImpl,cf2c82144b3d38e6231f3d04248c30aeb7ea253b37a88c6f78476daa97ff8289,True
xerces,org.apache.xerces.dom.DeepNodeListImpl,17bbf6ca867d98f1869fc58e4ab3676824b25f731e37db8028024d1eda60d512,True
xerces,org.apache.xerces.dom.DeferredAttrImpl,ac706eee30eae4b29b50c523142d67f5f990ee10bbdb3ca8dc2faef63b22974d,True
xerces,org.apache.xerces.dom.DeferredAttrNSImpl,b2654f58d845331ba9c6499bcb3bff99dc60f4f59b1658e7e96a75406ea3467c,True
