source,target,flow_type,weight,evidence_method,evidence_statement
org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,org.eclipse.cargotracker.domain.model.cargo.Cargo,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultBookingService: void changeDeadline(org.eclipse.cargotracker.domain.model.cargo.TrackingId,java.time.LocalDate)>",virtualinvoke r3.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void specifyNewRoute(org.eclipse.cargotracker.domain.model.cargo.RouteSpecification)>($r4)
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.application.ApplicationEvents,return_value_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,interfaceinvoke $r10.<org.eclipse.cargotracker.application.ApplicationEvents: void cargoWasMisdirected(org.eclipse.cargotracker.domain.model.cargo.Cargo)>(r3)
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.application.ApplicationEvents,return_value_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,interfaceinvoke $r9.<org.eclipse.cargotracker.application.ApplicationEvents: void cargoHasArrived(org.eclipse.cargotracker.domain.model.cargo.Cargo)>(r3)
org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,org.eclipse.cargotracker.domain.model.cargo.Cargo,return_value_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,virtualinvoke r3.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void deriveDeliveryProgress(org.eclipse.cargotracker.domain.model.handling.HandlingHistory)>(r5)
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo.CargoRepository,argument_passing_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,r3 = interfaceinvoke $r2.<org.eclipse.cargotracker.domain.model.cargo.CargoRepository: org.eclipse.cargotracker.domain.model.cargo.Cargo find(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>(r1)
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,argument_passing_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,r5 = interfaceinvoke $r4.<org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository: org.eclipse.cargotracker.domain.model.handling.HandlingHistory lookupHandlingHistoryOfCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>(r1)
org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,org.eclipse.cargotracker.domain.model.cargo.Cargo,argument_passing_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,virtualinvoke r3.<org.eclipse.cargotracker.domain.model.cargo.Cargo: void deriveDeliveryProgress(org.eclipse.cargotracker.domain.model.handling.HandlingHistory)>(r5)
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.application.ApplicationEvents,argument_passing_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,interfaceinvoke $r10.<org.eclipse.cargotracker.application.ApplicationEvents: void cargoWasMisdirected(org.eclipse.cargotracker.domain.model.cargo.Cargo)>(r3)
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.application.ApplicationEvents,argument_passing_flow,3,<org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService: void inspectCargo(org.eclipse.cargotracker.domain.model.cargo.TrackingId)>,interfaceinvoke $r9.<org.eclipse.cargotracker.application.ApplicationEvents: void cargoHasArrived(org.eclipse.cargotracker.domain.model.cargo.Cargo)>(r3)
org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,return_value_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>",interfaceinvoke $r9.<org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository: void store(org.eclipse.cargotracker.domain.model.handling.HandlingEvent)>(r8)
