variant,class_id,display_name,node_role,seed42_raw_cluster_id,layout_x,layout_y
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,MarketSummaryDataBean,context,1,0.66666666666666663,0.65000000000000002
full,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,RunStatsDataBean,context,0,0.66666666666666663,0.14999999999999999
full,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,KeySequenceDirect,ssa_endpoint,0,0.33333333333333331,0.14999999999999999
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,TradeDirect,context,0,0.66666666666666663,0.34999999999999998
full,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,DTBroker3MDB,context,4,1,0.34999999999999998
full,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,DTStreamer3MDB,context,4,0.66666666666666663,0.050000000000000003
full,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,MarketSummarySingleton,context,1,1,0.45000000000000001
full,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,TradeSLSBBean,context,2,1,0.65000000000000002
full,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,TradeSLSBBean$quotePriceComparator,context,1,1,0.94999999999999996
full,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,TradeSLSBLocal,context,2,1,0.75
full,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,TradeSLSBRemote,context,1,1,0.84999999999999998
full,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,AccountDataBean,ssa_endpoint,2,0.33333333333333331,0.45000000000000001
full,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,AccountProfileDataBean,context,2,0.33333333333333331,0.34999999999999998
full,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,HoldingDataBean,ssa_endpoint,1,0.33333333333333331,0.75
full,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,OrderDataBean,ssa_endpoint,2,0,0.5
full,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,QuoteDataBean,ssa_endpoint,1,0.66666666666666663,0.75
full,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,CompleteOrderThread,context,3,1,0.25
full,com.ibm.websphere.samples.daytrader.util.FinancialUtils,FinancialUtils,context,1,0.33333333333333331,0.94999999999999996
full,com.ibm.websphere.samples.daytrader.util.KeyBlock,KeyBlock,context,6,0.33333333333333331,0.050000000000000003
full,com.ibm.websphere.samples.daytrader.util.Log,Log,ssa_endpoint,0,0.66666666666666663,0.25
full,com.ibm.websphere.samples.daytrader.util.TradeConfig,TradeConfig,context,3,0.33333333333333331,0.55000000000000004
full,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,OrdersAlertFilter,context,0,0,0.31818181818181818
full,com.ibm.websphere.samples.daytrader.web.TradeServletAction,TradeServletAction,context,3,0.66666666666666663,0.45000000000000001
full,com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,TradeWebContextListener,context,3,0.33333333333333331,0.25
full,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,AccountDataJSF,context,2,0,0.59090909090909094
full,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,HoldingData,ssa_endpoint,1,0.66666666666666663,0.84999999999999998
full,com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator,LoginValidator,context,0,0,0.045454545454545456
full,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,MarketSummaryJSF,context,1,0.66666666666666663,0.94999999999999996
full,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,OrderData,ssa_endpoint,2,0,0.77272727272727271
full,com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,OrderDataJSF,context,2,0,0.40909090909090912
full,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,PortfolioJSF,context,1,0,0.95454545454545459
full,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,QuoteData,ssa_endpoint,1,0.33333333333333331,0.84999999999999998
full,com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,QuoteJSF,context,1,0,0.68181818181818177
full,com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer,TradeActionProducer,context,0,0,0.86363636363636365
full,com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,TradeAppJSF,context,0,0,0.22727272727272727
full,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,TradeConfigJSF,context,3,0,0.13636363636363635
full,com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder,ActionDecoder,context,0,1,0.050000000000000003
full,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage,ActionMessage,context,0,1,0.14999999999999999
full,com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,MarketSummaryWebSocket,context,0,1,0.55000000000000004
