class_id,row_index,input_hash
org.apache.xerces.impl.XMLEntityManager,133,73ee7ae2db36fefecf8227a2ce610dbbae09c2fc81a14a03b8d41ea1ca65a08d
org.apache.xerces.impl.XMLEntityManager$1,134,e78fd8defc14038dccf62c422fa6f41a0b8cd327be440637216b645589e2f0f2
org.apache.xerces.impl.XMLEntityManager$ByteBufferPool,135,8c8420ce1ac41ab33885898d0f3b320516076c21fa5cd9bd7a77a4ffc8702c30
org.apache.xerces.impl.XMLEntityManager$CharacterBuffer,136,2b64abdac1bd27eef12782abd4e1cda64cd186099a371e51d51885059f4b4885
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool,137,24005969d744611dde29e641abdee39243c0914ef69948f7ec33c9aa72365a5a
org.apache.xerces.impl.XMLEntityManager$EncodingInfo,138,fb47bb7e7cff3ee0031ed13d291824af87c2005cbc0d27aa77273ebb668e9278
org.apache.xerces.impl.XMLEntityManager$Entity,139,2a55e021f85978e3a1937bfe8ef336cba116319a8c32e7b1453530d4087447f5
org.apache.xerces.impl.XMLEntityManager$ExternalEntity,140,63e2500d83c377c5534be9722d2a4c09e917ee1a5d5e0975409e0e8aa41b8e4a
org.apache.xerces.impl.XMLEntityManager$InternalEntity,141,4793636e9af40e16679ec5ae16de1f420aabfc2c8f51fa89c53ab67ae4edea43
org.apache.xerces.impl.XMLEntityManager$RewindableInputStream,142,a90367e21f94cdd49cecb9731976ac020732b006b27e4b0d3f511349b8770165
org.apache.xerces.impl.XMLEntityManager$ScannedEntity,143,5e6c2479f56142910dea1fc421ae55a9a37a4fded9cf92aa207ddd9d68bdfb94
org.apache.xerces.impl.XMLEntityScanner,144,d002185382c114df9d385115f933f8e90c9a70cb9832b024f09c6c1b94bac096
org.apache.xerces.impl.XMLEntityScanner$1,145,32c9dfd381575f95f2c87375f15512b132795373fefabf26d0c795f9c8d59fef
org.apache.xerces.impl.XMLErrorReporter,146,a00d2d49b419d0a29937f40037aec045e95fac161bd8ec211ea810040fa4b764
org.apache.xerces.impl.XMLErrorReporter$1,147,175111ad3bdb478d8cfc9b7bf2c8e5e229a0c2a380f859ea296523f7c360a05b
org.apache.xerces.impl.XMLNSDocumentScannerImpl,148,facdf0f2cc143f1b99e070fbf9ebf6ffe8e3dcac1f3bcefdc2fc552b07f23702
org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher,149,dfdd49de2ea334279dee038bfb8fcc7b67e84eade6050bf421574b5fcc37340b
org.apache.xerces.impl.XMLNamespaceBinder,150,d7ab1755cfe0f0186aa6b58fc3d045e3b1faaa180025e22e7222f2fcda4b7874
org.apache.xerces.impl.XMLScanner,151,d5c94f97cd2857e8d1a3d892c8ce651325bd6c8847d3bf4632bff07eafa2a6cb
