summary,stage,subject,budget,field,saved,recomputed,match,target,profile,profile_family,metric,reference
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,iqr_gain,0.1266632726527164,0.12666327265271637,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,std_gain,0.084499177258053199,0.084499177258053282,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,min_gain,-2.4865207393427118e-16,-2.4865207393427118e-16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,max_gain,0.29320896197774859,0.29320896197774859,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,positive_count,12,12,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,at_least_5pct_count,11,11,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,at_least_10pct_count,8,8,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,at_least_20pct_count,2,2,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,at_least_30pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,median_realised_modularity_loss,0.0190551410766692,0.0190551410766692,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,mean_realised_modularity_loss,0.018391551899452501,0.018391551899452487,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,max_realised_modularity_loss,0.041599551674583901,0.041599551674583901,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,median_coupling,0.42481549815498149,0.42481549815498149,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,median_cohesion,7.0977855477855485,7.0977855477855485,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,median_cluster_count,10,10,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,median_singleton_ratio,0.037735849056603703,0.037735849056603703,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,eligible_seed_count,16,16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,availability_rate,0.53333333333333333,0.53333333333333333,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,unavailable_seed_count,14,14,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,median_gain,0.27579455663409108,0.27579455663409114,True,,,,,
