subject,profile,metric,n_pairs,stage2_median,stage3_median,median_paired_delta_stage3_minus_stage2,better_count,tie_count,worse_count,increase_count,decrease_count,comparison_direction,median_ari,median_nmi,stage2_equals_stage3_count,analysis_status
xerces,BALANCE,coupling,30,0.23844716031631918,0.23863407620416965,-0.0010352264557871999,17,1,12,12,17,lower_is_better,0.93161605782464707,0.9254797131927428,0,DESCRIPTIVE
xerces,BALANCE,cohesion,30,8.2509595710142207,2.4422337560697707,-2.2437159512635669,11,0,19,11,19,higher_is_better,0.93161605782464707,0.9254797131927428,0,DESCRIPTIVE
xerces,BALANCE,imbalance,30,1.2101941782348129,1.2059213839479237,-0.0122916863445518,18,0,12,12,18,lower_is_better,0.93161605782464707,0.9254797131927428,0,DESCRIPTIVE
xerces,BALANCE,f_semantic,30,0.41677548770153944,0.41314224922235732,-0.0033910664638599486,19,0,11,11,19,lower_is_better,0.93161605782464707,0.9254797131927428,0,CONFIRMATORY_FAMILY_COMPONENT
xerces,BALANCE,cluster_count,30,29,28,0,,12,,5,13,descriptive_increase_tie_decrease,0.93161605782464707,0.9254797131927428,0,DESCRIPTIVE
xerces,COUPLING,weighted_modularity,30,0.66151914293439007,0.66121340919676053,-0.00010939504806672939,4,8,18,4,18,higher_is_better,0.99625256551614605,0.99694066124095182,6,DESCRIPTIVE
xerces,COUPLING,coupling,30,0.20879942487419123,0.20911574406901509,0.0001437814521926678,3,8,19,19,3,lower_is_better,0.99625256551614605,0.99694066124095182,6,DESCRIPTIVE
xerces,COUPLING,cohesion,30,8.0687653361834233,8.0696162029868432,0,13,6,11,13,11,higher_is_better,0.99625256551614605,0.99694066124095182,6,DESCRIPTIVE
xerces,COUPLING,imbalance,30,1.3098194550186948,1.3144549791672444,0.00065693354358109524,7,6,17,17,7,lower_is_better,0.99625256551614605,0.99694066124095182,6,DESCRIPTIVE
xerces,COUPLING,f_semantic,30,0.38873194738704031,0.38725947469944266,-0.0013080166157097839,21,7,2,2,21,lower_is_better,0.99625256551614605,0.99694066124095182,6,DESCRIPTIVE
xerces,COUPLING,cluster_count,30,31,31,0,,25,,5,0,descriptive_increase_tie_decrease,0.99625256551614605,0.99694066124095182,6,DESCRIPTIVE
xerces,COHESION,weighted_modularity,30,0.64460612058314815,0.64547867305536433,-0.0013126374180113531,13,1,16,13,16,higher_is_better,0.95053591263969917,0.94764636492660848,1,DESCRIPTIVE
xerces,COHESION,coupling,30,0.22799424874191229,0.22616822429906541,0.0015384615384615302,12,1,17,17,12,lower_is_better,0.95053591263969917,0.94764636492660848,1,DESCRIPTIVE
xerces,COHESION,cohesion,30,8.4554492964969281,8.5626423607479971,0.071039983724806355,18,1,11,18,11,higher_is_better,0.95053591263969917,0.94764636492660848,1,DESCRIPTIVE
xerces,COHESION,imbalance,30,1.2478934287889474,1.2398332392202605,-8.8984232158195731e-05,15,1,14,14,15,lower_is_better,0.95053591263969917,0.94764636492660848,1,DESCRIPTIVE
xerces,COHESION,f_semantic,30,0.40211467387363103,0.39850528980501865,-0.0012895230123351475,15,1,14,14,15,lower_is_better,0.95053591263969917,0.94764636492660848,1,DESCRIPTIVE
xerces,COHESION,cluster_count,30,29,29,0,,11,,8,11,descriptive_increase_tie_decrease,0.95053591263969917,0.94764636492660848,1,DESCRIPTIVE
xerces,SEMANTIC,weighted_modularity,30,0.66151914293439007,0.66112628859347766,-0.00020912314503968021,5,6,19,5,19,higher_is_better,0.99569840801941889,0.99605271090862491,4,DESCRIPTIVE
xerces,SEMANTIC,coupling,30,0.20879942487419123,0.20918763479511143,0.00020129403306973215,5,6,19,19,5,lower_is_better,0.99569840801941889,0.99605271090862491,4,DESCRIPTIVE
xerces,SEMANTIC,cohesion,30,8.0794391631457216,8.0698557297486708,0,14,4,12,14,12,higher_is_better,0.99569840801941889,0.99605271090862491,4,DESCRIPTIVE
xerces,SEMANTIC,imbalance,30,1.2933419447105705,1.3141879951363773,0.00056933724126984053,10,4,16,16,10,lower_is_better,0.99569840801941889,0.99605271090862491,4,DESCRIPTIVE
xerces,SEMANTIC,f_semantic,30,0.38873194738704031,0.38703936815403833,-0.0014724726875976479,24,5,1,1,24,lower_is_better,0.99569840801941889,0.99605271090862491,4,DESCRIPTIVE
xerces,SEMANTIC,cluster_count,30,30.5,31,0,,22,,6,2,descriptive_increase_tie_decrease,0.99569840801941889,0.99605271090862491,4,DESCRIPTIVE
