subject,seed,stage,profile,profile_id,profile_role,source_front,selected_solution_id,weighted_modularity,Q_best,relative_modularity_loss,band_size,coupling,cohesion,imbalance,f_semantic,cluster_count,max_cluster_ratio,singleton_ratio,feasible,canonical_partition_identifier,canonical_partition_sha256,original_source_solution_id,source_front_row_index_zero_based,stage3_original_four_objective_row_index_zero_based
daytrader,10,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_10/pareto_front.csv,seed10_solution040,0.28485833866641241,0.29386684549502312,0.030655063566071027,2,0.46632841328413283,8.0498051948051952,0.58490566037735847,0.69043089661912782,10,0.22641509433962265,0,True,sha256:6ad9ebd4bae084e919d605768c3f2e4d1ed2c2d130a01533b22bd065bdb413b3,6ad9ebd4bae084e919d605768c3f2e4d1ed2c2d130a01533b22bd065bdb413b3,seed10_solution040,40,
daytrader,10,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_10/projected_front_3d.csv,seed10_solution032,0.32120075553845934,0.32120075553845934,0,1,0.42204797047970477,8.4207944832944825,0.64895786875169204,0.53444077439510163,8,0.24528301886792453,0.018867924528301886,True,sha256:02ece0da6a48d747b68635561f52831909b7efc4878b398d10bae57df6e35bdc,02ece0da6a48d747b68635561f52831909b7efc4878b398d10bae57df6e35bdc,seed10_solution032,23,32
daytrader,11,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_11/pareto_front.csv,seed11_solution061,0.17239093285766802,0.17239093285766802,0,1,0.57702952029520294,23.901388888888889,0.60406832428611767,0.7654203450148932,6,0.30188679245283018,0,True,sha256:f06ffd86c91f9da49f8bc495da702ee38dd1608b5b7828b667c445440605d990,f06ffd86c91f9da49f8bc495da702ee38dd1608b5b7828b667c445440605d990,seed11_solution061,61,
daytrader,11,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_11/projected_front_3d.csv,seed11_solution030,0.31499094511240311,0.31499094511240311,0,2,0.43588560885608857,6.0699374699374697,0.6426183534311849,0.56736347025748857,9,0.22641509433962265,0.018867924528301886,True,sha256:893a63f2bd3bc119843cb2530963f4267b65af2fd837392ea6c329853a74a2be,893a63f2bd3bc119843cb2530963f4267b65af2fd837392ea6c329853a74a2be,seed11_solution030,21,30
daytrader,12,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_12/pareto_front.csv,seed12_solution034,0.30005814616494875,0.30005814616494875,0,1,0.43726937269372695,5.6718073593073592,0.51152610232928142,0.58332978004933977,8,0.22641509433962265,0,True,sha256:e3f4bd29cfa1ce7792985270bc326e50e73d8ddf60d7756694c6e5fcfc584170,e3f4bd29cfa1ce7792985270bc326e50e73d8ddf60d7756694c6e5fcfc584170,seed12_solution034,34,
daytrader,12,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_12/projected_front_3d.csv,seed12_solution031,0.30174849113574181,0.30174849113574181,0,1,0.42158671586715868,6.9447688674961405,0.91465657687100554,0.58889642725379909,11,0.26415094339622641,0.056603773584905662,True,sha256:aa65abd6fabe8c945f88257e16e09f1fc057067f5d5964da8d437ea3cffd89ec,aa65abd6fabe8c945f88257e16e09f1fc057067f5d5964da8d437ea3cffd89ec,seed12_solution031,26,31
daytrader,13,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_13/pareto_front.csv,seed13_solution033,0.32459676389891201,0.32459676389891201,0,1,0.41789667896678967,7.9497354497354502,0.74426728012513277,0.56229782254486149,9,0.24528301886792453,0.018867924528301886,True,sha256:c3a4cf7543f579e22cd40820e484a96f4ad6449175c62323e75f66d95c75d49a,c3a4cf7543f579e22cd40820e484a96f4ad6449175c62323e75f66d95c75d49a,seed13_solution033,33,
daytrader,13,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_13/projected_front_3d.csv,seed13_solution033,0.29954987251671406,0.3010496946528507,0.0049819752777564875,2,0.44926199261992622,5.142551892551892,0.5685478933328062,0.68401725659664891,9,0.24528301886792453,0,True,sha256:2fc37897f3ed3563172814272d1540e1ecc048ed339d38096a87c4e696593bb1,2fc37897f3ed3563172814272d1540e1ecc048ed339d38096a87c4e696593bb1,seed13_solution033,22,33
daytrader,14,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_14/pareto_front.csv,seed14_solution042,0.31639768657834166,0.31639768657834166,0,1,0.42481549815498154,8.0895285270285271,0.63115957296897096,0.58557249338859418,8,0.24528301886792453,0.018867924528301886,True,sha256:9dad35892cf0a7eb0b64aac264f4c1d560e8bfefeb14482bbd66ac01018e3de4,9dad35892cf0a7eb0b64aac264f4c1d560e8bfefeb14482bbd66ac01018e3de4,seed14_solution042,42,
daytrader,14,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_14/projected_front_3d.csv,seed14_solution029,0.32459676389891201,0.32459676389891201,0,1,0.41789667896678967,7.6179098679098685,0.77381496809093875,0.56093191610184379,9,0.26415094339622641,0.037735849056603772,True,sha256:a2cfa653405f33f934d4f8ead2edcb24e19eeea9dfa8f9c52d5df58b61008a82,a2cfa653405f33f934d4f8ead2edcb24e19eeea9dfa8f9c52d5df58b61008a82,seed14_solution029,21,29
