subject,seed,budget,canonical_operating_profile,selection_rule,solution_id,weighted_modularity,modularity_max_in_feasible_front,realised_modularity_loss,eligible_candidate_count,coupling,cohesion,imbalance,cluster_count,max_cluster_ratio,singleton_ratio,label_vector,stage3_solution_id,stage3_weighted_modularity,stage3_coupling,stage3_cohesion,stage3_imbalance,stage3_cluster_count,stage3_realised_modularity_loss,canonical_minus_stage3_weighted_modularity,canonical_minus_stage3_imbalance,canonical_minus_stage3_coupling,canonical_minus_stage3_cohesion,comparison_basis
daytrader,24,0.05,True,minimum_imbalance_within_relative_modularity_band,seed24_solution029,0.324596763898912,0.324596763898912,0.0,2,0.4178966789667896,6.5407774044137685,0.8929931748074893,11,0.2452830188679245,0.0754716981132075,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 8, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 9, 10, 10, 10, 0, 0]",,,,,,,,,,,,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,25,0.05,True,minimum_imbalance_within_relative_modularity_band,seed25_solution047,0.3045667610735147,0.3143226790893369,0.0310379067908408,2,0.441420664206642,7.212802012802012,0.6860248665168998,9,0.2452830188679245,0.0,"[0, 1, 2, 0, 0, 0, 3, 3, 3, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 6, 4, 7, 2, 2, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 8, 8, 6, 7, 0, 0]",seed25_solution026,0.324596763898912,0.4178966789667896,8.593452380952382,0.644554371793914,8.0,0.0,-0.020030002825397297,0.04147049472298581,0.023523985239852385,-1.38065036815037,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,26,0.05,True,minimum_imbalance_within_relative_modularity_band,seed26_solution052,0.1414578326479759,0.1438560162239077,0.0166707214538674,2,0.5216789667896679,15.911111111111111,0.4103502485081423,6,0.2264150943396226,0.0,"[0, 1, 1, 2, 3, 0, 4, 4, 0, 0, 3, 3, 4, 0, 1, 3, 2, 0, 1, 1, 4, 1, 0, 4, 4, 5, 3, 2, 4, 3, 4, 2, 4, 1, 3, 3, 1, 3, 4, 2, 1, 4, 0, 0, 5, 1, 0, 3, 1, 3, 0, 0, 2]",seed26_solution038,0.3231181109666261,0.419741697416974,5.593667443667444,0.7356071203629405,9.0,0.0045553532774785,-0.18166027831865023,-0.32525687185479824,0.10193726937269387,10.317443667443667,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,27,0.05,True,minimum_imbalance_within_relative_modularity_band,seed27_solution030,0.2697474630996311,0.2697474630996311,0.0,1,0.4372693726937269,7.028957708957708,0.8051542752208253,10,0.2641509433962264,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 4, 2, 0, 2, 5, 2, 6, 5, 2, 5, 2, 1, 2, 7, 7, 0, 4, 4, 1, 8, 0, 1, 1, 1, 5, 6, 2, 9, 0, 2, 5, 5, 2, 2, 2, 0, 0, 1, 0, 0, 8, 3, 3, 3, 0, 0]",seed27_solution028,0.3138494037730967,0.4317343173431734,7.068831168831169,0.7596536656300904,10.0,0.033109880692348,-0.04410194067346562,0.045500609590734875,0.005535055350553486,-0.03987345987346114,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,28,0.05,True,minimum_imbalance_within_relative_modularity_band,seed28_solution041,0.3217160501286746,0.3218660429800792,0.0004660101762082,2,0.422970479704797,7.104285714285714,0.7406711859015291,10,0.2264150943396226,0.0377358490566037,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 3, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 6, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 6, 0, 8, 9, 9, 9, 0, 0]",seed28_solution030,0.324596763898912,0.4178966789667896,7.194855144855145,0.8007205726008658,10.0,0.0,-0.0028807137702374086,-0.06004938669933668,0.005073800738007395,-0.09056943056943112,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,29,0.05,True,minimum_imbalance_within_relative_modularity_band,seed29_solution040,0.3140104599270162,0.3214603176359253,0.0231750461882718,2,0.4285055350553505,7.350953984287319,0.6906794421782311,9,0.2264150943396226,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 4, 5, 5, 0, 3, 3, 1, 2, 0, 1, 1, 1, 4, 6, 2, 6, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 3, 0, 7, 8, 8, 8, 0, 0]",,,,,,,,,,,,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
jpetstore,0,0.05,True,minimum_imbalance_within_relative_modularity_band,seed0_solution006,0.4341197988111571,0.4420698064319465,0.0179836023748282,16,0.2740740740740741,4.8999999999999995,0.0,4,0.25,0.0,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",seed0_solution004,0.4280993750952599,0.274074074074074,4.960714285714285,0.1178511301977579,4.0,0.0316023196640485,0.006020423715897172,-0.1178511301977579,5.551115123125783e-17,-0.06071428571428594,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
jpetstore,1,0.05,True,minimum_imbalance_within_relative_modularity_band,seed1_solution007,0.4277366255144036,0.4420698064319465,0.0324228904779303,18,0.2740740740740741,4.9,0.0,4,0.25,0.0,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",seed1_solution004,0.4365279682975156,0.274074074074074,5.219047619047619,0.1178511301977579,4.0,0.0125361154591403,-0.008791342783112,-0.1178511301977579,5.551115123125783e-17,-0.3190476190476188,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
jpetstore,2,0.05,True,minimum_imbalance_within_relative_modularity_band,seed2_solution008,0.4277366255144036,0.4420698064319465,0.0324228904779303,25,0.2740740740740741,4.9,0.0,4,0.25,0.0,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",seed2_solution003,0.4290839811004418,0.2641975308641975,4.691666666666666,0.1178511301977579,4.0,0.0293750560263685,-0.0013473555860382125,-0.1178511301977579,0.009876543209876576,0.20833333333333393,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
jpetstore,3,0.05,True,minimum_imbalance_within_relative_modularity_band,seed3_solution007,0.4341197988111571,0.4420698064319465,0.0179836023748282,18,0.2740740740740741,4.8999999999999995,0.0,4,0.25,0.0,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",seed3_solution003,0.4341197988111568,0.274074074074074,4.8999999999999995,0.0,4.0,0.0179836023748284,2.7755575615628914e-16,0.0,5.551115123125783e-17,0.0,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
