subject,seed,budget,canonical_operating_profile,selection_rule,solution_id,weighted_modularity,modularity_max_in_feasible_front,realised_modularity_loss,eligible_candidate_count,coupling,cohesion,imbalance,cluster_count,max_cluster_ratio,singleton_ratio,label_vector,leiden_weighted_modularity,leiden_imbalance,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_improvement_vs_leiden,coupling_change_vs_leiden,cohesion_change_vs_leiden,cluster_count_change_vs_leiden,weighted_modularity_change_vs_leiden,comparison_basis
daytrader,20,0.05,True,minimum_imbalance_within_relative_modularity_band,seed20_solution038,0.324596763898912,0.324596763898912,0.0,1,0.4178966789667896,7.94973544973545,0.7442672801251328,9,0.2452830188679245,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 2, 0, 1, 1, 1, 4, 6, 2, 6, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 7, 8, 8, 8, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.14872589468235609,0.0,1.4089580453216826,-2,0.0,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,21,0.05,True,minimum_imbalance_within_relative_modularity_band,seed21_solution030,0.324596763898912,0.324596763898912,0.0,1,0.4178966789667896,7.0977855477855485,0.8524043017416241,10,0.2641509433962264,0.0566037735849056,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 0, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 8, 9, 9, 9, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.04058887306586478,0.0,0.5570081433717808,-1,0.0,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,22,0.05,True,minimum_imbalance_within_relative_modularity_band,seed22_solution037,0.3145546893084243,0.3145546893084243,0.0,2,0.4308118081180812,6.26741440377804,0.8433772316463023,11,0.2264150943396226,0.0566037735849056,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 8, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 9, 10, 10, 10, 9, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.04961594316118656,0.01291512915129156,-0.2733630006357277,0,-0.010042074590487726,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,23,0.05,True,minimum_imbalance_within_relative_modularity_band,seed23_solution055,0.1908154802834928,0.1950265561811521,0.0215923204517225,2,0.4824723247232472,17.90077541506113,0.5597130933657104,7,0.2452830188679245,0.0,"[0, 1, 2, 3, 0, 0, 2, 3, 2, 0, 1, 2, 3, 4, 0, 2, 4, 0, 0, 2, 5, 5, 0, 3, 3, 6, 3, 0, 1, 1, 1, 4, 0, 1, 1, 0, 3, 3, 4, 2, 2, 2, 3, 2, 6, 3, 4, 2, 3, 4, 2, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.33328008144177845,0.06457564575645758,11.359998010647363,-4,-0.13378128361541922,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,24,0.05,True,minimum_imbalance_within_relative_modularity_band,seed24_solution029,0.324596763898912,0.324596763898912,0.0,2,0.4178966789667896,6.5407774044137685,0.8929931748074893,11,0.2452830188679245,0.0754716981132075,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 8, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 9, 10, 10, 10, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,-4.440892098500626e-16,0.0,8.881784197001252e-16,0,0.0,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,25,0.05,True,minimum_imbalance_within_relative_modularity_band,seed25_solution047,0.3045667610735147,0.3143226790893369,0.0310379067908408,2,0.441420664206642,7.212802012802012,0.6860248665168998,9,0.2452830188679245,0.0,"[0, 1, 2, 0, 0, 0, 3, 3, 3, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 6, 4, 7, 2, 2, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 8, 8, 6, 7, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.2069683082905891,0.023523985239852385,0.6720246083882442,-2,-0.020030002825397297,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,26,0.05,True,minimum_imbalance_within_relative_modularity_band,seed26_solution052,0.1414578326479759,0.1438560162239077,0.0166707214538674,2,0.5216789667896679,15.911111111111111,0.4103502485081423,6,0.2264150943396226,0.0,"[0, 1, 1, 2, 3, 0, 4, 4, 0, 0, 3, 3, 4, 0, 1, 3, 2, 0, 1, 1, 4, 1, 0, 4, 4, 5, 3, 2, 4, 3, 4, 2, 4, 1, 3, 3, 1, 3, 4, 2, 1, 4, 0, 0, 5, 1, 0, 3, 1, 3, 0, 0, 2]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.4826429262993466,0.10378228782287824,9.370333706697345,-5,-0.1831389312509361,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,27,0.05,True,minimum_imbalance_within_relative_modularity_band,seed27_solution030,0.2697474630996311,0.2697474630996311,0.0,1,0.4372693726937269,7.028957708957708,0.8051542752208253,10,0.2641509433962264,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 4, 2, 0, 2, 5, 2, 6, 5, 2, 5, 2, 1, 2, 7, 7, 0, 4, 4, 1, 8, 0, 1, 1, 1, 5, 6, 2, 9, 0, 2, 5, 5, 2, 2, 2, 0, 0, 1, 0, 0, 8, 3, 3, 3, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.08783889958666358,0.019372693726937285,0.4881803045439401,-1,-0.05484930079928091,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,28,0.05,True,minimum_imbalance_within_relative_modularity_band,seed28_solution041,0.3217160501286746,0.3218660429800792,0.0004660101762082,2,0.422970479704797,7.104285714285714,0.7406711859015291,10,0.2264150943396226,0.0377358490566037,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 3, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 6, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 6, 0, 8, 9, 9, 9, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.15232198890595972,0.005073800738007395,0.5635083098719464,-1,-0.0028807137702374086,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
daytrader,29,0.05,True,minimum_imbalance_within_relative_modularity_band,seed29_solution040,0.3140104599270162,0.3214603176359253,0.0231750461882718,2,0.4285055350553505,7.350953984287319,0.6906794421782311,9,0.2264150943396226,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 4, 5, 5, 0, 3, 3, 1, 2, 0, 1, 1, 1, 4, 6, 2, 6, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 3, 0, 7, 8, 8, 8, 0, 0]",0.324596763898912,0.8929931748074889,0.4178966789667896,6.540777404413768,11,0.20231373262925778,0.01060885608856088,0.8101765798735512,-2,-0.010586303971895805,frozen Stage 2 canonical 5% profile vs frozen Stage 1 raw Leiden
