subject,repetition,random_seed,edge_count,structural_overlap,same_reference_service_ratio,same_leiden_cluster_ratio
xerces,160,62160,1673,0.011954572624028692,,0.084877465630603707
xerces,161,62161,1673,0.010759115361625823,,0.082486551105797973
xerces,162,62162,1673,0.013150029886431561,,0.092647937836222355
xerces,163,62163,1673,0.0089659294680215183,,0.072325164375373577
xerces,164,62164,1673,0.011954572624028692,,0.086072922893006582
xerces,165,62165,1673,0.017334130304841603,,0.096832038254632394
xerces,166,62166,1673,0.010161386730424387,,0.095636580992229533
xerces,167,62167,1673,0.014943215780035863,,0.091452480573819481
xerces,168,62168,1673,0.010759115361625823,,0.084279736999402277
xerces,169,62169,1673,0.009563658099222952,,0.087866108786610872
xerces,170,62170,1673,0.009563658099222952,,0.088463837417812316
xerces,171,62171,1673,0.010759115361625823,,0.082486551105797973
xerces,172,62172,1673,0.013150029886431561,,0.091452480573819481
xerces,173,62173,1673,0.013747758517632994,,0.086072922893006582
xerces,174,62174,1673,0.011356843992827256,,0.088463837417812316
xerces,175,62175,1673,0.010759115361625823,,0.093843395098625229
xerces,176,62176,1673,0.008368200836820083,,0.081888822474596529
xerces,177,62177,1673,0.010759115361625823,,0.083682008368200833
xerces,178,62178,1673,0.0089659294680215183,,0.087866108786610872
xerces,179,62179,1673,0.0071727435744172148,,0.084877465630603707
xerces,180,62180,1673,0.008368200836820083,,0.087866108786610872
xerces,181,62181,1673,0.009563658099222952,,0.09025702331141662
xerces,182,62182,1673,0.015540944411237299,,0.093843395098625229
xerces,183,62183,1673,0.011356843992827256,,0.07830245068738792
xerces,184,62184,1673,0.011356843992827256,,0.083084279736999403
xerces,185,62185,1673,0.016138673042438732,,0.086670651524208012
xerces,186,62186,1673,0.0065750149432157803,,0.086072922893006582
xerces,187,62187,1673,0.011356843992827256,,0.084279736999402277
xerces,188,62188,1673,0.012552301255230125,,0.089659294680215176
xerces,189,62189,1673,0.014943215780035863,,0.089061566049013746
xerces,190,62190,1673,0.013150029886431561,,0.088463837417812316
xerces,191,62191,1673,0.012552301255230125,,0.083084279736999403
xerces,192,62192,1673,0.0089659294680215183,,0.07710699342498506
xerces,193,62193,1673,0.013150029886431561,,0.098027495517035268
xerces,194,62194,1673,0.010161386730424387,,0.092647937836222355
