class_id,neighbor_rank,neighbor_class_id,cosine_similarity
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,1,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,0.354518172360
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,2,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,0.353354883091
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,3,com.ibm.websphere.samples.daytrader.TradeAction,0.317008084442
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,4,com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,0.312710349399
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,5,com.ibm.websphere.samples.daytrader.web.TradeAppServlet,0.311103918985
com.ibm.websphere.samples.daytrader.util.FinancialUtils,1,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,0.465831850407
com.ibm.websphere.samples.daytrader.util.FinancialUtils,2,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,0.420607276830
com.ibm.websphere.samples.daytrader.util.FinancialUtils,3,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,0.415283160615
com.ibm.websphere.samples.daytrader.util.FinancialUtils,4,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,0.407277986598
com.ibm.websphere.samples.daytrader.util.FinancialUtils,5,com.ibm.websphere.samples.daytrader.TradeServices,0.351787206796
com.ibm.websphere.samples.daytrader.util.KeyBlock,1,com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,0.813550330601
com.ibm.websphere.samples.daytrader.util.KeyBlock,2,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,0.543301587039
com.ibm.websphere.samples.daytrader.util.KeyBlock,3,com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,0.277105287941
com.ibm.websphere.samples.daytrader.util.KeyBlock,4,com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,0.236733008470
com.ibm.websphere.samples.daytrader.util.KeyBlock,5,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,0.214982813940
com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,1,com.ibm.websphere.samples.daytrader.util.KeyBlock,0.813550330601
com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,2,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,0.434795352799
com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,3,com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,0.242882598367
com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,4,com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,0.235761647117
com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,5,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,0.228959924170
com.ibm.websphere.samples.daytrader.util.Log,1,com.ibm.websphere.samples.daytrader.TradeAction,0.396312667174
com.ibm.websphere.samples.daytrader.util.Log,2,com.ibm.websphere.samples.daytrader.util.TimerStat,0.363380957827
com.ibm.websphere.samples.daytrader.util.Log,3,com.ibm.websphere.samples.daytrader.web.TradeServletAction,0.361033710929
com.ibm.websphere.samples.daytrader.util.Log,4,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.344871755670
com.ibm.websphere.samples.daytrader.util.Log,5,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0.321665864083
com.ibm.websphere.samples.daytrader.util.MDBStats,1,com.ibm.websphere.samples.daytrader.util.TimerStat,0.629836845154
com.ibm.websphere.samples.daytrader.util.MDBStats,2,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,0.354933558980
com.ibm.websphere.samples.daytrader.util.MDBStats,3,com.ibm.websphere.samples.daytrader.util.Log,0.301634690823
com.ibm.websphere.samples.daytrader.util.MDBStats,4,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,0.265793293865
com.ibm.websphere.samples.daytrader.util.MDBStats,5,com.ibm.websphere.samples.daytrader.util.TradeConfig,0.252010209995
com.ibm.websphere.samples.daytrader.util.TimerStat,1,com.ibm.websphere.samples.daytrader.util.MDBStats,0.629836845154
com.ibm.websphere.samples.daytrader.util.TimerStat,2,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,0.379599587933
com.ibm.websphere.samples.daytrader.util.TimerStat,3,com.ibm.websphere.samples.daytrader.util.Log,0.363380957827
com.ibm.websphere.samples.daytrader.util.TimerStat,4,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,0.357840986398
com.ibm.websphere.samples.daytrader.util.TimerStat,5,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,0.315322690720
com.ibm.websphere.samples.daytrader.util.TradeConfig,1,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,0.717146052231
